species,site_02,site_01,site_04,site_03,site_06,site_05,site_07,site_08,site_10,site_09,site_11,site_12
Spp_01,3,3,3,4,3,3,3,4,4,3,3,3
Spp_06,2,2,3,2,2,2,2,2,2,3,2,2
Spp_03,3,2,2,3,3,2,0,0,0,0,0,0
Spp_08,3,3,3,2,2,3,0,0,0,0,0,0
Spp_16,3,2,2,1,2,1,0,0,0,0,0,0
Spp_04,0,0,0,0,0,0,2,2,2,3,2,3
Spp_09,0,0,0,0,0,0,3,3,3,2,3,2
Spp_05,0,0,0,1,0,0,0,0,3,2,3,3
Spp_12,0,0,0,0,0,0,0,0,3,3,2,3
Spp_13,0,0,0,0,0,0,0,0,2,1,2,1
Spp_14,0,0,0,0,0,0,0,0,1,1,2,1
Spp_02,0,1,0,1,0,1,0,1,0,1,0,1
Spp_07,1,0,1,0,1,0,1,0,1,0,1,0
Spp_10,1,1,0,0,0,1,0,1,1,0,0,0
Spp_11,0,0,0,0,0,1,0,0,0,0,0,0
Spp_15,0,0,0,0,0,0,0,0,1,0,0,0
