species,site_01,site_02,site_03,site_04,site_05,site_06,site_07,site_08,site_09,site_10,site_11,site_12
sp_01,3,2,3,2,2,1,2,2,1,2,3,2
sp_02,2,3,2,3,2,2,1,2,2,1,2,3
sp_03,4,0,1,3,2,0,3,1,0,2,0,0
sp_04,3,0,0,4,1,0,2,1,0,3,0,0
sp_05,4,1,0,2,2,0,3,0,0,2,0,0
sp_06,2,0,0,4,1,0,3,1,0,4,0,0
sp_07,3,0,0,2,2,0,4,0,0,3,0,0
sp_08,0,4,1,1,3,2,1,3,1,0,2,0
sp_09,0,3,0,2,4,1,0,2,1,0,3,0
sp_10,0,4,1,1,3,2,1,4,0,0,2,0
sp_11,0,3,0,2,4,1,0,3,1,0,4,0
sp_12,0,4,0,1,3,2,1,3,0,0,2,0
sp_13,0,0,4,0,1,3,0,1,3,0,1,2
sp_14,0,0,3,0,1,4,0,2,4,0,0,3
sp_15,0,0,4,0,2,3,0,1,3,0,1,2
sp_16,0,0,2,0,1,4,0,2,3,0,0,4
sp_17,0,0,3,1,2,3,0,1,4,1,0,3
sp_18,0,0,2,1,1,4,0,2,3,1,0,4
sp_19,0,0,0,0,0,0,0,1,0,0,0,0
sp_20,0,0,0,0,1,0,0,0,0,0,0,0
sp_21,0,0,0,0,0,0,1,0,0,0,0,0
sp_22,0,0,0,1,0,0,0,0,0,0,0,0
sp_23,0,0,1,0,0,0,0,0,0,0,0,0
sp_24,0,0,0,0,0,0,0,0,1,0,0,0
