species,site_01,site_02,site_03,site_04,site_05,site_06,site_07,site_08,site_09,site_10,site_11,site_12
sp_ubiq_01,3,3,4,3,3,3,4,3,3,4,3,3
sp_ubiq_02,2,2,2,3,2,2,2,2,3,2,2,2
sp_B1_01,3,3,2,3,3,2,0,0,0,0,0,0
sp_B1_02,2,3,3,2,2,3,0,0,0,0,0,0
sp_B1_03,1,2,1,2,1,2,0,0,0,0,0,0
sp_B2_01,0,0,0,0,0,0,3,3,2,3,3,2
sp_B2_02,0,0,0,0,0,0,2,2,3,2,2,3
sp_B3_01,0,0,1,0,0,0,0,0,2,3,3,3
sp_B3_02,0,0,0,0,0,0,0,0,3,3,2,3
sp_B3_03,0,0,0,0,0,0,0,0,2,2,3,2
sp_B3_04,0,0,0,0,0,0,0,0,1,2,2,1
sp_B3_05,0,0,0,0,0,0,0,0,1,1,2,1
sp_misc_01,1,0,1,0,1,0,1,0,1,0,1,0
sp_misc_02,0,1,0,1,0,1,0,1,0,1,0,1
sp_misc_03,1,1,0,0,1,0,1,0,0,1,0,0
sp_rare_01,0,0,0,0,1,0,0,0,0,0,0,0
sp_rare_02,0,0,0,0,0,0,0,0,0,1,0,0
