species,p_05,p_02,p_12,p_09,p_03,p_08,p_07,p_01,p_11,p_04,p_06,p_10
sp_01,0,3,0,0,4,1,1,3,0,4,0,0
sp_02,0,4,0,0,4,0,0,2,0,3,0,0
sp_03,0,4,0,0,4,0,1,4,0,3,0,0
sp_04,1,3,0,0,4,0,0,4,0,2,0,0
sp_05,1,4,0,0,2,0,1,3,0,3,0,0
sp_06,2,3,0,0,4,0,1,4,0,4,0,0
sp_07,1,4,0,0,4,1,0,4,0,4,0,0
sp_08,1,4,0,0,4,0,0,3,0,3,0,0
sp_09,4,0,0,0,1,3,3,0,1,0,4,0
sp_10,4,0,0,0,0,4,4,0,1,0,4,0
sp_11,4,1,0,0,0,3,4,0,0,0,1,0
sp_12,3,0,1,0,0,4,4,0,0,0,4,0
sp_13,4,1,0,0,0,4,4,0,0,0,4,0
sp_14,4,0,0,1,0,4,4,0,0,0,3,0
sp_15,3,0,0,0,0,4,4,0,0,0,4,0
sp_16,4,0,0,0,0,4,4,0,0,1,4,0
sp_17,0,0,2,4,0,0,0,0,2,0,0,3
sp_18,0,0,3,4,1,0,0,0,4,0,0,4
sp_19,0,0,3,4,0,0,1,0,4,0,0,4
sp_20,0,0,4,4,0,0,0,0,4,0,0,4
sp_21,0,0,4,3,0,0,0,0,3,0,0,4
sp_22,0,0,3,4,0,0,0,0,4,0,0,4
sp_23,0,1,3,4,0,0,0,0,4,0,0,4
sp_24,0,0,4,4,0,0,0,0,4,0,0,4
