species,site_01,site_02,site_03,site_04,site_05,site_06,site_07,site_08,site_09,site_10,site_11,site_12
sp_01,4,1,1,3,1,0,4,1,0,3,0,0
sp_02,1,4,1,0,3,1,0,4,0,0,3,0
sp_03,0,1,4,0,0,3,0,0,4,0,1,3
sp_04,0,0,0,0,0,0,0,1,0,0,0,0
sp_05,4,1,1,3,1,0,4,0,0,3,0,0
sp_06,0,3,1,0,4,1,0,3,0,1,4,0
sp_07,0,1,0,0,0,0,0,0,0,0,0,0
sp_08,3,1,0,4,1,0,3,1,0,4,0,1
sp_09,1,0,3,0,1,4,0,0,3,0,1,4
sp_10,3,2,3,4,3,2,3,3,2,3,4,2
sp_11,0,4,1,1,3,0,0,4,0,0,3,0
sp_12,0,0,0,0,0,0,0,0,0,1,0,0
sp_13,0,1,4,0,1,3,1,0,4,0,0,3
sp_14,3,1,1,4,0,1,3,1,0,4,0,0
sp_15,0,0,0,0,1,0,0,0,0,0,0,0
sp_16,1,3,0,0,4,0,1,3,0,1,4,0
sp_17,0,0,4,0,1,3,0,1,4,0,0,3
sp_18,2,3,2,3,2,3,3,2,3,2,3,3
sp_19,0,0,1,0,0,0,0,0,0,0,0,0
sp_20,1,0,1,0,1,0,0,1,0,1,0,0
sp_21,4,1,1,3,2,0,4,0,0,3,0,0
sp_22,0,4,1,0,3,0,1,4,0,0,3,0
sp_23,0,0,0,0,0,0,0,0,0,0,0,1
sp_24,0,1,3,0,0,4,0,0,3,0,1,4

