species,site_01,site_02,site_03,site_04,site_05,site_06,site_07,site_08,site_09,site_10,site_11,site_12
sp_01,0,0,0,2,4,4,2,0,0,0,0,0
sp_02,0,1,2,3,4,4,3,2,1,0,0,0
sp_03,0,0,0,0,0,0,0,0,1,0,0,0
sp_04,0,0,1,2,3,3,3,2,1,0,0,0
sp_05,4,4,3,3,2,1,0,0,0,0,0,0
sp_06,0,0,0,0,0,1,0,0,0,0,0,0
sp_07,0,0,0,0,1,2,3,4,4,3,2,1
sp_08,0,1,0,0,0,0,0,0,0,0,0,0
sp_09,4,3,3,3,2,1,1,0,0,0,0,0
sp_10,0,0,0,0,1,0,0,0,0,0,0,0
sp_11,0,0,0,1,2,3,4,4,3,2,1,0
sp_12,0,2,1,0,0,0,0,0,1,2,2,1
sp_13,3,4,4,3,2,2,1,0,0,0,0,0
sp_14,0,0,0,0,0,0,0,1,0,0,0,0
sp_15,0,0,0,1,2,3,3,3,2,1,0,0
sp_16,0,0,0,0,0,0,0,0,0,0,0,1
sp_17,0,0,0,0,0,0,1,2,3,4,4,3
sp_18,3,3,3,2,1,1,0,0,0,0,0,0
sp_19,0,1,0,0,0,0,0,0,0,2,3,2
sp_20,0,0,0,0,0,1,2,3,4,4,3,2
sp_21,0,0,1,2,3,4,4,3,2,1,0,0
sp_22,0,0,0,1,0,0,0,0,0,0,0,0
sp_23,0,0,0,2,3,3,2,0,0,0,0,0
sp_24,0,0,0,0,0,0,0,0,0,1,0,0
