species,site_01,site_02,site_03,site_04,site_05,site_06,site_07,site_08,site_09,site_10,site_11,site_12
     species_01,4,4,3,3,2,2,1,1,1,1,0,0
     species_02,1,3,3,2,2,1,1,1,0,0,0,0
     species_03,1,1,2,2,2,2,2,1,1,1,1,0
     species_04,2,3,3,2,1,1,1,0,0,0,0,0
     species_05,1,3,2,1,0,0,0,0,0,0,0,0
     species_06,0,1,1,2,3,3,2,1,1,0,0,0
     species_07,0,3,2,1,1,0,0,0,0,0,0,0
     species_08,0,1,3,4,3,2,1,1,0,0,0,0
     species_09,0,1,1,1,2,2,2,2,2,1,1,1
     species_10,0,0,1,1,2,3,3,2,1,1,0,0
     species_11,0,0,1,1,1,2,2,3,3,3,3,3
     species_12,0,0,1,3,3,2,1,0,0,0,0,0
     species_13,0,0,1,2,3,2,1,1,0,0,0,0
     species_14,0,0,0,1,2,2,3,3,2,1,1,1
     species_15,0,0,0,1,1,2,2,3,3,4,4,3
     species_16,0,0,0,1,1,2,3,4,3,2,1,1
     species_17,0,0,0,1,2,2,2,2,1,1,1,0
     species_18,0,0,0,0,1,2,3,2,1,0,0,0
     species_19,0,0,0,0,1,1,1,1,2,3,3,2
     species_20,0,0,0,0,3,2,1,1,0,0,0,0
     species_21,0,0,0,0,0,1,2,3,3,2,1,1
     species_22,0,0,0,0,0,1,1,2,2,3,3,2
     species_23,0,0,0,0,0,0,1,2,3,4,3,2
     species_24,0,0,0,0,0,0,1,2,1,0,3,1
     species_25,0,0,0,0,0,0,0,1,3,1,0,2
