species,Site_01,Site_02,Site_03,Site_04,Site_05,Site_06,Site_07,Site_08,Site_09,Site_10,Site_11,Site_12
Sp_01,1,5,4,5,0,0,1,0,0,1,0,0
Sp_02,3,5,2,4,2,0,0,1,0,0,2,2
Sp_03,5,4,4,4,0,0,0,1,1,0,0,0
Sp_04,3,3,5,5,2,0,0,0,1,2,0,0
Sp_05,4,5,3,3,2,0,0,0,0,0,0,1
Sp_06,3,3,4,3,1,1,0,0,1,2,2,0
Sp_07,5,1,1,4,0,0,2,0,0,1,1,2
Sp_08,3,0,0,0,3,1,4,4,0,2,0,1
Sp_09,0,0,0,1,5,3,3,5,0,0,1,0
Sp_10,0,0,1,0,5,3,3,4,0,1,0,3
Sp_11,0,3,0,0,4,4,5,3,2,0,0,0
Sp_12,0,0,2,2,4,5,4,3,1,0,1,0
Sp_13,4,0,1,2,1,2,3,3,1,0,0,1
Sp_14,0,0,2,0,2,3,3,5,3,1,0,1
Sp_15,2,1,1,0,0,0,0,0,4,3,5,2
Sp_16,0,2,2,0,0,0,0,0,1,3,4,3
Sp_17,0,1,0,2,2,0,1,0,5,2,5,5
Sp_18,3,4,0,2,2,1,0,1,4,3,3,4
Sp_19,2,0,0,0,0,1,2,1,4,3,5,5
Sp_20,0,1,0,3,2,2,2,0,0,5,5,4
Sp_21,0,0,1,1,0,1,0,1,5,4,5,4
Sp_22,1,0,0,0,0,4,3,3,0,0,2,3
Sp_23,1,3,0,4,4,1,3,2,2,4,1,0
Sp_24,1,1,1,0,0,1,4,2,1,0,3,0
