species,Site_01,Site_02,Site_03,Site_04,Site_05,Site_06,Site_07,Site_08,Site_09,Site_10,Site_11,Site_12
Sp_01,0,5,4,0,0,0,0,0,0,0,0,0
Sp_02,5,1,5,3,3,5,3,0,0,0,4,0
Sp_03,3,4,5,4,5,0,0,0,0,2,0,0
Sp_04,5,1,1,4,3,0,2,0,3,0,0,0
Sp_05,0,1,4,5,1,0,4,0,0,0,2,0
Sp_06,0,2,2,5,5,5,4,4,0,0,0,0
Sp_07,0,0,3,0,0,0,3,0,4,3,3,5
Sp_08,1,0,0,0,0,0,2,4,5,2,3,0
Sp_09,0,2,0,0,0,4,3,5,5,3,5,4
Sp_10,0,0,0,0,5,0,3,0,5,1,5,2
Sp_11,0,3,4,0,2,2,3,0,3,5,3,3
Sp_12,0,0,0,0,0,3,1,3,0,2,2,2
Sp_13,2,0,3,4,5,3,5,0,3,0,0,0
Sp_14,0,0,0,0,4,4,2,1,3,4,0,0
Sp_15,3,0,3,0,0,3,5,2,0,2,0,4
Sp_16,2,0,3,0,4,5,5,4,4,3,3,0
Sp_17,0,0,0,0,5,5,4,3,4,4,0,5
Sp_18,5,3,5,2,5,4,1,4,0,0,0,0
Sp_19,0,0,0,2,0,0,0,0,0,0,0,0
Sp_20,0,0,2,0,0,0,0,0,0,0,0,0
Sp_21,0,1,0,0,0,0,1,0,1,0,0,0
Sp_22,2,0,0,1,4,1,1,2,4,0,0,1
Sp_23,0,3,1,1,0,3,1,0,3,1,3,1
Sp_24,3,5,4,4,0,0,1,0,2,2,4,3
