species,Site_01,Site_02,Site_03,Site_04,Site_05,Site_06,Site_07,Site_08,Site_09,Site_10,Site_11,Site_12
Sp_01,1,5,4,0,5,0,0,0,0,0,2,0
Sp_02,4,0,5,3,3,0,0,0,0,0,0,0
Sp_03,4,3,2,3,3,5,0,0,0,0,0,2
Sp_04,3,3,3,3,1,0,0,0,0,0,0,0
Sp_05,2,3,2,1,1,2,2,0,2,0,4,4
Sp_06,5,3,4,2,2,1,0,0,0,2,0,0
Sp_07,0,0,4,0,0,2,1,5,0,5,5,3
Sp_08,3,0,0,0,0,0,0,3,3,4,5,2
Sp_09,0,1,1,0,0,0,2,3,0,1,4,0
Sp_10,0,0,0,0,0,0,2,0,3,3,4,5
Sp_11,0,0,0,2,0,0,2,0,5,0,5,1
Sp_12,3,4,0,2,0,2,0,0,3,5,3,3
Sp_13,0,4,0,0,0,3,0,3,5,3,3,0
Sp_14,2,0,0,5,5,3,4,5,0,5,0,0
Sp_15,0,0,0,3,3,2,4,2,0,3,0,0
Sp_16,0,0,5,0,3,3,4,4,4,1,0,0
Sp_17,0,0,0,0,0,3,3,4,0,0,0,0
Sp_18,1,0,0,3,0,3,2,3,3,0,0,0
Sp_19,2,0,0,0,0,0,0,0,0,1,0,1
Sp_20,0,0,0,0,0,0,0,0,1,0,1,1
Sp_21,0,2,0,0,0,0,0,0,2,0,0,0
Sp_22,0,3,4,4,3,3,2,4,2,0,5,2
Sp_23,0,1,3,5,2,0,1,2,2,0,0,1
Sp_24,4,1,1,0,4,0,0,1,0,3,1,1
