Herbarium, Name
A,"Arnold Arboretum, Cambridge, Mass., U.S.A."
AD,"State Herbarium of South Australia, Adelaide, S.A., Australia"
ADW,"Waite Agricultural Research Institute, Adelaide, S.A., Australia"
AHFH,"Herbarium of the Allan Hancock Foundation, University of
Southern California, Los Angeles, Cal., U.S.A."
AMD,"Hugo de Vries Laboratorium, Amsterdam, the Netherlands"
BM,"British Museum (Natural History), London, England"
BO,"Herbarium Bogoriense, Bogar, Indonesia."
BRI,"Botanic Museum and Herbarium, Brisbane, Qld., Australia"
C,"Botanisk Museum & Herbarium, Copenhagen, Denmark"
CAL,"Central National Herbarium, Calcutta., India"
CANTY,"Canterbury Museum, Christchurch, New Zealand"
CN,"Laboratoire de Botanique, Faculte des Sciences, Caen, France"
FI,"Herbarium Universitatis Florentinae, Istituto Botanico, Firenze,
Italy"
G,"Conservatoire et Jardin botaniques, Geneva, Switzerland"
GH,"Gray Herbarium, Harvard University, Cambridge, Mass., U.S.A."
HAW,"University of Hawaii, Botany Department, Honolulu, Hawaii,
U.S.A."
J,"Moss Herbarium, University of the Witwatersrand, Johannesburg,
South Africa"
K,"Herbarium of the Royal Botanic Gardens, Kew, Richmond,
England"
L,"Rijksherbarium, Leyden, the Netherlands"
LAE,"Division of Botany, Department of Forest, Lae, New Guinea."
MEL,"National Herbarium of Victoria, Royal Botanic Gardens, South
Yarra, Vict., Australia"
MICH,"University Herbarium, University of Michigan, Ann Arbor,
Mich., U.S.A."
P,"Museum national d'histoire naturelle, Laboratoire de Phanerogamie,
Paris, France"
PBVM,"Laboratoire de Biologie vegetale marine, Paris, France"
PERTH,"PERTH Western Australian Herbarium, Perth, W.A., Australia"
PERTH-U,"University of Western Australia, Department of Botany, Nedlands,
W.A., Australia"
PRE,"Botanical Research Institute, National Herbarium, Pretoria,
South Africa"
S,"Botanical Department of the Naturhistoriska Riksmuseet,
Stockholm, Sweden"
SING,"Herbarium of the Botanic Gardens, Singapore"
SYD,"National Herbarium of New South Wales, Sydney, N.S.W.,
Australia"
TI,"Faculty of Science, University of Tokyo, Tokyo, Japan"
U,"Botanical Museum & Herbarium, Utrecht, the Netherlands."
UC,"Herbarium of the University of California, Berkeley, Cal.,
U.S.A."
US,"U.S. National Museum, Department of Botany, Washington,
D.C., U.S.A."
W,"Naturhistorisches Museum, Vienna, Austria"
WRSL,"Instytut Botaniczny, Universytetu Wroclawskiego, Wroclaw,
Poland"
Z,"Botanischer Garten und Institut fur Systematische Botanik
der Universitat, Zurich, Switzerland"
