text,country,city,lat,lon
1,Kenya,Lamu,-2.2717,40.9031
2,Kenya,Mokowe,-2.2781,40.8536
3,Kenya,Gazi,-4.4227,39.5069
4,India,Pamban,9.2667,79.2167
5,Thailand,Rawi,6.5,101.9
6,Hong Kong,Kowloon Bay,22.3226,114.2108
7,Philippines,Luzon,16,121
8,Philippines,Manila,14.6042,120.9822
9,Philippines,Albay Province,13.1775,123.5165
10,Philippines,Cebu,10.3157,123.8854
11,Malayan Peninsula,Singapore,1.3521,103.8198
12,Indonesia,Riouw Archipelago,-0.9325,104.4492
13,Indonesia,Java,-7.6145,110.7122
14,Indonesia,Lesser Sunda Islands,-8.65,121
15,Indonesia,Celebes,-1.4531,120.5213
16,Indonesia,Moluccas,-3,128
17,Marianne Islands,Guam,13.4443,144.7937
18,Marianne Islands,Saipan Island,15.1825,145.7516
19,Western Australia,Carnarvon,-24.8672,113.6611
20,Western Australia,Port Hedland,-20.3102,118.5878
21,Queensland,Thursday Island,-10.5789,142.2207
22,Queensland,Townsville,-19.2589,146.8169
23,New Caledonia,Noumea,-22.2763,166.4572
24,New Caledonia,Ouano (La Foa District),-21.7117,165.8446
