Collector,number,year,Herbarium
Mrs. F.M. Isaac,A 21,1965,L
Mrs. F.M. Isaac,A 100,1965,L
Mrs. F.M. Isaac,A 116,1965,L
M.O.P. Iyengar,133 B,1922,BM
A.F.G. Kerr,14035,1928,BM
Harland,282,-,K
A. Loker,1595,1892,K
A. Loker,1595,1892,C
A. Loker,1595,1892,P
E.D. Merrill,4112,1905,P
E.D. Merrill,4112,1905,K
E.D. Merrill,4112,1905,L
E.D. Merrill,4112,1905,SYD
C.B. Robinson,9899,1910,C
C.B. Robinson,9899,1910,P
C.B. Robinson,9899,1910,L
C.B. Robinson,9899,1910,BO
E.D. Merrill,1098,1912,C
E.D. Merrill,1098,1912,U
E.D. Merrill,1098,1912,WRSL
M. Doty & G.T. Velasquez,16848,1958,L
M. Doty & G.T. Velasquez,16848,1958,HAW
Moseley,-,1875,BM
Ridley,3780,1892,C
Ridley,3780,1892,BM
Ridley,3780,1892,SING
Holttum,-,1914,SING
Holttum,-,1928,SING
J. Sinclair,38894,1950,SING
J. Sinclair,38894,1950,L
H.M. Burkill,3897,1965,L
Md. Nur,24603,1930,SING
H.F. Neubauer,1601,1961,L
Zollinger,3334 (Type),1847,P
Zollinger,3334 (Type),1847,L
Zollinger,3334 (Type),1847,BM
Zollinger,3334 (Type),1847,U
Zollinger,3431,-,P
Zollinger,-,-,L
O. Beccari,11828,1874,L
Gaudichaud,- (Type),-,P
Gaudichaud,- (Type),-,L
K.O. Emery,10699,1952,AHFH
B.C. Stone,4063,1962,L
B.C. Stone,4063,1962,HAW
N.C. Bunker & R. Ocampo,-,1952,AHFH
C. den Hartog,560,1967,L
C. den Hartog,581,1967,L
C. den Hartog,588,1967,L
C. den Hartog,1016,1967,L
C. den Hartog,1026,1967,L
C. den Hartog,743,1967,L
C. den Hartog,797,1967,L
B. Balansa,1525,1869,P
M. Angot,-,1960,L
M. Angot,-,1960,HAW
H.S. McKee,8229,1961,K
