Stop, City, State, latitude, longitude,city-state
1, San Diego, California,32.715691,-117.161720,"' San Diego,  California'"
2, San Marcos, California,33.140862,-117.158821,"' San Marcos,  California'"
3, Campo, California,32.607052,-116.475723,"' Campo,  California'"
4, Eloy, Arizona,32.752419,-111.555550,"' Eloy,  Arizona'"
5, Deming, Arizona,34.293007,-111.663979,"' Deming,  Arizona'"
6, Pecos, Texas,31.425390,-103.494110,"' Pecos,  Texas'"
7, Abilene, Texas,32.449169,-99.741417,"' Abilene,  Texas'"
8, Flower Mound, Texas,33.034222,-97.059593,"' Flower Mound,  Texas'"
9, Blackwell, Oklahoma,36.804810,-97.282982,"' Blackwell,  Oklahoma'"
10, Matfield Green, Kansas,38.156750,-96.563599,"' Matfield Green,  Kansas'"
11, St. Louis, Missouri,38.627750,-90.199562,"' St. Louis,  Missouri'"
12, Dale, Indiana,38.168800,-86.989990,"' Dale,  Indiana'"
13, Barboursville, West Virginia,38.408939,-82.293587,"' Barboursville,  West Virginia'"
14, Hillsville, Virginia,36.769409,-80.738762,"' Hillsville,  Virginia'"
15, Waynesboro, Virginia,38.065472,-78.890984,"' Waynesboro,  Virginia'"
16, Gettysburg, Pennsylvania,39.830250,-77.231117,"' Gettysburg,  Pennsylvania'"
17, Danbury, Connecticut,41.392681,-73.453590,"' Danbury,  Connecticut'"
18, Charlton, Massachusetts,42.138191,-71.970078,"' Charlton,  Massachusetts'"
19, Austinburg, Ohio,41.773178,-80.854752,"' Austinburg,  Ohio'"
20, Warren, Ohio,41.236198,-80.812798,"' Warren,  Ohio'"
21, Dayton, Ohio,39.759110,-84.194443,"' Dayton,  Ohio'"
22, Altamont, Illinois,39.055592,-88.747971,"' Altamont,  Illinois'"
23, Effingham, Illinois,39.119228,-88.537590,"' Effingham,  Illinois'"
24, Springfield, Ohio,39.925018,-83.806732,"' Springfield,  Ohio'"
25, Waynesboro, Pennsylvania,39.756199,-77.578537,"' Waynesboro,  Pennsylvania'"
26, Middleton, Pennsylvania,40.883289,-78.744278,"' Middleton,  Pennsylvania'"
27, Newburg, Pennsylvania,40.137384,-77.554740,"' Newburg,  Pennsylvania'"
28, Pittsburgh, Pennsylvania,40.438339,-79.997467,"' Pittsburgh,  Pennsylvania'"
29, Summerville, West Virginia,38.281132,-80.852081,"' Summerville,  West Virginia'"
30, Bessemer, North Carolina,36.083820,-79.743149,"' Bessemer,  North Carolina'"
