"date","fill_time","city","state","odometer","brand","gallons","ppg","cost","distance_sheet","mpg_sheet","litres","cad_per_l","cad","leg_miles","mpg","pump_resid","canada","corrections"
"2021-09-23","11:00","Nixa","MO",30290,"Modern Motorcars",6,,,,,,,,,,,FALSE,""
"2021-09-23","15:00","Garden City","MO",30432,"Seven Stop",5.124,3.339,17.11,142,27.71272443,,,,142,27.71,-0.001,FALSE,""
"2021-09-24","15:00","Plattsburg","MO",30601,"Larry's One Stop",4.033,3.189,12.86,169,41.90428961,,,,169,41.9,0.001,FALSE,""
"2021-09-25","07:00","Lincoln","NE",30766,"Super C #2",3.799,4.989,18.95,165,43.43248223,,,,165,43.43,0.003,FALSE,""
"2021-09-25","10:00","Gothensburg","NE",30954,"Cenex",3.799,5.099,19.37,188,49.48670703,,,,188,49.49,0.001,FALSE,""
"2021-09-25","13:00","Atwood","CO",31132,"LMR Oil #3",6.27,3.949,24.76,178,28.3891547,,,,178,28.39,0,FALSE,""
"2021-09-26","08:00","Arvada","CO",31255,"Conoco",2.737,4.059,11.11,123,44.93971502,,,,123,44.94,-0.001,FALSE,""
"2021-09-26","16:00","Grand Junction","CO",31496,"Shell",5.766,4.239,24.44,241,41.79673951,,,,241,41.8,0.002,FALSE,""
"2021-09-27","10:00","Salina","UT",31707,"TA",5.213,4.349,22.67,211,40.47573374,,,,211,40.48,0.001,FALSE,""
"2021-09-27","14:00","St George","UT",31895,"Costco",4.839,3.699,17.9,188,38.85100227,,,,188,38.85,-0.001,FALSE,""
"2021-09-28","10:00","Jean","NV",32050,"Terrible Herbst",4.773,4.959,23.67,155,32.4743348,,,,155,32.47,-0.001,FALSE,""
"2021-09-28","12:00","Victorville","CA",32206,"ARCO",5.274,4.689,24.73,156,29.57906712,,,,156,29.58,0,FALSE,""
"2021-10-15","09:00","Torrance","CA",32347,"Costco",2.86,4.239,12.12,141,49.3006993,,,,141,49.3,0.004,FALSE,""
"2021-10-15","13:00","Barstow","CA",32475,"Pilot",3.61,5.039,18.19,128,35.45706371,,,,128,35.46,0.001,FALSE,""
"2021-10-15","16:00","Searchlight","NV",32613,"Terrible Herbst",4.824,3.719,17.94,138,28.60696517,,,,138,28.61,0,FALSE,""
"2021-10-16","09:00","Ash Fork","AZ",32776,"Shell",4.742,4.199,19.91,163,34.37368199,,,,163,34.37,0.002,FALSE,""
"2021-10-16","12:00","Sanders","AZ",32968,"Speedway",4.869,3.699,18.01,192,39.43314849,,,,192,39.43,0,FALSE,""
"2021-10-17","07:00","Albuquerque","NM",33151,"Costco",4.324,3.499,15.13,183,42.32192414,,,,183,42.32,0,FALSE,""
"2021-10-17","10:00","Wagon Mound","NM",33308,"LJM Travel Center",4.313,3.699,15.95,157,36.40157663,,,,157,36.4,0.004,FALSE,""
"2021-10-17","03:00","Colorado Springs","CO",33531,"Kum & Go",5.138,4.149,21.32,223,43.40210199,,,,223,43.4,-0.002,FALSE,""
"2021-10-18","11:00","Colby","KS",33746,"Loves",4.356,3.769,16.42,215,49.35720845,,,,215,49.36,-0.002,FALSE,""
"2021-10-19","08:00","Kearney","NE",33923,"Speedee Mart",3.852,3.949,15.21,177,45.95015576,,,,177,45.95,0.002,FALSE,""
"2021-10-19","11:00","Omaha","NE",34089,"Buckys",4.396,3.699,16.26,166,37.76160146,,,,166,37.76,0.001,FALSE,""
"2021-10-20","08:00","Des Moines","IA",34230,"Costco",3.28,3.249,10.66,141,42.98780488,,,,141,42.99,-0.003,FALSE,""
"2021-10-20","11:00","Anamosa","IA",34394,"Casey's General Store",4.261,3.949,16.83,164,38.4886177,,,,164,38.49,-0.003,FALSE,""
"2021-10-22","09:00","Madison","WI",34564,"Northport Chevron",4.239,3.899,16.53,170,40.10379807,,,,170,40.1,-0.002,FALSE,""
"2021-10-28","13:00","Sun Prairie","WI",34744,"Costco",4.309,3.399,14.65,180,41.77303319,,,,180,41.77,-0.004,FALSE,""
"2021-11-07","10:00","Madison","WI",34885,"Northport Chevron",4.159,3.999,16.63,141,33.90238038,,,,141,33.9,0.002,FALSE,""
"2021-11-13","15:00","Sun Prairie","WI",35042,"Costco",3.7,3.489,12.91,157,42.43243243,,,,157,42.43,-0.001,FALSE,""
"2021-11-16","14:00","Sun Prairie","WI",35118,"Costco",1.881,3.489,6.56,76,40.4040404,,,,76,40.4,0.003,FALSE,""
"2021-11-20","16:00","Sun Prairie","WI",35223,"Costco",3.458,3.489,12.06,105,30.36437247,,,,105,30.36,0.005,FALSE,""
"2021-11-26","13:00","Sun Prairie","WI",35359,"Costco",4.168,3.459,14.42,136,32.62955854,,,,136,32.63,-0.003,FALSE,""
"2021-12-01","10:00","Sun Prairie","WI",35445,"Costco",1.813,3.429,6.22,86,47.43519029,,,,86,47.44,-0.003,FALSE,""
"2021-12-07","11:00","Sun Prairie","WI",35584,"Costco",4.271,3.389,14.47,139,32.54507141,,,,139,32.55,0.004,FALSE,""
"2021-12-14","16:00","Sun Prairie","WI",35701,"Costco",2.636,3.389,8.93,117,44.38543247,,,,117,44.39,0.003,FALSE,""
"2021-12-20","11:00","Sun Prairie","WI",35804,"Costco",3.444,3.389,11.67,103,29.90708479,,,,103,29.91,0.002,FALSE,""
"2021-12-30","13:00","Sun Prairie","WI",35968,"Costco",4.084,3.389,13.84,164,40.15670911,,,,164,40.16,0.001,FALSE,""
"2022-01-18","12:00","Sun Prairie","WI",36040,"Costco",1.751,3.459,6.06,72,41.11936037,,,,72,41.12,-0.003,FALSE,""
"2022-01-18","14:00","Mendota","IL",36162,"Becks",3.79,4.159,15.76,122,32.18997361,,,,122,32.19,0.003,FALSE,""
"2022-01-19","14:00","Springfield","IL",36318,"Shell",5.3566,4.169,22.33,156,29.12295113,,,,156,29.12,0.002,FALSE,""
"2022-01-20","10:00","Shelbina","MO",36464,"Ayerco",4.685,3.299,15.46,146,31.16328709,,,,146,31.16,-0.004,FALSE,""
"2022-01-21","09:00","Kansas City","MO",36645,"Costco",5.182,3.199,16.58,181,34.928599,,,,181,34.93,-0.003,FALSE,""
"2022-01-21","11:00","Junction City","KS",36778,"Shell",3.829,3.999,15.31,133,34.73491773,,,,133,34.73,0.002,FALSE,""
"2022-01-22","09:00","Hays","KS",36920,"Phillips 66",5.542,3.499,19.11,142,25.62251895,,,,142,25.62,0.281,FALSE,""
"2022-01-22","11:00","Burlington","CO",37089,"Sinclair",4.795,3.959,18.98,169,35.24504692,,,,169,35.25,0.003,FALSE,""
