"date","lv_time","lv_city","lv_state","ar_time","ar_city","ar_state","miles","stop_hours","raw_hours","gross_mph","net_mph","mph_sheet","comment","sheet"
"2021-09-23","11:00","Nixa","MO","14:00","Kansas City","MO",209.4,0,3,69.8,69.8,,,"Pickup"
"2021-09-23",,"Start Mileage","30290.0",,,,,0,,,,,,"Trip_Log"
"2021-09-24","09:00","Kansas City","MO","18:00","Lincoln","NE",258,4,9,28.7,51.6,,,"Pickup"
"2021-09-25","07:00","Lincoln","NE","15:00","Westminster","CO",485.4,0,8,60.7,60.7,,,"Pickup"
"2021-09-26","08:00","Westminster","CO","14:00","Grand Junction","CO",249,1.5,6,41.5,55.3,,,"Pickup"
"2021-09-27","07:00","Grand Junction","CO","13:00","St George","UT",386,0,6,64.3,64.3,,,"Pickup"
"2021-09-28","07:00","St George","UT","14:00","Torrance","CA",399,0,7,57,57,,,"Pickup"
"2021-10-15","09:00","Torrance","CA","17:00","Kingman","AZ",338.9,0,8,42.4,42.4,41.07878788,,"Trip_Log"
"2021-10-16","07:00","Kingman","AZ","16:00","Albuquerque","NM",464.3,0,9,51.6,51.6,50.83576642,,"Trip_Log"
"2021-10-17","07:00","Albuquerque","NM","14:00","Colorado Springs","CO",380.3,0,7,54.3,54.3,55.92647059,,"Trip_Log"
"2021-10-18","06:00","Colorado Springs","CO","15:00","Kearney","NE",391.2,0,9,43.5,43.5,45.13846154,,"Trip_Log"
"2021-10-19","08:00","Kearney","NE","14:00","Des Moines","IA",304.6,0,6,50.8,50.8,53.59530792,,"Trip_Log"
"2021-10-20","08:00","Des Moines","IA","14:00","Madison","WI",317.8,0,6,53,53,52.24109589,,"Trip_Log"
"2022-01-18","11:00","Madison","WI","16:00","Springfield","IL",272,0.75,5,54.4,64,60.22140221,"Post Office","Trip_Log"
"2022-01-20","07:00","Springfield","IL","19:00","Liberty","MO",307.3,6,12,25.6,51.2,54.07038123,"Tom","Trip_Log"
"2022-01-21","09:00","Liberty","IL","14:00","Hays","KS",280.9,0,5,56.2,56.2,59.55477032,,"Trip_Log"
"2022-01-22","09:00","Hays","KS","14:00","Colorado Springs","CO",317.4,0,5,63.5,63.5,72.13636364,,"Trip_Log"
"2022-01-23","08:00","Colorado Springs","CO","14:00","Santa Fe","NM",294.7,0,6,49.1,49.1,50.23295455,,"Trip_Log"
"2022-01-24","10:00","Santa Fe","NM","14:00","Gallup","NM",197.5,0,4,49.4,49.4,42.77978339,,"Trip_Log"
"2022-01-25","08:00","Gallup","NM","12:00","Grand Canyon","AZ",266.8,0,4,66.7,66.7,62.53125,,"Trip_Log"
"2022-01-26","11:00","Grand Canyon","AZ","14:00","Kingman","AZ",169.8,0.25,3,56.6,61.7,58.89017341,"Shopping","Trip_Log"
"2022-01-27","08:00","Kingman","AZ","15:00","Torrance","CA",357.5,0,7,51.1,51.1,51.19331742,,"Trip_Log"
"2022-05-29","09:00","Torrance","CA","16:00","Elk Grove","CA",391.2,0,7,55.9,55.9,57.81280788,,"Trip_Log"
"2022-05-30","08:00","Elk Grove","CA","13:00","Ashland","OR",302.2,0,5,60.4,60.4,56.31055901,,"Trip_Log"
"2022-05-31","09:00","Ashland","OR","12:00","Eugene","OR",163,0,3,54.3,54.3,56.53179191,,"Trip_Log"
"2022-06-11","08:00","Veneta","OR","14:00","Klamath","CA",252,0,6,42,42,42.83286119,,"Trip_Log"
"2022-06-12","08:00","Klamath","CA","17:00","Bodega Bay","CA",304,1,9,33.8,38,37.60824742,"Founders Grove","Trip_Log"
"2022-06-13","09:00","Bodega Bay","CA","17:00","Morro Bay","CA",304.4,0,8,38,38,35.74168297,,"Trip_Log"
"2022-06-14","09:00","Morro Bay","CA","14:00","Torrance","CA",225.9,0,5,45.2,45.2,40.7027027,,"Trip_Log"
"2022-11-01","09:00","Torrance","CA","15:00","Morro Bay","CA",224.9,0,6,37.5,37.5,39.92307692,,"Trip_Log"
"2022-11-02","09:00","Morro Bay","CA","16:00","Napa","CA",296.5,0,7,42.4,42.4,46.20779221,,"Trip_Log"
"2022-11-03","09:00","Napa","CA","16:00","Trinidad","CA",274.9,1,7,39.3,45.8,43.63492063,"Founders Grove","Trip_Log"
"2022-11-05","09:00","Trinidad","CA","14:00","Eugene","OR",259.9,0,5,52,52,48.88401254,,"Trip_Log"
"2022-11-07","09:00","Eugene","OR","20:00","Aberdeen","WA",326.5,1.5,11,29.7,34.4,34.9197861,"Accident delay, hail, rain","Trip_Log"
"2022-11-08","08:00","Aberdeen","WA","17:00","Port Angeles","WA",221.4,0,9,24.6,24.6,24.82990654,,"Trip_Log"
"2022-11-16","10:00","Port Angeles","WA","14:00","Seattle","WA",69,1,4,17.2,23,24.79041916,,"Trip_Log"
"2022-11-17","09:00","Seattle","WA","10:00","Mt. Vernon","WA",57.1,0,1,57.1,57.1,49.65217391,,"Trip_Log"
"2022-11-24","07:00","Mt. Vernon","WA","14:00","Eugene","OR",372.3,0,7,53.2,53.2,57.57216495,,"Trip_Log"
"2022-11-25","10:00","Eugene","OR","16:00","Redding","CA",312.5,0.5,6,52.1,56.8,56.81818182,"lunch","Trip_Log"
"2022-11-26","07:00","Redding","CA","15:00","Paso Robles","CA",406.4,0.333,8,50.8,53,60.65671642,"coffee","Trip_Log"
"2022-11-27","09:00","Paso Robles","CA","15:00","Torrance","CA",239.4,0.5,6,39.9,43.5,43.52727273,"photos","Trip_Log"
"2023-03-04","09:00","Torrance","CA","13:00","Victorville","CA",121.6,1,4,30.4,40.5,40.30939227,,"Trip_Log"
"2023-03-05","07:00","Victorville","CA","14:00","Springdale","UT",344.9,0,7,49.3,49.3,48.1255814,"To Mountain Time","Trip_Log"
"2023-03-07","07:00","Springdale","UT","17:00","Escalante","UT",182.2,3.5,10,18.2,28,26.92610837,"Hike to slot canyon","Trip_Log"
"2023-03-10","08:00","Escalante","UT","15:00","Moab","UT",251.1,0.5,7,35.9,38.6,34.79445727,,"Trip_Log"
"2023-03-13","08:00","Moab","UT","16:00","St. George","UT",362.6,0.333,8,45.3,47.3,49.11060948,,"Trip_Log"
"2023-03-14","08:00","St. George","UT","14:00","Lone Pine","CA",410,0,6,68.3,68.3,76.875,"Back to Pacific Time","Trip_Log"
"2023-03-17","09:00","Lone Pine","CA","15:00","Las Vegas","LV",261,1.5,6,43.5,58,55.72953737,,"Trip_Log"
"2023-03-20","07:00","Las Vegas","NV","16:00","Carlsbad","CA",332.9,2.5,9,37,51.2,45.29251701,"Cindy","Trip_Log"
"2023-03-26","08:00","Carlsbad","CA","09:00","Torrance","CA",88.2,0,1,88.2,88.2,51.37864078,,"Trip_Log"
"2023-09-08","08:00","Torrance","CA","17:00","Milpitas","CA",362.1,1,9,40.2,45.3,46.92440605,"Meet Lan","Trip_Log"
