"date","start_time","start_temp_F","start_odo","start_city","end_time","end_temp_F","end_odo","end_city","miles_written","odo_miles","tz_shift_hr","raw_hours","elapsed_hours","gross_mph","source_page","note"
2011-06-24,"13:15",71,13689,"Lake San Marcos CA","19:21",90,13874,"Barstow CA",184.1,185,0,6.1,6.1,30.3,1,"start_time AM/PM not explicit on sheet; PM inferred from 7:21P arrival"
2011-06-25,"05:43",72,13876,"Barstow CA","13:38",83,14221,"Flagstaff AZ",342.6,345,0,7.92,7.92,43.6,1,""
2011-06-26,"04:30",63,14221,"Flagstaff AZ","06:45",,14321,"Holbrook AZ",99.8,100,0,2.25,2.25,44.4,1,""
2011-06-27,"08:00",76,14391,"Holbrook AZ","14:48",98,14730,"Santa Rosa NM",338.9,339,1,6.8,5.8,58.4,1,""
2011-06-28,"05:17",69,14730,"Santa Rosa NM","14:22",98,15115,"Wichita Falls TX",384.4,385,1,9.08,8.08,47.6,1,""
2011-06-29,"07:41",83,15124,"Wichita Falls TX","09:38",87,15235,"Fort Worth TX",,111,0,1.95,1.95,56.9,2,"no distance written on sheet"
2011-07-02,"08:35",85,15259,"Aledo TX","17:28",94,15548,"Pasadena TX",289.7,289,0,8.88,8.88,32.5,2,""
2011-07-03,"07:51",83,15553,"Pasadena TX","12:55",94,15807,"Port Allen LA",254.6,254,0,5.07,5.07,50.1,2,""
2011-07-04,"07:00",78,15822,"Port Allen LA","13:50",89,16219,"Memphis TN",392.1,397,0,6.83,6.83,58.1,2,"UNRESOLVED: odometer delta 397 vs written 392.1"
2011-07-05,"08:32",79,16227,"Memphis TN","14:40",89,16516,"St Louis (Fenton) MO",289.7,289,0,6.13,6.13,47.1,2,"written figure re-read as 289.7 (not 298.7) on odometer evidence"
2011-07-14,"07:36",72,16733,"St Louis MO","16:56",100,17155,"Salina KS",421.8,422,0,9.33,9.33,45.2,3,""
2011-07-15,"08:07",86,17163,"Salina KS","14:29",89,17575,"Denver CO",412,412,-1,6.37,7.37,55.9,3,""
2011-07-16,"07:25",67,17575,"Denver CO","16:00",94,17937,"Moab UT",361.7,362,0,8.58,8.58,42.2,3,""
2011-07-18,"05:21",71,18044,"Moab UT","13:38",103,18491,"Las Vegas NV",445.6,447,-1,8.28,9.28,48.2,4,"paper annotates the arrival time as Nevada time; shift applied"
2011-07-19,"08:50",93,18491,"Las Vegas NV","14:33",80,18789,"Lake San Marcos CA",298.2,298,0,5.72,5.72,52.1,4,""
