"date","start_time","start_temp_F","start_odo","start_city","end_time","end_temp_F","end_odo","end_city","miles_written","odo_miles","tz_shift_hr","raw_hours","elapsed_hours","gross_mph","source_page","note"
"2012-05-24","06:03",62,25714,"Lake San Marcos CA","21:36",81,26206,"St George UT",492.2,492,0,15.55,15.55,31.6,1,""
"2012-05-25","06:57",74,26207,"St George UT","14:45",53,26580,"Evanston WY",372.6,373,0,7.8,7.8,47.8,1,""
"2012-05-26","06:46",38,26586,"Evanston WY","14:23",57,26902,"Casper WY",316.8,316,0,7.62,7.62,41.5,1,""
"2012-05-27","06:26",46,26911,"Casper WY","17:13",77,27319,"Ogallala NE",407.9,408,0,10.78,10.78,37.8,1,""
"2012-05-28","06:50",56,27320,"Ogallala NE","14:48",79,27660,"Omaha NE",342,340,0,7.97,7.97,42.7,2,""
"2012-05-29","08:12",61,27661,"Omaha NE","15:02",81,27963,"Mt Pleasant IA",297.3,302,0,6.83,6.83,44.2,2,""
"2012-05-30","08:31",62,27963,"Mt Pleasant IA","13:04",76,28168,"St Louis MO",,205,0,4.55,4.55,45.1,2,"miles column blank on the sheet"
"2012-05-31","06:03",46,28206,"St Louis MO","18:41",76,28724,"Columbus OH",517.3,518,0,12.63,12.63,41,2,""
"2012-06-01","09:19",63,28724,"Columbus OH","14:37",63,28965,"Frostburg MD",241.7,241,0,5.3,5.3,45.5,2,""
"2012-06-08","07:31",63,29038,"Frostburg MD","15:06",80,29295,"Streetsboro OH",,257,0,7.58,7.58,33.9,3,""
"2012-06-09","09:21",67,29299,"Streetsboro OH","16:37",88,29567,"Jackson MI",268,268,0,7.27,7.27,36.9,3,""
"2012-06-10","05:51",61,29578,"Jackson MI","16:46",87,29738,"Milwaukee WI",160.6,160,0,10.92,10.92,14.7,3,"FERRY: Kim wrote '(ferry)' beside Milwaukee. Odometer delta 160 mi = the drive to the Michigan shore; the lake crossing adds no odometer miles."
"2012-06-11","10:05",85,29738,"Milwaukee WI","19:27",67,30084,"Minneapolis MN",345.9,346,0,9.37,9.37,36.9,3,""
"2012-06-12","08:15",55,30085,"Minneapolis MN","16:36",76,30505,"Bismarck ND",420,420,0,8.35,8.35,50.3,3,""
"2012-06-13","07:31",65,30514,"Bismarck ND","15:54",78,30925,"Billings MT",411.1,411,0,8.38,8.38,49,4,""
"2012-06-14","06:42",56,30925,"Billings MT","13:33",75,31374,"Pocatello ID",448.1,449,0,6.85,6.85,65.5,4,""
"2012-06-15","07:52",60,31379,"Pocatello ID","16:50",100,31828,"St George UT",449.2,449,0,8.97,8.97,50.1,4,""
"2012-06-16","06:46",76,31837,"St George UT","13:28",71,32245,"Lake San Marcos CA",407.8,408,0,6.7,6.7,60.9,4,""
