"date","start","tempA","odoA","from","finish","tempB","odoB","to","miles_written","odo_delta","discrep","note","trip","source_page"
2014-04-30,"08:50",75,40682,"Lake San Marcos CA","15:31",90,40977,"Las Vegas NV",294.8,295,0.2,"","2014 Penultimate State",1
2014-05-03,"05:51",70,41026,"Las Vegas NV","12:20",79,41363,"Holbrook AZ",376.9,337,-39.9,"DISCREPANCY: start ODO read as 41026 (fits the 5/1 Las Vegas fill at 40997); written 376.9 implies ~40986. UNRESOLVED - recheck the page.","2014 Penultimate State",1
2014-05-04,"06:07",48,41367,"Holbrook AZ","16:04",92,41753,"El Paso TX",386,386,0,"","2014 Penultimate State",1
2014-05-05,"05:39",69,41753,"El Paso TX","17:48",91,42284,"San Antonio TX",530.8,531,0.2,"","2014 Penultimate State",2
2014-05-06,"05:35",69,42284,"San Antonio TX","15:48",83,42757,"Gonzales LA",473.4,473,-0.4,"","2014 Penultimate State",2
2014-05-07,"07:29",70,42766,"Gonzales LA","17:56",85,43159,"Montgomery AL",393.3,393,-0.3,"","2014 Penultimate State",2
2014-05-08,"08:29",76,43159,"Montgomery AL","19:35",78,43566,"Cherokee NC",406.3,407,0.7,"","2014 Penultimate State",3
2014-05-15,"08:34",67,43600,"Cherokee NC","16:30",67,43918,"Henderson NC",317.5,318,0.5,"","2014 Penultimate State",3
2014-05-16,"08:32",55,43918,"Henderson NC","19:01",64,44278,"Bellmawr NJ",360.5,360,-0.5,"","2014 Penultimate State",3
2014-05-17,"08:37",59,44278,"Bellmawr NJ","16:49",71,44602,"Leominster MA",323,324,1,"","2014 Penultimate State",3
2014-05-18,"09:35",60,44603,"Leominster MA","12:30",59,44746,"Hartland VT",143,143,0,"","2014 Penultimate State",3
2014-05-20,"13:26",70,44805,"Lebanon NH","16:26",66,44924,"Newburyport MA",119.7,119,-0.7,"","2014 Penultimate State",4
2014-05-22,"10:06",54,44996,"Newburyport MA","19:20",51,45301,"Lubec ME",305.3,305,-0.3,"","2014 Penultimate State",4
2014-05-23,"09:41",56,45302,"Lubec ME","16:02",52,45519,"Moncton NB",218,217,-1,"","2014 Penultimate State",4
2014-05-24,"09:21",44,45529,"Moncton NB","15:00",45,45679,"Murray Harbour PEI",150.8,150,-0.8,"","2014 Penultimate State",4
2014-05-25,"07:58",42,45692,"Murray Harbour PEI","21:00",41,46036,"North Sydney NS (ferry terminal)",344.7,344,-0.7,"ends AT the ferry terminal, North Sydney NS","2014 Penultimate State",4
2014-05-26,"07:45",47,46037,"Port aux Basques NL","15:32",49,46253,"North Point NL",217.1,216,-1.1,"resumes in Newfoundland - see the odometer","2014 Penultimate State",4
2014-05-28,"08:53",43,46348,"North Point NL","18:15",57,46625,"Port aux Basques NL",277.1,277,-0.1,"","2014 Penultimate State",5
2014-05-29,"07:37",45,46625,"Sydney NS","18:14",75,47180,"Edmundston NB",555.5,555,-0.5,"RETURN FERRY: previous leg ended Port aux Basques 46625; this starts Sydney NS at 46625 -- ZERO odometer miles across the water","2014 Penultimate State",5
2014-05-30,"08:57",58,47182,"Edmundston NB","16:00",69,47512,"Montreal QB",329.3,330,0.7,"","2014 Penultimate State",5
2014-06-01,"07:40",58,47517,"Montreal QB","16:39",76,47934,"Sudbury ON",416.5,417,0.5,"","2014 Penultimate State",5
2014-06-02,"08:15",58,47934,"Sudbury ON","15:30",67,48250,"Wawa ON",316.3,316,-0.3,"","2014 Penultimate State",5
2014-06-03,"08:11",48,48261,"Wawa ON","15:36",62,48561,"Thunder Bay ON",300.2,300,-0.2,"","2014 Penultimate State",5
2014-06-04,"07:21",44,48561,"Thunder Bay ON","16:04",82,48994,"Winnipeg MB",432.7,433,0.3,"","2014 Penultimate State",6
2014-06-05,"06:19",60,48994,"Winnipeg MB","12:43",64,49344,"Regina SK",349.5,350,0.5,"","2014 Penultimate State",6
2014-06-06,"09:35",55,49344,"Regina SK","18:40",61,49735,"Lethbridge AB",391.1,391,-0.1,"","2014 Penultimate State",7
2014-06-07,"07:30",47,49735,"Lethbridge AB","16:34",73,50095,"Missoula MT",360.3,360,-0.3,"","2014 Penultimate State",7
2014-06-08,"09:36",58,50095,"Missoula MT","16:15",86,50308,"Lewiston ID",213.2,213,-0.2,"","2014 Penultimate State",7
2014-06-09,"08:22",66,50308,"Lewiston ID","16:36",82,50570,"John Day OR",261.8,262,0.2,"","2014 Penultimate State",7
2014-06-10,"07:33",50,50570,"John Day OR","16:54",89,50928,"Susanville CA",358.3,358,-0.3,"","2014 Penultimate State",8
2014-06-11,"07:44",60,50928,"Susanville CA","18:40",94,51399,"Lancaster CA",470.4,471,0.6,"","2014 Penultimate State",8
2014-06-12,"08:23",76,51399,"Lancaster CA","16:13",72,51589,"Lake San Marcos CA",190.6,190,-0.6,"","2014 Penultimate State",8
