"date","start_time","start_temp_F","start_odo","start_city","end_time","end_temp_F","end_odo","end_city","miles_written","odo_miles","tz_shift_hr","raw_hours","elapsed_hours","gross_mph","source_page","note"
"2016-05-26","12:38",68,58214,"Lake San Marcos CA","20:41",79,58559,"Youngtown AZ",,345,0,8.05,8.05,42.9,1,"Arrival time corrected to 8:41P by Kim, 2026-08-19: the original writing was VERY LIGHT and the bitonal scan rendered it ambiguously. I had read 7:41P, then argued from a crossbar-like mark for 9:41P -- the mark was a scan artifact of light pen pressure, not an overwrite. 8:41P resolves the leg cleanly."
"2016-05-27","06:40",72,58559,"Youngtown AZ","17:17",72,58921,"Monument Valley UT",,362,0,10.62,10.62,34.1,1,"THE STUCK DAY. Youngtown (Phoenix) -> Monument Valley direct is ~320 mi; logged 362. Google Maps onto unpaved tribal roads; stuck in powdery soil, freed by two men in a truck."
"2016-05-28","07:23",57,58921,"Monument Valley UT","14:15",74,59199,"Grand Junction CO",,278,0,6.87,6.87,40.5,1,""
"2016-05-29","07:56",63,59203,"Grand Junction CO","17:21",80,59627,"Big Springs NE",,424,0,9.42,9.42,45,2,""
"2016-05-30","06:34",57,59627,"Big Springs NE","14:41",86,59930,"Lincoln NE",,303,0,8.12,8.12,37.3,2,""
"2016-05-31","09:10",66,59931,"Lincoln NE","16:36",75,60241,"Burlington IA",,310,0,7.43,7.43,41.7,2,""
"2016-06-01","08:45",67,60241,"Burlington IA","18:12",78,60561,"Mt Vernon IL",,320,0,9.45,9.45,33.9,3,""
"2016-06-02","09:56",71,60561,"Mt Vernon IL","17:01",84,60762,"Bowling Green KY",,201,0,7.08,7.08,28.4,3,""
"2016-06-03","09:50",75,60767,"Bowling Green KY","15:24",82,60901,"Bowling Green KY",,134,0,5.57,5.57,24.1,3,"ROUND TRIP from Bowling Green -- the Goodlettsville TN fill at 60,806 is the turn, a day run to the Nashville area and back."
"2016-06-04","08:57",72,60901,"Bowling Green KY","16:39",71,61133,"Pine Mountain KY",,232,0,7.7,7.7,30.1,4,""
"2016-06-09","07:34",47,61136,"Pine Mountain KY","15:20",86,61450,"Atlanta GA",,314,0,7.77,7.77,40.4,4,"five days at Pine Mountain; 47 degF start in June -- the mountain"
"2016-06-10","09:17",76,61450,"Atlanta GA","15:45",88,61693,"Dandridge TN",,243,0,6.47,6.47,37.6,4,""
"2016-06-11","09:10",76,61724,"Dandridge TN","14:54",93,61979,"Huntington WV",,255,0,5.73,5.73,44.5,5,""
"2016-06-12","08:58",78,61986,"Huntington WV","16:10",91,62345,"Richmond VA",,359,0,7.2,7.2,49.9,5,"WEST VIRGINIA eastbound on I-64; the Lewisburg WV fill at 12:14P is on this leg"
"2016-06-13","08:27",67,62345,"Richmond VA","18:24",79,62701,"Morehead City NC",,356,0,9.95,9.95,35.8,5,""
"2016-06-14","08:13",79,62702,"Morehead City NC","16:46",90,62967,"Charleston SC",,265,0,8.55,8.55,31,6,""
"2016-06-15","09:10",83,62967,"Charleston SC","15:14",85,63262,"Atlanta GA",,295,0,6.07,6.07,48.6,6,""
"2016-06-16","07:56",73,63262,"Atlanta GA","16:04",93,63506,"Murfreesboro TN",,244,0,8.13,8.13,30,6,""
"2016-06-17","08:40",83,63506,"Murfreesboro TN","17:10",87,63858,"St Peters MO",,352,0,8.5,8.5,41.4,7,""
"2016-06-18","09:16",81,63858,"St Peters MO","13:14",87,64053,"Richmond MO",,195,0,3.97,3.97,49.1,7,""
"2016-06-19","06:57",67,64053,"Richmond MO","16:53",96,64693,"Denver CO",,640,0,9.93,9.93,64.5,7,"640 MILES -- the longest day in the whole record. Three fills en route: Junction City KS 10:09, Oakley KS 13:43, Watkins CO 16:35."
"2016-06-20","07:58",72,64693,"Denver CO","18:13",101,64998,"Grand Junction CO",,305,0,10.25,10.25,29.8,8,""
"2016-06-21","07:47",83,64998,"Grand Junction CO","14:57",107,65370,"St George UT",,372,0,7.17,7.17,51.9,8,"107 degF arrival -- the hottest reading in the record"
"2016-06-22","07:29",85,65370,"St George UT","12:03",98,65634,"Barstow CA",,264,0,4.57,4.57,57.8,8,""
"2016-06-23","08:25",88,65640,"Barstow CA","11:24",75,65789,"Lake San Marcos CA",,149,0,2.98,2.98,50,9,"Kim's margin total: 65,789 - 58,559 = 7,230 miles"
