"city","tz","note"
"Aledo TX","America/Chicago",""
"Anchorage AK","America/Anchorage",""
"Atlanta GA","America/New_York",""
"Barstow CA","America/Los_Angeles",""
"Bellingham WA","America/Los_Angeles",""
"Bellmawr NJ","America/New_York",""
"Big Springs NE","America/Denver","BIG SPRINGS is western Nebraska = MOUNTAIN, not Central -- the state is split"
"Billings MT","America/Denver",""
"Bismarck ND","America/Chicago","Bismarck is CENTRAL; western ND is Mountain -- the state is split"
"Bodega Bay CA","America/Los_Angeles",""
"Bowling Green KY","America/Chicago","BOWLING GREEN is western Kentucky = CENTRAL, not Eastern -- the state is split"
"Brawley CA","America/Los_Angeles",""
"Brookings OR","America/Los_Angeles",""
"Burlington IA","America/Chicago",""
"Carlsbad CA","America/Los_Angeles",""
"Carpinteria CA","America/Los_Angeles",""
"Carson City NV","America/Los_Angeles",""
"Casper WY","America/Denver",""
"Charleston SC","America/New_York",""
"Cherokee NC","America/New_York",""
"Coldfoot AK","America/Anchorage",""
"Columbus OH","America/New_York",""
"Dandridge TN","America/New_York","DANDRIDGE is east Tennessee = EASTERN; Murfreesboro is middle Tennessee = CENTRAL"
"Denver CO","America/Denver",""
"Destruction Bay YT","America/Whitehorse","Yukon observed Pacific time in 2013 (it stopped changing clocks in 2020)"
"Edmundston NB","America/Moncton",""
"El Paso TX","America/Denver","El Paso is MOUNTAIN; the rest of Texas is Central"
"Ester AK","America/Anchorage",""
"Eugene OR","America/Los_Angeles",""
"Evanston WY","America/Denver",""
"Flagstaff AZ","America/Phoenix","Arizona does NOT observe DST -- equals Pacific in summer, Mountain in winter"
"Fort Worth TX","America/Chicago",""
"Frostburg MD","America/New_York",""
"Gonzales LA","America/Chicago",""
"Grand Canyon AZ","America/Phoenix","Arizona does NOT observe DST -- equals Pacific in summer, Mountain in winter"
"Grand Junction CO","America/Denver",""
"Grants Pass OR","America/Los_Angeles",""
"Haines AK","America/Anchorage",""
"Hartland VT","America/New_York",""
"Healdsburg CA","America/Los_Angeles",""
"Henderson NC","America/New_York",""
"Holbrook AZ","America/Phoenix","Arizona does NOT observe DST -- equals Pacific in summer, Mountain in winter"
"Homer AK","America/Anchorage",""
"Huntington WV","America/New_York",""
"Jackson MI","America/New_York",""
"John Day OR","America/Los_Angeles",""
"Kingman AZ","America/Phoenix","Arizona does NOT observe DST -- equals Pacific in summer, Mountain in winter"
"Kirkland WA","America/Los_Angeles",""
"Lake San Marcos CA","America/Los_Angeles",""
"Lancaster CA","America/Los_Angeles",""
"Las Vegas NV","America/Los_Angeles",""
"Lebanon NH","America/New_York",""
"Leominster MA","America/New_York",""
"Lethbridge AB","America/Edmonton",""
"Lewiston ID","America/Los_Angeles","northern Idaho is PACIFIC; Pocatello and southern Idaho are Mountain"
"Lincoln City OR","America/Los_Angeles",""
"Lincoln NE","America/Chicago",""
"Livermore CA","America/Los_Angeles",""
"Long Beach CA","America/Los_Angeles",""
"Lubec ME","America/New_York",""
"Memphis TN","America/Chicago",""
"Mentone CA","America/Los_Angeles",""
"Milwaukee WI","America/Chicago",""
"Minneapolis MN","America/Chicago",""
"Missoula MT","America/Denver",""
"Moab UT","America/Denver",""
"Moncton NB","America/Moncton",""
"Monterey CA","America/Los_Angeles",""
"Montgomery AL","America/Chicago",""
"Montreal QB","America/Toronto",""
"Monument Valley UT","America/Denver","Utah side of Monument Valley is MOUNTAIN and DOES observe DST, unlike Arizona 20 miles south"
"Morehead City NC","America/New_York",""
"Morro Bay CA","America/Los_Angeles",""
"Mt Pleasant IA","America/Chicago",""
"Mt Vernon IL","America/Chicago",""
"Murfreesboro TN","America/Chicago","middle Tennessee = CENTRAL, unlike Dandridge in the east"
"Murray Harbour PEI","America/Halifax",""
"Newburyport MA","America/New_York",""
"North Point NL","America/St_Johns","Newfoundland is UTC-3:30 -- a HALF-HOUR zone"
"North Sydney NS (ferry terminal)","America/Halifax",""
"Ogallala NE","America/Denver","western Nebraska / western North Dakota are MOUNTAIN, not Central"
"Omaha NE","America/Chicago",""
"Pasadena TX","America/Chicago",""
"Paso Robles CA","America/Los_Angeles",""
"Phoenix AZ","America/Phoenix","Arizona does NOT observe DST -- equals Pacific in summer, Mountain in winter"
"Pine Mountain KY","America/New_York","Harlan County, eastern Kentucky = EASTERN"
"Pocatello ID","America/Boise","southern Idaho is Mountain"
"Point Arena CA","America/Los_Angeles",""
"Port Allen LA","America/Chicago",""
"Port aux Basques NL","America/St_Johns","Newfoundland is UTC-3:30 -- a HALF-HOUR zone"
"Regina SK","America/Regina","Saskatchewan does NOT observe DST -- CST year round"
"Richmond MO","America/Chicago",""
"Richmond VA","America/New_York",""
"Roseburg OR","America/Los_Angeles",""
"S. San Francisco CA","America/Los_Angeles",""
"Salina KS","America/Chicago",""
"San Antonio TX","America/Chicago",""
"San Francisco CA","America/Los_Angeles",""
"San Luis Obispo CA","America/Los_Angeles",""
"San Marcos CA","America/Los_Angeles",""
"Santa Maria CA","America/Los_Angeles",""
"Santa Rosa NM","America/Denver",""
"Seattle WA (Matson terminal)","America/Los_Angeles","the last mainland location -- the car was shipped from here"
"Sedona AZ","America/Phoenix","Arizona does NOT observe DST -- equals Pacific in summer, Mountain in winter"
"St George UT","America/Denver",""
"St Louis (Fenton) MO","America/Chicago",""
"St Louis MO","America/Chicago",""
"St Peters MO","America/Chicago",""
"Streetsboro OH","America/New_York",""
"Sudbury ON","America/Toronto",""
"Susanville CA","America/Los_Angeles",""
"Sydney NS","America/Halifax",""
"Thunder Bay ON","America/Toronto",""
"Toledo WA","America/Los_Angeles",""
"Trinidad CA","America/Los_Angeles",""
"Vista CA","America/Los_Angeles",""
"Wawa ON","America/Toronto",""
"Whittier AK","America/Anchorage",""
"Wichita Falls TX","America/Chicago",""
"Winnipeg MB","America/Winnipeg",""
"Youngtown AZ","America/Phoenix","Arizona does NOT observe DST -- equals Pacific in summer"
