"errata","odometer","field","old_value","new_value","tier","source"
"L01",13683,"Price/Gallon","3","3.999","already_applied","paper scan + arithmetic"
"L02",14168,"Gallons","7.624","7.264","already_applied","paper scan + arithmetic"
"L03",1109,"State","Arizona","New Mexico","confirmed","geography + Kim GMaps"
"L04",41644,"State","Arizona","New Mexico","confirmed","geography"
"L05",6469,"City","Waynesboro","Waynesburg","confirmed","Kim + 2010 scan"
"L07",65789,"State","Callifornia","California","confirmed","spelling"
"L08",13925,"Price","29.86","29.06","confirmed","AMEX + arithmetic"
"L09a",15509,"Price","26.88","26.08","confirmed","AMEX"
"L09b",15509,"Gallons","7.889","7.088","confirmed","AMEX + arithmetic"
"L10",44014,"Price","42.2","24.2","confirmed","2014 scan p3"
"L11a",58213,"Gallons","6.108","3.641","confirmed","AMEX Jun-2016 $10.92"
"L11b",58213,"Price","16.49","10.92","confirmed","AMEX Jun-2016"
"L11c",58415,"Gallons","6.108","4.531","confirmed","pump receipt, Blythe"
"L11d",58415,"Price","16.49","14.04","confirmed","pump receipt, Blythe"
"L12a",4982,"City","Austinburg","Waterloo","confirmed","AMEX + geography"
"L12b",4982,"State","Ohio","New York","confirmed","AMEX + geography"
"L13",5217,"City","Warren","Austinburg","confirmed","AMEX + geography"
"L14",11794,"City","Santa Cleritos","Santa Clarita","confirmed","spelling + geography"
"L15",2438,"City","Matfield Green","Lenexa","confirmed","AMEX + both adjoining legs"
"L19",9230,"City","Big Springs","Big Spring","confirmed","Kim + map"
"L22",9430,"Brand","Shell","Exxon","confirmed","2010 scan"
"L23",7531,"City","Summerville","Summersville","confirmed","2010 scan"
"L24",9633,"City","Ruidosa","Ruidoso","confirmed","2010 scan"
"L29",28688,"Timestamp","5/31/0202","2012-05-31","confirmed","date typo, year 0202"
"L31",39194,"Price/Gallon","3.359","4.359","confirmed","arithmetic + price family"
"L32",36146,"Price","19.59","16.28","confirmed","Visa $16.28 (16.73 CAD @ 0.9731)"
"L33",38071,"Gallons","5.467","6.496","confirmed","AMEX cost + price family + economy"
"L36",43743,"Price/Gallon","3.69","3.969","confirmed","2014 scan p3"
"L38",58746,"Price","19.66","15.48","confirmed","pump receipt, Winslow"
"L40",56194,"Price/Gallon","4.809","4.089","confirmed","Costco receipt + AMEX"
"L53",61339,"State","Tennessee","Georgia","confirmed","AMEX merchant city"
"L55a",58415,"Brand","Valeor","Quick Check West","confirmed","pump receipt"
"L55b",58746,"Brand","Conoco","Hallum Store","confirmed","pump receipt"
"L42",19491,"Gallons","7.385","7.305","hypothesis","arithmetic + 0/8 mechanism"
"L46",67408,"Price/Gallon","3.009","3.099","hypothesis","arithmetic + price family"
"L20a",23186,"Timestamp","2012-02-06","2012-02-07","confirmed","paper + AMEX: the surviving row is ALPINE"
"L20b",23186,"City","Big Springs","Alpine","confirmed","paper + AMEX"
"L20c",23186,"Brand","Fina","Stripes","confirmed","paper + AMEX"
"L56",26973,"Price","16.86","16.06","hypothesis","4.017 x 3.999 = 16.06; slashed-zero direction is CORRECT (record has 8, truth 0)"
