"year","name","when","miles_stated","approx","trip","source"
2010,"Coast-to-Coast","Sept - November",10000,TRUE,,"Smart_Car_master_dictionary.pdf, 'The Expeditions / Past Trips' (Kim, c.2015)"
2011,"SoCal Desert","January",600,FALSE,,"Smart_Car_master_dictionary.pdf, 'The Expeditions / Past Trips' (Kim, c.2015)"
2011,"SoCal to NoCal and back (Redwoods Trip)","May",1800,FALSE,"2011_NorCalRoadtrip","Smart_Car_master_dictionary.pdf, 'The Expeditions / Past Trips' (Kim, c.2015)"
2011,"St. Louis and back","June 24 to July 19",4802,FALSE,"2011_StLouis","Smart_Car_master_dictionary.pdf, 'The Expeditions / Past Trips' (Kim, c.2015)"
2011,"Yosemite","November",1580,FALSE,,"Smart_Car_master_dictionary.pdf, 'The Expeditions / Past Trips' (Kim, c.2015)"
2012,"Ft. Worth","February",2850,FALSE,,"Smart_Car_master_dictionary.pdf, 'The Expeditions / Past Trips' (Kim, c.2015)"
2012,"Phoenix & Grand Canyon","May",1457,FALSE,"2012_MayArizona","Smart_Car_master_dictionary.pdf, 'The Expeditions / Past Trips' (Kim, c.2015)"
2012,"Frostburg & the Northern States","May-June",6531,FALSE,"2012_Frostburg","Smart_Car_master_dictionary.pdf, 'The Expeditions / Past Trips' (Kim, c.2015)"
2012,"Death Valley","December 26-28",913.8,FALSE,,"Smart_Car_master_dictionary.pdf, 'The Expeditions / Past Trips' (Kim, c.2015)"
2013,"West Coast to the Arctic Circle!","Aug 4 - Sept 6",5470,TRUE,"2013_Arctic","Smart_Car_master_dictionary.pdf, 'The Expeditions / Past Trips' (Kim, c.2015)"
2014,"49 State and 10 Provinces Expedition","April 30 - June 12",10907,FALSE,"2014_PenultimateState","Smart_Car_master_dictionary.pdf, 'The Expeditions / Past Trips' (Kim, c.2015)"
2014,"Ft. Worth Meeting","August",2757,FALSE,,"Smart_Car_master_dictionary.pdf, 'The Expeditions / Past Trips' (Kim, c.2015)"
2014,"Bash on the Bridge","September 19-21",608,FALSE,,"Smart_Car_master_dictionary.pdf, 'The Expeditions / Past Trips' (Kim, c.2015)"
2015,"Sedona","July",1041,FALSE,"2015_Sedona","Smart_Car_master_dictionary.pdf, 'The Expeditions / Past Trips' (Kim, c.2015)"
