"scan_priority","date","city","state","ppg","odo","gal","cost","pump_resid","implied_mpg","diagnosis","hypothesis"
1,2014-05-16,"Colonial Heights","Virginia",3.759,44014,6.437,42.2,18,42.1,"A - pump identity fails: a typed digit; the scan settles it","cost 42.20 -> 24.20? gal x ppg = 24.20 exactly (digit swap)"
2,2013-09-02,"San Mateo","California",3.359,39194,6.507,28.36,6.5,37.8,"A - pump identity fails: a typed digit; the scan settles it","gal x ppg = 21.86; cost reads 28.36"
3,2014-05-03,"Holbrook","Arizona",4.299,41366,1.997,8.5,-0.09,64.1,"B - MPG too HIGH: a fill-up is probably MISSING, not mistyped",""
4,2012-02-06,"Big Springs","Texas",3.779,23186,6.237,23.57,0,76.2,"B - MPG too HIGH: a fill-up is probably MISSING, not mistyped",""
5,2012-06-01,"Morgantown","West Virginia",3.899,28900,4.972,19.39,0,100.6,"B - MPG too HIGH: a fill-up is probably MISSING, not mistyped",""
6,2014-05-28,"Woody Point","Newfoundland",4.917402299,46421,3.740939692,18.4,0,66,"B - MPG too HIGH: a fill-up is probably MISSING, not mistyped","Newfoundland: non-round ppg/gal = a conversion; check units"
7,2017-05-22,"Toledo","Washington",3.379,71181,2.496,8.43,0,92.9,"B - MPG too HIGH: a fill-up is probably MISSING, not mistyped",""
8,2013-08-25,"Homer","Alaska",4.369,38071,5.467,28.38,4.49,52.9,"A - pump identity fails: a typed digit; the scan settles it",""
9,2016-05-27,"Winslow","Arizona",2.439,58746,6.346,19.66,4.18,52.2,"A - pump identity fails: a typed digit; the scan settles it",""
10,2015-05-15,"Carlsbad","California",4.809,56194,5.401,22.08,-3.89,34.1,"A - pump identity fails: a typed digit; the scan settles it",""
11,2013-08-12,"Haines Junction","Yukon",5.374,36146,2.969,19.59,3.63,53.9,"A - pump identity fails: a typed digit; the scan settles it","Yukon: litres/CAD leaking into the US-units columns?"
12,2016-05-26,"Blythe","California",3.099,58415,6.108,16.49,-2.44,33.1,"A - pump identity fails: a typed digit; the scan settles it","gal 6.108 / cost 16.49 IDENTICAL to the previous day's row -- copy-paste?"
13,2011-07-02,"Spring","Texas",3.679,15509,7.889,26.88,-2.14,31.3,"A - pump identity fails: a typed digit; the scan settles it",""
14,2014-05-15,"Conover","North Carolina",3.69,43743,7.119,28.26,1.99,39.5,"A - pump identity fails: a typed digit; the scan settles it",""
15,2016-05-25,"Lake San Marcos","California",2.999,58213,6.108,16.49,-1.83,19.5,"C - MPG too LOW: partial fill, or an odometer digit","gal 6.108 / cost 16.49 IDENTICAL to the next day's row -- copy-paste?"
16,2010-09-20,"Deming","Arizona",2.929,1109,7.119,20.05,-0.8,40.7,"A - pump identity fails: a typed digit; the scan settles it",""
17,2011-06-25,"Ludlow","California",4.599,13925,6.319,29.86,0.8,38.3,"A - pump identity fails: a typed digit; the scan settles it",""
18,2012-05-27,"Douglas","Wyoming",3.999,26973,4.017,16.86,0.8,46.1,"A - pump identity fails: a typed digit; the scan settles it",""
19,2016-09-26,"Piercy","California",3.009,67408,6.834,21.18,0.62,43.5,"A - pump identity fails: a typed digit; the scan settles it",""
20,2011-10-17,"Coarse Gold","California",4.089,19491,7.385,29.87,-0.33,36.6,"A - pump identity fails: a typed digit; the scan settles it",""
21,2010-07-23,"San Diego","California",0,4,8.7,0,0,0,"D - not an error: dealer delivery, first row",""
