"date","City","State","Brand","Price/Gallon","Odometer","Gallons","Price","leg_miles","mpg","pump_resid","partial_fill","odometer_unsourced","units_caution","corrections","corr_source"
2010-07-23,"San Diego","California","Dealer",0,4,8.7,0,NA,NA,0,FALSE,FALSE,FALSE,"",""
2010-07-26,"San Marcos","California","Shell",3.319,266.7,7.137,23.69,262.7,36.81,0,FALSE,FALSE,FALSE,"",""
2010-09-19,"Campo","California","Golden Acorn",3.399,513,6.043,20.54,246.3,40.76,0,FALSE,FALSE,FALSE,"",""
2010-09-19,"Eloy","Arizona","Flying J",2.859,819,8.304,23.74,306,36.85,0,FALSE,FALSE,FALSE,"",""
2010-09-20,"Deming","New Mexico","Fina",2.929,1109,7.119,20.05,290,40.74,-0.8,FALSE,FALSE,FALSE,"L03:State","; geography + Kim GMaps"
2010-09-20,"Pecos","Texas","Fina",2.959,1413,8.476,25.08,304,35.87,0,FALSE,FALSE,FALSE,"",""
2010-09-21,"Abilene","Texas","Fina",2.739,1655,5.624,15.4,242,43.03,0,FALSE,FALSE,FALSE,"",""
2010-09-23,"Flower Mound","Texas","RaceTrac",2.769,1939,7.715,21.36,284,36.81,0,FALSE,FALSE,FALSE,"",""
2010-09-24,"Blackwell","Oklahoma","Shell",2.999,2205,6.165,18.49,266,43.15,0,FALSE,FALSE,FALSE,"",""
2010-09-24,"Lenexa","Kansas","Shell",2.959,2438,7.295,21.59,233,31.94,0,FALSE,FALSE,FALSE,"L15:City","; AMEX + both adjoining legs"
2010-09-29,"St. Louis","Missouri","Conoco",2.689,2744,7.851,21.11,306,38.98,0,FALSE,FALSE,FALSE,"",""
2010-09-30,"Dale","Indiana","Shell",2.899,3035,7.002,20.3,291,41.56,0,FALSE,FALSE,FALSE,"",""
2010-09-30,"Barboursville","West Virginia","Sheetz",2.949,3310,7.153,21.09,275,38.45,0,FALSE,FALSE,FALSE,"",""
2010-10-01,"Hillsville","Virginia","Liberty",2.729,3507,4.118,11.24,197,47.84,0,FALSE,FALSE,FALSE,"",""
2010-10-02,"Waynesboro","Virginia","Sunoco",2.899,3677,5.688,16.49,170,29.89,0,FALSE,FALSE,FALSE,"",""
2010-10-07,"Gettysburg","Pennsylvania","Sheetz",3.099,4046,6.845,21.21,369,53.91,0,FALSE,FALSE,FALSE,"",""
2010-10-07,"Danbury","Connecticut","Mobil",3.159,4349,8.07,25.49,303,37.55,0,FALSE,FALSE,FALSE,"",""
2010-10-09,"Charlton","Massachusetts","Gulf",3.049,4684,8.499,25.91,335,39.42,0,FALSE,FALSE,FALSE,"",""
2010-10-10,"Waterloo","New York","Sunoco",3.079,4982,7.293,22.46,298,40.86,0,FALSE,FALSE,FALSE,"L12a:City L12b:State","; AMEX + geography; AMEX + geography"
2010-10-10,"Austinburg","Ohio","Flying J",3.079,5217,5.762,17.74,235,40.78,0,FALSE,FALSE,FALSE,"L13:City","; AMEX + geography"
2010-10-11,"Dayton","Ohio","Marathon",2.899,5465,7.069,20.42,248,35.08,-0.07,FALSE,FALSE,FALSE,"",""
2010-10-11,"Altamont","Illinois","Marathon",3.129,5730,6.047,18.92,265,43.82,0,FALSE,FALSE,FALSE,"",""
2010-11-05,"Effingham","Illinois","Mobil",3.139,5957,6.48,20.37,227,35.03,0.03,FALSE,FALSE,FALSE,"",""
2010-11-06,"Springfield","Ohio","Shell",3.259,6230,7.275,23.71,273,37.53,0,FALSE,FALSE,FALSE,"",""
2010-11-07,"Waynesburg","Pennsylvania","Sheetz",3.199,6469,6.123,19.59,239,39.03,0,FALSE,TRUE,FALSE,"L05:City","; Kim + 2010 scan"
2010-11-08,"Middleton","Pennsylvania","Sunoco",3.159,6748,6.255,19.76,279,44.6,0,FALSE,FALSE,FALSE,"",""
2010-11-09,"Newburg","Pennsylvania","Sunoco",3.149,6991,5.985,18.85,243,40.6,0,FALSE,FALSE,FALSE,"",""
2010-11-10,"Pittsburgh","Pennsylvania","Sunoco",3.109,7271,7.989,24.84,280,35.05,0,FALSE,FALSE,FALSE,"",""
2010-11-14,"Summersville","West Virginia","Sunoco",3.139,7531,6.94,21.78,260,37.46,0,FALSE,FALSE,FALSE,"L23:City","; 2010 scan"
2010-11-15,"Bessemer","North Carolina","Exxon",3.119,7802,6.581,20.53,271,41.18,0,FALSE,FALSE,FALSE,"",""
2010-11-16,"Villa Rica","Georgia","Shell",3.099,8068,6.482,20.09,266,41.04,0,FALSE,FALSE,FALSE,"",""
2010-11-16,"Tupelo","Mississippi","Love",2.899,8317,6.997,20.28,249,35.59,0,FALSE,FALSE,FALSE,"",""
2010-11-17,"Bryant","Arkansas","Superstop",2.929,8574,6.564,19.22,257,39.15,-0.01,FALSE,FALSE,FALSE,"",""
2010-11-17,"Mt Pleasant","Texas","Exxon",3.099,8756,5.54,17.17,182,32.85,0,FALSE,FALSE,FALSE,"",""
2010-11-21,"Weatherford","Texas","Mobil",3.199,9005,6.232,19.94,249,39.96,0,FALSE,FALSE,FALSE,"",""
2010-11-21,"Big Spring","Texas","Shell",3.099,9230,6.795,21.06,225,33.11,0,FALSE,FALSE,FALSE,"L19:City","; Kim + map"
2010-11-21,"Carlsbad","New Mexico","Exxon",2.899,9430,5.849,16.96,200,34.19,0,FALSE,FALSE,FALSE,"L22:Brand","; 2010 scan"
2010-11-22,"Ruidoso","New Mexico","Circle K",3.029,9633,5.666,17.16,203,35.83,0,FALSE,FALSE,FALSE,"L24:City","; 2010 scan"
2010-11-23,"Willcox","Arizona","Shell",3.089,9944,7.185,22.19,311,43.28,0,FALSE,FALSE,FALSE,"",""
2010-11-24,"Dateland","Arizona","Texaco",3.179,10228,7.005,22.27,284,40.54,0,FALSE,FALSE,FALSE,"",""
2010-11-24,"El Cajon","California","Chevron",3.299,10443,7.056,23.28,215,30.47,0,FALSE,FALSE,FALSE,"",""
2010-11-29,"San Marcos","California","Shell",3.339,10647,5.749,19.28,204,35.48,0.08,FALSE,FALSE,FALSE,"",""
2010-12-27,"San Marcos","California","Shell",3.519,10916,7.09,24.95,269,37.94,0,FALSE,FALSE,FALSE,"",""
2011-02-28,"El Centro","California","USA Gasoline",3.859,11098,4.493,17.34,182,40.51,0,FALSE,FALSE,FALSE,"",""
2011-03-02,"LaQuinta","California","Mobil",3.939,11313,5.695,22.43,215,37.75,0,FALSE,FALSE,FALSE,"",""
2011-03-02,"San Marcos","California","Shell",3.999,11551,5.779,23.11,238,41.18,0,FALSE,FALSE,FALSE,"",""
2011-05-06,"Santa Clarita","California","Chevron",4.499,11794,5.729,25.77,243,42.42,0,FALSE,FALSE,FALSE,"L14:City","; spelling + geography"
2011-05-06,"Santa Nella","California","TA",4.499,12034,6.881,30.96,240,34.88,0,FALSE,FALSE,FALSE,"",""
2011-05-07,"Cloverdale","California","Shell",4.499,12278,6.432,28.94,244,37.94,0,FALSE,FALSE,FALSE,"",""
2011-05-08,"Klamath","California","Pemamec Fuel Mart",4.729,12559,6.703,31.7,281,41.92,0,FALSE,FALSE,FALSE,"",""
2011-05-10,"Healdsburg","California","Rotten Robbie",4.479,12850,7.115,31.87,291,40.9,0,FALSE,FALSE,FALSE,"",""
2011-05-10,"San Louis Obispo","California","Chevron",4.599,13148,6.654,30.6,298,44.79,0,FALSE,FALSE,FALSE,"",""
2011-05-11,"Laguna Hills","California","Union 76",4.459,13410,6.463,28.82,262,40.54,0,FALSE,FALSE,FALSE,"",""
2011-06-23,"San Marcos","California","Shell",3.999,13683,8.101,32.48,273,33.7,0.08,FALSE,FALSE,FALSE,"",""
2011-06-25,"Ludlow","California","Union 76",4.599,13925,6.319,29.06,242,38.3,0,FALSE,FALSE,FALSE,"L08:Price","; AMEX + arithmetic"
2011-06-25,"Ash Fork","Arizona","Chevron",4.199,14168,7.264,30.5,243,33.45,0,FALSE,FALSE,FALSE,"",""
