"key_logged","city_correct","state_correct","lat_correct","lon_correct","action","basis","evidence","status"
"bessemer|north carolina","Bessemer City","North Carolina",35.28428,-81.28259,"REPLACE coordinate","assistant-supplied coordinate -- VERIFY before relying on it","gazetteer placed it near Greensboro, ~100 mi off; with Bessemer City the GMaps/SL ratio is 1.08","PROPOSED"
"big springs|texas","Big Spring","Texas",32.2504,-101.47874,"REPLACE coordinate","assistant-supplied coordinate -- VERIFY before relying on it","SCOPE: row-level, 2010-11-21 only. The same logged label resolves differently in different rows.","REINSTATED 2026-08-18 - withdrawal was WRONG. Applies to the 2010-11-21 row, which IS Big Spring TX mis-geocoded to Nebraska. Does NOT apply to 2012-02-06 (a merged row, see L20)"
"deming|new mexico","Deming","New Mexico",32.2687,-107.7584,"ADD entry","assistant-supplied coordinate -- VERIFY before relying on it","needed once the Deming state correction is applied; GMaps/SL ratio 1.21","PROPOSED"
"waynesburg|pennsylvania","Waynesburg","Pennsylvania",39.89594,-80.18089,"ADD entry","assistant-supplied coordinate -- VERIFY before relying on it","needed once Waynesboro->Waynesburg is applied; GMaps/SL ratio 1.18","PROPOSED"
"waterloo|new york","Waterloo","New York",42.9048,-76.8677,"ADD entry","assistant-supplied coordinate -- VERIFY","required by AMEX correction L12; ratios become 1.17 and 1.08","PROPOSED"
"santa cleritos|california","Santa Clarita","California",34.3917,-118.5426,"REPLACE coordinate","assistant-supplied coordinate -- VERIFY","logged spelling geocoded to CERRITOS, 45.4 mi away; with Santa Clarita the ratio becomes plausible","PROPOSED"
"lenexa|kansas","Lenexa","Kansas",38.95362,-94.73357,"ADD entry","assistant-supplied coordinate -- VERIFY","required by L15","PROPOSED"
"alpine|texas","Alpine","Texas",30.3585,-103.66155,"ADD entry","assistant-supplied coordinate -- VERIFY","required by L17","PROPOSED"
"elroy|az","Eloy","AZ",32.7558962,-111.554844,"rename","Google Geocoding API, audited by point-in-polygon","Eloy, AZ, USA","settled"
"lake havasu|az","Lake Havasu City","AZ",34.4769588,-114.3191952,"rename","Google Geocoding API, audited by point-in-polygon","Lake Havasu City, AZ, USA","settled"
"quartzite|az","Quartzsite","AZ",33.6639137,-114.2299486,"rename","Google Geocoding API, audited by point-in-polygon","Quartzsite, AZ 85346, USA","settled"
"big oak flat|ca","Groveland-Big Oak Flat","CA",37.8617633,-120.1935663,"rename","Google Geocoding API, audited by point-in-polygon","Groveland-Big Oak Flat, CA, USA","settled"
"ft bragg|ca","Fort Bragg","CA",39.445723,-123.8052935,"rename","Google Geocoding API, audited by point-in-polygon","Fort Bragg, CA 95437, USA","settled"
"ft. oglethorpe|ga","Fort Oglethorpe","GA",34.9489645,-85.2569,"rename","Google Geocoding API, audited by point-in-polygon","Fort Oglethorpe, GA, USA","settled"
"gothensburg|ne","Gothenburg","NE",40.9276614,-100.1606978,"rename","Google Geocoding API, audited by point-in-polygon","Gothenburg, NE 69138, USA","settled"
"alamogaordo|nm","Alamogordo","NM",32.9007766,-105.9601797,"rename","Google Geocoding API, audited by point-in-polygon","Alamogordo, NM 88310, USA","settled"
"amagosa|nv","Amargosa Valley","NV",36.6437843,-116.4002815,"rename","Google Geocoding API, audited by point-in-polygon","Amargosa Valley, NV 89020, USA","settled"
"spanish forks|ut","Spanish Fork","UT",40.0780777825836,-111.606451430738,"rename","Google Geocoding API, audited by point-in-polygon","Spanish Fork, Utah 84660, USA","settled"
"anacrtes|wa","Anacortes","WA",48.5126045,-122.6126718,"rename","Google Geocoding API, audited by point-in-polygon","Anacortes, WA, USA","settled"
"bainbridge is|wa","Bainbridge Island","WA",47.6248791,-122.5210008,"rename","Google Geocoding API, audited by point-in-polygon","Bainbridge Island, WA, USA","settled"
"mt. vernon|wa","Mount Vernon","WA",48.4201105,-122.3374542,"rename","Google Geocoding API, audited by point-in-polygon","Mount Vernon, WA, USA","settled"
"dekorra|wi","Dekorra","WI",43.4583051,-89.4666217,"rename","Google Geocoding API, audited by point-in-polygon","Dekorra, WI 53955, USA","settled"
