"date","from","to","odo_mi","straight_mi","ratio","class"
2010-09-20,"Deming, Arizona","Pecos, Texas",304,513.7,0.59,"GEOCODE - Deming is NEW MEXICO, logged as Arizona"
2010-09-29,"Matfield Green, Kansas","St. Louis, Missouri",306,346.1,0.88,"odometer suspect - needs the scan"
2010-10-10,"Charlton, Massachusetts","Austinburg, Ohio",298,457,0.65,"odometer suspect - needs the scan"
2010-11-07,"Springfield, Ohio","Waynesboro, Pennsylvania",239,330.6,0.72,"odometer suspect - needs the scan"
2010-11-16,"Bessemer, North Carolina","Villa Rica, Georgia",266,335.2,0.79,"odometer suspect - needs the scan"
2010-11-21,"Big Springs, Texas","Carlsbad, New Mexico",200,541.6,0.37,"GEOCODE - 'Big Springs' TX mis-placed (Big Spring, TX)"
2011-05-06,"Santa Cleritos, California","Santa Nella, California",240,278.2,0.86,"odometer suspect - needs the scan"
2011-07-18,"Cedar City, Utah","Las Vegas, Nevada",148,154.9,0.96,"odometer suspect - needs the scan"
2012-02-08,"Big Springs, Texas","Las Cruces, New Mexico",257,690.5,0.37,"GEOCODE - 'Big Springs' TX mis-placed (Big Spring, TX)"
2012-06-11,"Jackson, Michigan","Madison, Wisconsin",239,259.7,0.92,"odometer suspect - needs the scan"
2013-08-12,"Bellingham, Washington","Haines Junction, Yukon",160,1018.2,0.16,"NOT AN ERROR - Alaska ferry"
2013-08-31,"Homer, Alaska","Lakewood, Washington",336,1455.3,0.23,"NOT AN ERROR - Alaska ferry"
2014-05-05,"Deming, Arizona","Van Horn, Texas",214,456.4,0.47,"GEOCODE - Deming is NEW MEXICO, logged as Arizona"
2014-05-26,"Sydney Mines, Nova Scotia","Corner Brook, Newfoundland",140,215.1,0.65,"NOT AN ERROR - Newfoundland ferry"
2014-05-29,"Port Aux Basques, Newfoundland","Aulac, New Brunswick",264,270.6,0.98,"NOT AN ERROR - Newfoundland ferry"
