"id","date","location","field","logged","corrected","basis","status"
"L01","2011-06-23","San Marcos CA","Price/Gallon","3.000","3.999","arithmetic + scan","APPLIED 2026-08-17"
"L02","2011-06-25","Ash Fork AZ","Gallons","7.624","7.264","arithmetic + scan","APPLIED 2026-08-17"
"L03","2010-09-20","Deming","State","Arizona","New Mexico","geography + Kim GMaps 311","PROPOSED"
"L04","2014-05-05","Deming","State","Arizona","New Mexico","geography","PROPOSED"
"L05","2010-11-07","Waynesboro PA","City","Waynesboro","Waynesburg","Kim, from memory","CONFIRMED 2026-08-18 - the paper plainly reads Waynesburg"
"L06","2010-11-07","Waynesboro PA","Odometer","(blank)","LEAVE BLANK","CONFIRMED FROM THE 2010 SCAN: the paper's ODO cell for Waynesburg is genuinely BLANK, yet the sheet carries 6469 -- a value with NO SOURCE, reconstructed at transcription time","CONFIRMED 2026-08-18 - and the sheet's 6469 must be marked UNSOURCED"
"L07","*","Lake San Marcos","State","Callifornia","California","spelling","PROPOSED"
"L08","2011-06-25","Ludlow CA","(pump identity)","6.319 x 4.599 = 29.06","29.06","Kim confirmed 2026-08-18: AMEX reads $29.06. Matches 6.319 x 4.599 = 29.06 exactly. Sheet's 29.86 is a single-digit slip (8 for 0).","RESOLVED 2026-08-18 - arithmetic and card agree"
"L09","2011-07-02","Spring TX","(pump identity)","7.889 x 3.679 = 29.02","cost 26.08 (AMEX) AND gallons 7.088 -- BOTH were wrong","Kim's AMEX 2026-08-18 gives 26.08. With the recorded price 3.679 the gallons must be 7.088: 7.088 x 3.679 = 26.08 exactly. So 7.889 is also a typo. Both are 8/0 confusions in the same row.","RESOLVED 2026-08-18 - two fields, one row"
"L10","2014-05-16","Colonial Heights VA","Price","42.20","24.20","2014 SCAN p3: paper reads $24.20; 6.437 x 3.759 = 24.20 exactly. Brand Wawa confirmed.","CONFIRMED 2026-08-18 - digit transposition 24.20 -> 42.20"
"L11","2016-05-25/26","LSM / Blythe CA","Gallons + Price","6.108 / 16.49 twice","ALL THREE ROWS RECOVERED: LSM 3.641 gal/$10.92 | Blythe 4.531 gal/$14.04 | Winslow 6.346 gal/$15.48","LSM from the AMEX Jun-2016 statement; Blythe and Winslow from Kim's ORIGINAL PUMP RECEIPTS (2016 Fourth Crossing set, pp.7 and 9). Each receipt is internally exact. The fill-drag borrowed gallons+cost from Signal Hill into LSM and Blythe, and cost only from Monticello into Winslow.","FULLY RESOLVED 2026-08-18 - receipt-sourced, highest evidence tier"
"L12","2010-10-10","logged 'Austinburg, OH'","City + State","Austinburg, Ohio (Sunoco, $22.46)","Waterloo, New York","KIM'S AMEX STATEMENT SCANS - brand and cost are the invariant that anchors the row","CONFIRMED 2026-08-18 - geography agrees"
"L13","2010-10-10","logged 'Warren, OH'","City","Warren, Ohio (Flying J, $17.74)","Austinburg, Ohio","KIM'S AMEX STATEMENT SCANS - brand and cost are the invariant that anchors the row","CONFIRMED 2026-08-18 - geography agrees"
"L14","2011-05-06","Santa Cleritos, CA","City","Santa Cleritos","Santa Clarita","spelling; the misspelling geocodes to a real but wrong city (Cerritos)","PROPOSED - geography agrees"
"L15","2010-09-24","logged 'Matfield Green, KS' ($21.59)","City","Matfield Green, Kansas","Lenexa, Kansas","Kim; confirmed on BOTH adjoining legs -- inbound ratio 2.30->1.15, outbound 0.88->1.25","CONFIRMED 2026-08-18"
"L16","2012-06-11","Jackson MI -> Madison WI","(no error)","flagged impossible, ratio 0.92","NOT AN ERROR - ferry","Kim: Lake Michigan crossing. Muskegon-Milwaukee fits the 239 mi recorded (~220 driving)","RESOLVED 2026-08-18 - fifth ferry"
"L17","2012-02-06","logged 'Big Springs, TX' ($23.57)","City + Brand","Big Springs, Texas / Fina","SPLIT INTO TWO ROWS - see L20; not a simple city relabel","SUPERSEDED by Kim's paper+AMEX transcription 2026-08-18: the row is a MERGE of two fill-ups, not a mislabelled one","REVISED 2026-08-18 - my correction was directionally right, structurally wrong"
"L18","2012-02-06","Ft Worth -> Alpine TX","(missing row)","475 mi on 6.237 gal = 76.2 MPG","a fill-up is MISSING","475 mi vs a ~331 mi tank range. Kim's Alpine detour CONFIRMS the route, so the missing fill-up is physically required, not merely suspected","CLOSED 2026-08-18 - the missing fill-up IS Big Spring, 2/6, odo 22945"
"L19","2010-11-21","logged 'Big Springs, TX' (Shell, $21.06)","City","Big Springs, Texas","Big Spring, Texas (singular) - a spelling slip only; the STOP was correct","Kim 2026-08-18: handwriting unclear but the map is unambiguous. Both legs verify: 1.04 and 1.24, MPG 33.1 and 34.2, pump identity already clean","RESOLVED 2026-08-18 - row is clean once the name is fixed"
"L20","2012-02-06 / 02-07","Big Spring TX + Alpine TX","WHOLE ROW - two collapsed into one","one row: date/city/brand from BIG SPRING + $per gal/odo/gallons/cost from ALPINE","TWO rows -- 2/6 Big Spring TX Fina 3.799 22945 6.608 $25.10 ; 2/7 Alpine TX Stripes 3.779 23186 6.237 $23.57","Kim's original fuel log, confirmed against AMEX. Restores MPG 35.4/38.6/36.3 and ratios 0.96/1.31/1.13","CONFIRMED 2026-08-18 - highest-confidence entry in the table"
"L21","2010-11-07","Waynesburg PA","Odometer","6469 (present in the sheet)","NO SOURCE - paper cell is blank","the number was invented or reconstructed during the original transcription; BOTH adjoining leg distances depend on it","FLAG AS UNSOURCED - do not delete, do not trust"
"L22","2010-11-21","Carlsbad, NM","Brand","Shell","Exxon","2010 scan","CONFIRMED 2026-08-18"
"L23","2010-11-14","Summerville, WV","City","Summerville","Summersville","2010 scan","CONFIRMED 2026-08-18"
"L24","2010-11-22","Ruidosa, NM","City","Ruidosa","Ruidoso","2010 scan","CONFIRMED 2026-08-18"
"L25","2014-05-03","Holbrook, AZ","(no error)","flagged: 64.1 MPG implied","NOT AN ERROR - PARTIAL FILL","2014 scan p1: only 1.997 gal taken. Tank-to-tank MPG is undefined across a partial fill.","RESOLVED 2026-08-18"
"L26","2017-05-22","Toledo, WA","(no error)","flagged: 92.9 MPG implied","LIKELY PARTIAL FILL - 2.496 gal","same mechanism as L25; confirm against the 2017 scan","PROBABLE 2026-08-18"
