"after","on_station_from","to","days","odo_at_start","odo_at_end","miles","mi_day","band"
"2011_NorCalRoadtrip","2011-05-11","2011-06-24",44,13461,13689,228,5.2,"on station (<300 mi)"
"2011_StLouis","2011-07-19","2012-05-03",289,18789,24197,5408,18.7,"unlogged trip (>1500)"
"2012_MayArizona","2012-05-09","2012-05-24",15,25654,25714,60,4,"on station (<300 mi)"
"2012_Frostburg","2012-06-16","2013-08-04",414,32245,34419,2174,5.3,"unlogged trip (>1500)"
"2013_Arctic","2013-09-06","2013-12-26",111,39820,40068,248,2.2,"on station (<300 mi)"
"2013-4_LAExpedition","2013-12-26","2014-04-30",125,40328,40682,354,2.8,"ambiguous (300-1500)"
"2014_PenultimateState","2014-06-12","2015-07-07",390,51589,56378,4789,12.3,"unlogged trip (>1500)"
"2015_Sedona","2015-07-10","2016-05-26",321,57418,58214,796,2.5,"ambiguous (300-1500)"
"2016_FourthCrossing","2016-06-23","2016-09-24",93,65789,66645,856,9.2,"ambiguous (300-1500)"
"2016_FallWinter","2016-09-27","2017-01-05",100,67786,67954,168,1.7,"on station (<300 mi)"
"2017_January","2017-01-07","2017-02-01",25,69045,69705,660,26.4,"ambiguous (300-1500)"
"2017_February","2017-02-07","2017-05-22",104,70923,71181,258,2.5,"on station (<300 mi)"
