"city_logged","state","city_resolved","lat","lon","location_type","formatted","audit","spelling_corrected","source","retrieved"
"Elroy","AZ","Eloy",32.7558962,-111.554844,"APPROXIMATE","Eloy, AZ, USA","PASS",TRUE,"Google Geocoding API","2026-09-01"
"Lake Havasu","AZ","Lake Havasu City",34.4769588,-114.3191952,"APPROXIMATE","Lake Havasu City, AZ, USA","PASS",TRUE,"Google Geocoding API","2026-09-01"
"Parker","AZ","Parker",34.1500162,-114.2891177,"APPROXIMATE","Parker, AZ, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Quartzite","AZ","Quartzsite",33.6639137,-114.2299486,"APPROXIMATE","Quartzsite, AZ 85346, USA","PASS",TRUE,"Google Geocoding API","2026-09-01"
"Sanders","AZ","Sanders",35.2091429,-109.328794,"APPROXIMATE","Sanders, AZ 86512, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Seligman","AZ","Seligman",35.3255608,-112.8774057,"APPROXIMATE","Seligman, AZ 86337, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Winslow","AZ","Winslow",35.0241873,-110.6973571,"APPROXIMATE","Winslow, AZ 86047, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Nanoose Bay","BC","Nanoose Bay",49.2723165,-124.1930531,"APPROXIMATE","Nanoose Bay, BC, Canada","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Tofino","BC","Tofino",49.1529842,-125.9066184,"APPROXIMATE","Tofino, BC V0R 2Z0, Canada","PASS (coastal)",FALSE,"Google Geocoding API","2026-09-01"
"Big Oak Flat","CA","Groveland-Big Oak Flat",37.8617633,-120.1935663,"APPROXIMATE","Groveland-Big Oak Flat, CA, USA","PASS",TRUE,"Google Geocoding API","2026-09-01"
"Bodega Bay","CA","Bodega Bay",38.33325,-123.0480571,"APPROXIMATE","Bodega Bay, CA, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Crescent City","CA","Crescent City",41.7557501,-124.2025913,"APPROXIMATE","Crescent City, CA, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
"Eureka","CA","Eureka",40.8020712,-124.1636729,"APPROXIMATE","Eureka, CA, USA","PASS",FALSE,"Google Geocoding API","2026-09-01"
