"accepted_name","genus","family","class","n_records","rank","det_conflict","lifeform","lifeform_source"
"Daucus pusillus","Daucus","Apiaceae","Magnoliopsida",1,"species","","herb","gift-species"
"Foeniculum vulgare","Foeniculum","Apiaceae","Magnoliopsida",1,"species","","herb","gift-species"
"Ilex cornuta","Ilex","Aquifoliaceae","Magnoliopsida",1,"species","","tree","gift-genus"
"Dianella sandwicensis","Dianella","Asphodelaceae","Liliopsida",3,"species","","herb","gift-species"
"Bidens cosmoides","Bidens","Asteraceae","Magnoliopsida",1,"species","","herb","gift-species"
"Bidens sandvicensis","Bidens","Asteraceae","Magnoliopsida",2,"species","","herb","gift-species"
"Erigeron sp.","Erigeron","Asteraceae","Magnoliopsida",1,"genus","","herb","gift-genus"
"Lipochaeta fauriei","Lipochaeta","Asteraceae","Magnoliopsida",2,"species","","herb","gift-species"
"Melanthera sp.","Melanthera","Asteraceae","Magnoliopsida",1,"genus","","herb","gift-genus"
"Wilkesia gymnoxiphium","Wilkesia","Asteraceae","Magnoliopsida",1,"species","","shrub","gift-species"
"Wilkesia sp.","Wilkesia","Asteraceae","Magnoliopsida",1,"genus","","shrub","gift-genus"
"Casuarina glauca","Casuarina","Casuarinaceae","Magnoliopsida",1,"species","","tree","gift-species"
"Carex meyenii","Carex","Cyperaceae","Liliopsida",2,"species","","graminoid","clade"
"Carex wahuensis","Carex","Cyperaceae","Liliopsida",3,"species","","graminoid","clade"
"Gahnia aspera","Gahnia","Cyperaceae","Liliopsida",2,"species","","graminoid","clade"
"Diospyros sandwicensis","Diospyros","Ebenaceae","Magnoliopsida",1,"species","","tree","gift-species"
"Leptecophylla sp.","Leptecophylla","Ericaceae","Magnoliopsida",1,"genus","","shrub","gift-genus"
"Leptecophylla tameiameiae","Leptecophylla","Ericaceae","Magnoliopsida",1,"species","","tree","gift-species"
"Euphorbia atrococca","Euphorbia","Euphorbiaceae","Magnoliopsida",1,"species","","herb","gift-genus"
"Acacia mearnsii","Acacia","Fabaceae","Magnoliopsida",1,"species","","tree","gift-species"
"Erodium cicutarium","Erodium","Geraniaceae","Magnoliopsida",1,"species","","herb","gift-species"
"Scaevola gaudichaudii","Scaevola","Goodeniaceae","Magnoliopsida",2,"species","","shrub","gift-species"
"Huperzia serrata","Huperzia","Lycopodiaceae","Lycopodiopsida",1,"species","","fern","clade"
"Lycopodium venustulum","Lycopodium","Lycopodiaceae","Lycopodiopsida",1,"species","","fern","clade"
"Hibiscus waimeae","Hibiscus","Malvaceae","Magnoliopsida",2,"species","","tree","gift-species"
"Sida cordifolia","Sida","Malvaceae","Magnoliopsida",1,"species","","shrub","gift-genus"
"Metrosideros polymorpha","Metrosideros","Myrtaceae","Magnoliopsida",3,"species","","tree","gift-species"
"Pisonia sandwicensis","Pisonia","Nyctaginaceae","Magnoliopsida",1,"species","","tree","gift-genus"
"Passiflora tarminiana","Passiflora","Passifloraceae","Magnoliopsida",1,"species","","herb","gift-genus"
"Pittosporum sp.","Pittosporum","Pittosporaceae","Magnoliopsida",1,"genus","","tree","gift-genus"
"Eragrostis variabilis","Eragrostis","Poaceae","Liliopsida",1,"species","","graminoid","clade"
"Lachnagrostis filiformis","Lachnagrostis","Poaceae","Liliopsida",1,"species","","graminoid","clade"
"Rumex acetosella","Rumex","Polygonaceae","Magnoliopsida",1,"species","","herb","gift-species"
"Myrsine lanaiensis","Myrsine","Primulaceae","Magnoliopsida",1,"species","","tree","gift-genus"
"Doryopteris decipiens","Doryopteris","Pteridaceae","Polypodiopsida",3,"species","","fern","clade"
"Doryopteris decora","Doryopteris","Pteridaceae","Polypodiopsida",1,"species","","fern","clade"
"Psychotria hexandra","Psychotria","Rubiaceae","Magnoliopsida",1,"species","","tree","gift-species"
"Melicope haupuensis","Melicope","Rutaceae","Magnoliopsida",1,"species","","tree","gift-species"
"Dodonaea viscosa","Dodonaea","Sapindaceae","Magnoliopsida",3,"species","","tree","gift-species"
"Selaginella laxa","Selaginella","Selaginellaceae","Lycopodiopsida",1,"species","","fern","clade"
"Solanum sandwicense","Solanum","Solanaceae","Magnoliopsida",1,"species","","shrub","gift-species"
"Wikstroemia sp.","Wikstroemia","Thymelaeaceae","Magnoliopsida",1,"genus","","shrub","gift-genus"
"Viola sp.","Viola","Violaceae","Magnoliopsida",1,"genus","","herb","gift-genus"
"Viola tracheliifolia","Viola","Violaceae","Magnoliopsida",3,"species","","herb","gift-genus"
