"taxon","gift_status","wagner_status"
"Alyxia stellata","endemic","I"
"Ilex anomala","endemic","I"
"Asplenium macraei","introduced","E"
"Cyanea floribunda","indigenous","E"
"Cibotium glaucum","indigenous","E"
"Ipomoea indica","introduced","I"
"Microlepia speluncae","introduced","I"
"Dryopteris fuscoatra","indigenous","E"
"Dryopteris hawaiiensis","indigenous","E"
"Nephrolepis biserrata","introduced","I"
"Nephrolepis cordifolia","introduced","I"
"Persicaria punctata","introduced","I"
"Pteris cretica","introduced","I"
"Dodonaea viscosa","introduced","I"
