accepted_name,family,common_name,status,rank,n_records,notes,det_conflict,det_conflict_note,verbatim_names
Asplenium furcatum,Aspleniaceae,,?,species,1,native; name of doubtful application,,,"Asplenium furcatum Hillebr., 1888 [1]"
Nephrolepis sp.,Nephrolepidaceae,,?,genus,2,genus-level; incl. name of doubtful application,,,Nephrolepis Schott [1]; Nephrolepis saligna Carruth. [1]
Hedyotis biflora,Rubiaceae,,?,species,1,weedy; identity/status doubtful at this elevation,doubtful,Sole specimen = Bishop sheet 656953 (Cuddihy 1980); BISH dets it Ludwigia palustris. Presence rests on the contested det.,Hedyotis biflora (L.) Lam. [1]
Araucaria sp.,Araucariaceae,araucaria,Cult,genus,2,planted; genus-level record,,,Araucaria Juss. [2]
Corylus americana,Betulaceae,American hazelnut,Cult,species,1,planted trial,doubtful,Sole specimen = Bishop sheet 668168 (Cuddihy 1980); BISH dets it Corylus cornuta. Presence rests on the contested det.,Corylus americana Walter [1]
Corylus cornuta,Betulaceae,beaked hazelnut,Cult,species,1,planted trial,doubtful,Sole specimen = Bishop sheet 668168 (Cuddihy 1980); BPBM dets it Corylus americana. Exactly one of the two is real.,Corylus cornuta Marshall [1]
Cunninghamia lanceolata,Cupressaceae,China-fir,Cult,species,2,planted trial,,,Cunninghamia lanceolata (Lamb.) Hook. [2]
Cupressus arizonica,Cupressaceae,Arizona cypress,Cult,species,2,planted trial,,,Cupressus arizonica Greene [2]
Cupressus sempervirens,Cupressaceae,Italian cypress,Cult,species,2,planted trial,,,Cupressus sempervirens L. [2]
Sequoia sempervirens,Cupressaceae,coast redwood,Cult,species,2,planted trial,,,Sequoia sempervirens (D.Don) Endl. [2]
Castanea dentata,Fagaceae,American chestnut,Cult,species,6,planted trial or mislabeled specimen - verify,,,Castanea dentata (Marshall) Borkh. [6]
Carya illinoinensis,Juglandaceae,pecan,Cult,species,2,planted trial,,,Carya illinoensis (Wangenh.) K.Koch [1]; Carya illinoinensis (Wangenh.) K.Koch [1]
Juglans regia,Juglandaceae,English walnut,Cult,species,4,planted trial,,,Juglans regia L. [4]
