"accepted_name","genus","family","class","n_records","rank","det_conflict","lifeform","lifeform_source","gift_status","wagner_status","status_agree"
"Charpentiera obovata","Charpentiera","Amaranthaceae","Magnoliopsida",1,"species","","tree","gift-species","endemic","E",TRUE
"Charpentiera sp.","Charpentiera","Amaranthaceae","Magnoliopsida",1,"genus","","tree","gift-genus",,,
"Alyxia stellata","Alyxia","Apocynaceae","Magnoliopsida",3,"species","","shrub","gift-species","endemic","I",FALSE
"Ilex anomala","Ilex","Aquifoliaceae","Magnoliopsida",2,"species","","tree","gift-species","endemic","I",FALSE
"Cheirodendron trigynum","Cheirodendron","Araliaceae","Magnoliopsida",1,"species","","tree","gift-species","endemic","E",TRUE
"Araucaria sp.","Araucaria","Araucariaceae","Pinopsida",1,"genus","","tree","gift-genus",,"Cult",
"Dianella sandwicensis","Dianella","Asphodelaceae","Liliopsida",3,"species","","herb","gift-species","indigenous","I",TRUE
"Asplenium adiantum-nigrum","Asplenium","Aspleniaceae","Polypodiopsida",4,"species","","fern","clade","indigenous","I",TRUE
"Asplenium contiguum","Asplenium","Aspleniaceae","Polypodiopsida",1,"species","","fern","clade","indigenous","I",TRUE
"Asplenium furcatum","Asplenium","Aspleniaceae","Polypodiopsida",1,"species","","fern","clade",,"?",
"Asplenium macraei","Asplenium","Aspleniaceae","Polypodiopsida",1,"species","","fern","clade","introduced","E",FALSE
"Asplenium sp.","Asplenium","Aspleniaceae","Polypodiopsida",3,"genus","","fern","clade",,"I",
"Achillea millefolium","Achillea","Asteraceae","Magnoliopsida",1,"species","","herb","gift-species","introduced","Nat",TRUE
"Ageratina riparia","Ageratina","Asteraceae","Magnoliopsida",2,"species","","shrub","gift-genus","introduced","Nat",TRUE
"Dubautia ciliolata","Dubautia","Asteraceae","Magnoliopsida",1,"species","","shrub","gift-species","endemic","E",TRUE
"Hypochaeris radicata","Hypochaeris","Asteraceae","Magnoliopsida",2,"species","conflict","herb","gift-species","introduced","Nat",TRUE
"Leucanthemum vulgare","Leucanthemum","Asteraceae","Magnoliopsida",1,"species","","herb","gift-species","introduced","Nat",TRUE
"Pluchea carolinensis","Pluchea","Asteraceae","Magnoliopsida",1,"species","","shrub","gift-species","introduced","Nat",TRUE
"Youngia japonica","Youngia","Asteraceae","Magnoliopsida",2,"species","","herb","gift-species","introduced","Nat",TRUE
"Diplazium sandwichianum","Diplazium","Athyriaceae","Polypodiopsida",2,"species","","fern","clade","endemic","E",TRUE
