"collector","specimens","taxa","first","last","span_yrs","institutions"
"Cuddihy",99,39,1979,1980,1,"BISH,BPBM"
"Davis",41,15,1979,1980,1,"BISH,BPBM,US"
"Degener",15,11,1929,1977,48,"AK,DBG,IND,NMNZ,NY,W"
"Anderson",11,5,1980,1980,0,"BISH,BPBM"
"Sykes",7,4,1989,1989,0,"AK,CHR"
"Baker",6,2,1975,1975,0,"NY"
"Clarke",6,3,1979,1980,1,"BISH,BPBM"
"Van Riper",6,6,1998,1998,0,"ASC"
"Dawson",5,2,1997,1997,0,"NMNZ"
"Rock",5,3,1911,1948,37,"BISH,BPBM,NMNZ"
"Carlquist",4,4,1966,1967,1,"RSA"
"Kubo",4,1,1980,1980,0,"BISH,BPBM"
"Maslin",4,1,1984,1984,0,"PERTH"
"Fosberg",3,2,1951,1951,0,"BISH,BPBM,RSA"
"Long",3,3,2001,2001,0,"USU"
"Percy",3,1,2003,2003,0,"US"
"Allan",2,1,1999,1999,0,"US"
"Herat",2,1,1974,1974,0,"BISH,BPBM"
"Kiehn",2,2,2002,2009,7,"WU"
"Wilbur",2,2,1948,1948,0,"NMNZ"
"Yuncker",2,1,1933,1933,0,"NY"
"Bulmer",1,1,1975,1975,0,"K"
"Forbes",1,1,1915,1915,0,"MNHN"
"Jamieson",1,1,1991,1991,0,"AK"
"Morden",1,1,2024,2024,0,"HAW"
"Skottsberg",1,1,1938,1938,0,"AK"
"Thorne",1,1,1989,1989,0,"NY"
"Wiebke",1,1,1929,1929,0,"NY"
