"catalogNumber","institutionCode","collector","year","recordNumber","species"
"656108","BISH","Cuddihy",1980,"491","Cerastium holosteoides"
"656108","BPBM","Cuddihy",1980,"Collector Number: 491","Cerastium glomeratum"
"656211","BISH","Cuddihy",1980,"456","Hypochaeris radicata"
"656211","BPBM","Cuddihy",1980,"Collector Number: 456","Hypochoeris radicata"
"656286","BISH","Cuddihy",1980,"560","Cardamine occulta"
"656286","BPBM","Cuddihy",1980,"Collector Number: 560","Cardamine flexuosa"
"656421","BISH","Anderson",1980,"405","Carya illinoinensis"
"656421","BPBM","Anderson",1980,"Collector Number: 405","Carya illinoensis"
"656875","BISH","Cuddihy",1980,"544","Eriocapitella hupehensis"
"656875","BPBM","Cuddihy",1980,"Collector Number: 544","Eriocapitella japonica"
"656953","BISH","Cuddihy",1980,"561","Ludwigia palustris"
"656953","BPBM","Cuddihy",1980,"Collector Number: 561","Leptopetalum biflorum"
"668168","BISH","Cuddihy",1980,"611","Corylus cornuta"
"668168","BPBM","Cuddihy",1980,"Collector Number: 611","Corylus americana"
"770507","BISH","Cuddihy",1979,"82","Pyracantha koidzumii"
"770507","BPBM","Cuddihy",1979,"Collector Number: 082","Pyracantha angustifolia"
