gbif_scientificName,n_records
Melicope pseudoanisata (Rock) T.G.Hartley & B.C.Stone,12
Castanea dentata (Marshall) Borkh.,6
Cynoglossum amabile Stapf & J.R.Drumm.,6
Freycinetia arborea Gaudich.,6
Melinis minutiflora P.Beauv.,6
Metrosideros polymorpha Gaudich.,6
Peperomia cookiana C.DC.,6
Stachytarpheta australis Moldenke,6
Alyxia stellata (J.R.Forst. & G.Forst.) Roem. & Schult.,5
Dodonaea viscosa (L.) Jacq.,5
Hibiscadelphus giffardianus Rock,5
Wikstroemia sandwicensis Meisn.,5
Ageratina riparia (Regel) R.M.King & H.Rob.,4
Asplenium adiantum-nigrum L.,4
Buddleja asiatica Lour.,4
Coprosma rhynchocarpa A.Gray,4
Cyrtandra platyphylla A.Gray,4
Elaphoglossum hirtum var. micans (Mett.) C.Chr.,4
Fragaria vesca L.,4
Ilex anomala Hook. & Arn.,4
Juglans regia L.,4
Microlepia strigosa (Thunb.) C.Presl,4
Mimosa pudica var. unijuga (Duchass. & Walp.) Griseb.,4
Modiola caroliniana (L.) G.Don,4
Physalis peruviana L.,4
Psidium guajava L.,4
Pteridium aquilinum var. decompositum (Gaudich.) R.M.Tryon,4
Racosperma koa (A.Gray) Pedley,4
Rumex acetosella L.,4
Setaria parviflora (Poir.) Kerguelen,4
Youngia japonica (L.) DC.,4
Asplenium L.,3
Cyrtomium caryotideum (Wall. ex Hook. & Grev.) C.Presl,3
Dianella sandwicensis Hook. & Arn.,3
Hibiscadelphus hualalaiensis Rock,3
Metrosideros polymorpha var. incana (H.Lev.) Skottsb.,3
Myrsine lessertiana A.DC.,3
"Nestegis sandwicensis (A.Gray) O.Deg., I.Deg. & L.A.S.Johnson",3
Pipturus albidus (Hook. & Arn.) A.Gray,3
Pipturus albidus (Hook. & Arn.) A.Gray ex H.Mann,3
Pseudoscleropodium purum (Hedw.) M.Fleisch.,3
Pyracantha koidzumii (Hayata) Rehder,3
Sophora chrysophylla (Salisb.) Seem.,3
Agrostis stolonifera L.,2
Alphitonia ponderosa Hillebr.,2
Araucaria Juss.,2
Axonopus fissifolius (Raddi) Kuhlm.,2
