"key","scientificName","species","family","genus","recordedBy","collector","eventDate","year","month","day","catalogNumber","institutionCode","collectionCode","decimalLatitude","decimalLongitude"
"5912076773","Myoporum sandwicense (A.DC.) A.Gray","Myoporum sandwicense","Scrophulariaceae","Myoporum","Cliff Morden; Lahela Camara","Morden","2024-07-19",2024,7,19,"HAW55138","HAW",,19.454222,-155.294528
"5004361242","Zanthoxylum dipetalum H.Mann","Zanthoxylum dipetalum","Rutaceae","Zanthoxylum","Kiehn,M. & Pratt,M.K. MK-900211-4/2","Kiehn","2009-02-11",2009,2,11,"0140891","WU","Herbarium WU",19.43778,-155.30306
"3762874336","Psychotria hawaiiensis (A.Gray) Fosberg","Psychotria hawaiiensis","Rubiaceae","Psychotria",,,"2009-04-01",2009,4,1,"ASU0322360","ASU","Plants",19.44694,-155.30361
"3762889340","Sapindus saponaria L.","Sapindus saponaria","Sapindaceae","Sapindus",,,"2009-04-01",2009,4,1,"ASU0323260","ASU","Plants",19.44694,-155.30361
"3762890341","Nestegis sandwicensis (A.Gray) O.Deg., I.Deg. & L.A.S.Johnson","Nestegis sandwicensis","Oleaceae","Nestegis",,,"2009-04-01",2009,4,1,"ASU0319156","ASU","Plants",19.44694,-155.30361
"3762891339","Pisonia sandwicensis Hillebr.","Pisonia sandwicensis","Nyctaginaceae","Pisonia",,,"2009-04-01",2009,4,1,"ASU0319711","ASU","Plants",19.44694,-155.30361
"3762892340","Coprosma ochracea W.R.B.Oliv.","Coprosma ochracea","Rubiaceae","Coprosma",,,"2009-04-01",2009,4,1,"ASU0322359","ASU","Plants",19.44694,-155.30361
"3762893341","Ipomoea indica (Burm.) Merr.","Ipomoea indica","Convolvulaceae","Ipomoea",,,"2009-04-01",2009,4,1,"ASU0315729","ASU","Plants",19.44694,-155.30361
"3762894339","Myrsine lessertiana A.DC.","Myrsine lessertiana","Primulaceae","Myrsine",,,"2009-04-01",2009,4,1,"ASU0322211","ASU","Plants",19.44694,-155.30361
"3762895337","Nestegis sandwicensis (A.Gray) O.Deg., I.Deg. & L.A.S.Johnson","Nestegis sandwicensis","Oleaceae","Nestegis",,,"2009-04-01",2009,4,1,"ASU0319155","ASU","Plants",19.44694,-155.30361
"4167896350","Metrosideros polymorpha var. incana (H.Lév.) Skottsb.","Metrosideros polymorpha","Myrtaceae","Metrosideros","D. Percy","Percy","2003-08-21",2003,8,21,"US 3759853","US","US",19.4372,-155.303
"4167896353","Metrosideros polymorpha var. incana (H.Lév.) Skottsb.","Metrosideros polymorpha","Myrtaceae","Metrosideros","D. Percy","Percy","2003-08-19",2003,8,19,"US 3759852","US","US",19.4247,-155.293
"4167908355","Metrosideros polymorpha var. incana (H.Lév.) Skottsb.","Metrosideros polymorpha","Myrtaceae","Metrosideros","D. Percy","Percy","2003-08-21",2003,8,21,"US 3759851","US","US",19.4372,-155.303
"1830975118","Sophora chrysophylla (Salisb.) Seem.","Sophora chrysophylla","Fabaceae","Sophora","Kiehn,M. & Kiehn,M. 020402-3","Kiehn","2002-04-02",2002,4,2,"0027491","WU","Herbarium WU",19.4425,-155.31306
"1986978733","Vaccinium reticulatum Sm.","Vaccinium reticulatum","Ericaceae","Vaccinium","Sandy Long","Long","2001-02-23",2001,2,23,"UTC00239560","USU","UTC",19.437,-155.30333
"2237844457","Hypochaeris radicata L.","Hypochaeris radicata","Asteraceae","Hypochaeris","Sandy Long","Long","2001-02-23",2001,2,23,"UTC00239558","USU","UTC",19.437,-155.30333
"2237844513","Nuttallanthus canadensis (L.) D.A.Sutton","Nuttallanthus canadensis","Plantaginaceae","Nuttallanthus","Sandy Long","Long","2001-02-23",2001,2,23,"UTC00239556","USU","UTC",19.437,-155.30333
"1320620727","Pittosporum hosmeri Rock","Pittosporum hosmeri","Pittosporaceae","Pittosporum","G. Allan","Allan","1999-04-12",1999,4,12,"US 3686563","US","US",19.4411,-155.301
"1322812987","Pittosporum hosmeri Rock","Pittosporum hosmeri","Pittosporaceae","Pittosporum","G. Allan","Allan","1999-04-10",1999,4,10,"US 3686565","US","US",19.4406,-155.307
"3091201415","Styphelia tameiameiae (Cham.) F.Muell.","Leptecophylla tameiameiae","Ericaceae","Leptecophylla","C. Van Riper","Van Riper","1998-03-11",1998,3,11,"ASC00069341","ASC",,19.43761,-155.30305
"3091221582","Sapindus oahuensis Hillebr. ex Radlk.","Sapindus oahuensis","Sapindaceae","Sapindus","C. Van Riper","Van Riper","1998-03-11",1998,3,11,"ASC00069331","ASC",,19.43761,-155.30305
"3091221706","Dodonaea viscosa (L.) Jacq.","Dodonaea viscosa","Sapindaceae","Dodonaea","C. Van Riper","Van Riper","1998-03-11",1998,3,11,"ASC00069332","ASC",,19.43761,-155.30305
"3091224114","Metrosideros collina (Forst.) A.Gray","Metrosideros collina","Myrtaceae","Metrosideros","C. Van Riper","Van Riper","1998-03-11",1998,3,11,"ASC00069335","ASC",,19.43761,-155.30305
"3091254547","Cheirodendron trigynum (Gaudich.) A.Heller","Cheirodendron trigynum","Araliaceae","Cheirodendron","C. Van Riper","Van Riper","1998-03-11",1998,3,11,"ASC00069343","ASC",,19.43761,-155.30305
"3091290085","Myoporum sandwicense (A.DC.) A.Gray","Myoporum sandwicense","Scrophulariaceae","Myoporum","C. Van Riper","Van Riper","1998-03-11",1998,3,11,"ASC00069337","ASC",,19.43761,-155.30305
"4520736118","Metrosideros polymorpha var. glabrifolia (A.Heller) H.St.John","Metrosideros polymorpha","Myrtaceae","Metrosideros","John Dawson","Dawson","1997-12-03",1997,12,3,"SP110323","NMNZ","WELT",19.446198,-155.304108
"4520736929","Metrosideros polymorpha var. pumila (A.Heller) Skottsb.","Metrosideros polymorpha","Myrtaceae","Metrosideros","John Dawson","Dawson","1997-12-03",1997,12,3,"SP110324","NMNZ","WELT",19.446198,-155.304108
"4520850291","Metrosideros polymorpha var. polymorpha","Metrosideros polymorpha","Myrtaceae","Metrosideros","John Dawson","Dawson","1997-12-03",1997,12,3,"SP110343","NMNZ","WELT",19.446198,-155.304108
"4520863137","Coprosma menziesii A.Gray","Coprosma menziesii","Rubiaceae","Coprosma","John Dawson","Dawson","1997-12-03",1997,12,3,"SP102253","NMNZ","WELT",19.446198,-155.304108
"4520871324","Coprosma J.R.Forst. & G.Forst.",,"Rubiaceae","Coprosma","John Dawson","Dawson","1997-12-03",1997,12,3,"SP102255","NMNZ","WELT",19.446198,-155.304108
"1897725052","Dubautia ciliolata (DC.) D.D.Keck","Dubautia ciliolata","Asteraceae","Dubautia","A R Jamieson","Jamieson","1991-10-07",1991,10,7,"AK208721","AK","AK",19.430556,-155.283333
"1091096693","Pittosporum Gaertn.",,"Pittosporaceae","Pittosporum","Bill Sykes","Sykes","1989-03-28",1989,3,28,"CHR 464461","CHR","CHR",19.44678,-155.30437
"1091192079","Charpentiera Gaudich.",,"Amaranthaceae","Charpentiera","Bill Sykes","Sykes","1989-03-28",1989,3,28,"CHR 464462","CHR","CHR",19.44678,-155.30437
"1091269634","Alphitonia ponderosa Hillebr.","Alphitonia ponderosa","Rhamnaceae","Alphitonia","Bill Sykes","Sykes","1989-03-28",1989,3,28,"CHR 464467 A","CHR","CHR",19.44678,-155.30437
"1091324498","Nestegis sandwicensis (A.Gray) O.Deg., I.Deg. & L.A.S.Johnson","Nestegis sandwicensis","Oleaceae","Nestegis","Bill Sykes","Sykes","1989-03-28",1989,3,28,"CHR 464463","CHR","CHR",19.44678,-155.30437
"1897830007","Myrica faya (Dryand.) Aiton","Morella faya","Myricaceae","Morella","W R Sykes","Sykes","1989-03-28",1989,3,28,"AK358972","AK","AK",19.45,-155.283333
"1897831314","Pipturus albidus (Hook. & Arn.) A.Gray ex H.Mann","Pipturus albidus","Urticaceae","Pipturus","W R Sykes","Sykes","1989-03-28",1989,3,28,"AK361053","AK","AK",19.453722,-155.3005
"5069611313","Alphitonia ponderosa Hillebr.","Alphitonia ponderosa","Rhamnaceae","Alphitonia","Bill Sykes","Sykes","1989-03-28",1989,3,28,"CHR 464467 B","CHR","CHR",19.44678,-155.30437
"1929169526","Peperomia cookiana C.DC.","Peperomia cookiana","Piperaceae","Peperomia","K. H. Thorne","Thorne","1989-08-10",1989,8,10,"179994","NY","NY",19.439338,-155.305384
"2854334017","Racosperma koa (A.Gray) Pedley","Acacia koa","Fabaceae","Acacia","Maslin, B.R.","Maslin","1984-06-23",1984,6,23,"PERTH 1529870","PERTH","PERTH",19.434444,-155.281389
"2854356452","Racosperma koa (A.Gray) Pedley","Acacia koa","Fabaceae","Acacia","Maslin, B.R.","Maslin","1984-06-23",1984,6,23,"PERTH 1529862","PERTH","PERTH",19.434444,-155.281389
"2854375746","Racosperma koa (A.Gray) Pedley","Acacia koa","Fabaceae","Acacia","Maslin, B.R.","Maslin","1984-06-23",1984,6,23,"PERTH 1529846","PERTH","PERTH",19.440556,-155.308056
"2854435885","Racosperma koa (A.Gray) Pedley","Acacia koa","Fabaceae","Acacia","Maslin, B.R.","Maslin","1984-06-23",1984,6,23,"PERTH 1529854","PERTH","PERTH",19.434444,-155.281389
"34815640","Ageratina riparia (Regel) R.M.King & H.Rob.","Ageratina riparia","Asteraceae","Ageratina","Cuddihy, L.W. State ESP team","Cuddihy","1980-01-23",1980,1,23,"667287","BPBM","BISH",19.45,-155.3
"34818071","Ageratina riparia (Regel) R.M.King & H.Rob.","Ageratina riparia","Asteraceae","Ageratina","Cuddihy, L.W. State ESP team","Cuddihy","1980-01-23",1980,1,23,"656189","BPBM","BISH",19.45,-155.283
"34936151","Alyxia stellata (J.R.Forst. & G.Forst.) Roem. & Schult.","Alyxia stellata","Apocynaceae","Alyxia","Davis, J. State ESP team","Davis","1980-01-08",1980,1,8,"668206","BPBM","BISH",19.45,-155.283
"34937314","Alyxia stellata (J.R.Forst. & G.Forst.) Roem. & Schult.","Alyxia stellata","Apocynaceae","Alyxia","Davis, J. ESP team","Davis","1980-01-08",1980,1,8,"656084","BPBM","BISH",19.45,-155.283
"35636126","Buddleja asiatica Lour.","Buddleja asiatica","Scrophulariaceae","Buddleja","Cuddihy, L.W. State ESP team","Cuddihy","1980-01-08",1980,1,8,"770262","BPBM","BISH",19.45,-155.283
"35638859","Buddleja asiatica Lour.","Buddleja asiatica","Scrophulariaceae","Buddleja","Cuddihy, L.W. State ESP team","Cuddihy","1980-01-08",1980,1,8,"656651","BPBM","BISH",19.45,-155.283
"36073564","Cocculus orbiculatus (L.) DC.","Cocculus orbiculatus","Menispermaceae","Cocculus","Cuddihy, L.W. State ESP team","Cuddihy","1980-01-31",1980,1,31,"770325","BPBM","BISH",19.45,-155.283
"36144360","Coprosma rhynchocarpa A.Gray","Coprosma rhynchocarpa","Rubiaceae","Coprosma","Cuddihy, L.W. State ESP team","Cuddihy","1980-01-08",1980,1,8,"656927","BPBM","BISH",19.45,-155.283
"37266148","Ilex anomala Hook. & Arn.","Ilex anomala","Aquifoliaceae","Ilex","Cuddihy, L.W. State ESP team","Cuddihy","1980-01-04",1980,1,4,"656085","BPBM","BISH",19.45,-155.283
"37269448","Ilex anomala Hook. & Arn.","Ilex anomala","Aquifoliaceae","Ilex","Cuddihy, L.W. State ESP team","Cuddihy","1980-01-04",1980,1,4,"668214","BPBM","BISH",19.45,-155.283
"37963027","Peperomia blanda var. floribunda (Miq.) H.Huber","Peperomia leptostachya","Piperaceae","Peperomia","Cuddihy, L.W. State ESP team","Cuddihy","1980-01-29",1980,1,29,"656820","BPBM","BISH",19.45,-155.3
"38061986","Pipturus albidus (Hook. & Arn.) A.Gray","Pipturus albidus","Urticaceae","Pipturus","Davis, J. State ESP team","Davis","1980-01-08",1980,1,8,"657113","BPBM","BISH",19.45,-155.3
"38151195","Pluchea carolinensis (Jacq.) G.Don","Pluchea carolinensis","Asteraceae","Pluchea","Davis, J. State ESP team","Davis","1980-01-08",1980,1,8,"656232","BPBM","BISH",19.4333,-155.283
"38505346","Rumex acetosella L.","Rumex acetosella","Polygonaceae","Rumex","Davis, J. State ESP team","Davis","1980-01-08",1980,1,8,"770497","BPBM","BISH",19.45,-155.283
"38508669","Rumex acetosella L.","Rumex acetosella","Polygonaceae","Rumex","Davis, J. State ESP team","Davis","1980-01-08",1980,1,8,"656862","BPBM","BISH",19.45,-155.283
"38755444","Stachytarpheta australis Moldenke","Stachytarpheta cayennensis","Verbenaceae","Stachytarpheta","Cuddihy, L.W. State ESP team","Cuddihy","1980-01-08",1980,1,8,"657127","BPBM","BISH",19.45,-155.3
"38759173","Stachytarpheta australis Moldenke","Stachytarpheta cayennensis","Verbenaceae","Stachytarpheta","Cuddihy, L.W. State ESP team","Cuddihy","1980-01-08",1980,1,8,"770735","BPBM","BISH",19.45,-155.3
"39428439","Trifolium repens var. repens","Trifolium repens","Fabaceae","Trifolium","Cuddihy, L.W. State ESP team","Cuddihy","1980-01-08",1980,1,8,"770233","BPBM","BISH",19.45,-155.283
"39684819","Wikstroemia sandwicensis Meisn.","Wikstroemia sandwicensis","Thymelaeaceae","Wikstroemia","Davis, J. State ESP team","Davis","1980-01-08",1980,1,8,"657084","BPBM","BISH",19.45,-155.3
"39692222","Wikstroemia sandwicensis Meisn.","Wikstroemia sandwicensis","Thymelaeaceae","Wikstroemia","Davis, J. State ESP team","Davis","1980-01-08",1980,1,8,"657086","BPBM","BISH",19.45,-155.3
"39737698","Youngia japonica (L.) DC.","Youngia japonica","Asteraceae","Youngia","Cuddihy, L.W. State ESP team","Cuddihy","1980-01-08",1980,1,8,"667407","BPBM","BISH",19.45,-155.283
"239229791","Physalis peruviana L.","Physalis peruviana","Solanaceae","Physalis","Cuddihy, L.W. State ESP team","Cuddihy","1980-01-08",1980,1,8,"657072","BPBM","BISH",19.45,-155.3
"239229924","Physalis peruviana L.","Physalis peruviana","Solanaceae","Physalis","Davis, J. State ESP team","Davis","1980-01-08",1980,1,8,"770675","BPBM","BISH",19.45,-155.283
"1322680531","Wikstroemia sandwicensis Meisn.","Wikstroemia sandwicensis","Thymelaeaceae","Wikstroemia","J. Davis & State ESP team","Davis","1980-01-08",1980,1,8,"US 3413204","US","US",19.45,-155.3
"5956204511","Pipturus albidus (Hook. & Arn.) A.Gray","Pipturus albidus","Urticaceae","Pipturus","Davis, J.; State ESP team","Davis","1980-01-08",1980,1,8,"657113","BISH",,19.45,-155.3
"5956244223","Ageratina riparia (Regel) R.M.King & H.Rob.","Ageratina riparia","Asteraceae","Ageratina","Cuddihy, L.W.; State ESP team","Cuddihy","1980-01-23",1980,1,23,"656189","BISH",,19.45,-155.283333
"5956251042","Mimosa pudica var. unijuga (Duchass. & Walp.) Griseb.","Mimosa pudica","Fabaceae","Mimosa","Cuddihy, L.W.","Cuddihy","1980-01-01",1980,1,1,"656556","BISH",,19.433333,-155.283333
"5956255172","Ageratina riparia (Regel) R.M.King & H.Rob.","Ageratina riparia","Asteraceae","Ageratina","Cuddihy, L.W.; State ESP team","Cuddihy","1980-01-23",1980,1,23,"667287","BISH",,19.45,-155.3
"5956263971","Mimosa pudica var. unijuga (Duchass. & Walp.) Griseb.","Mimosa pudica","Fabaceae","Mimosa","Cuddihy, L.W.","Cuddihy","1980-01-01",1980,1,1,"770190","BISH",,19.433333,-155.283333
"5956290300","Alyxia stellata (J.R.Forst. & G.Forst.) Roem. & Schult.","Alyxia stellata","Apocynaceae","Alyxia","Davis, J.; ESP team","Davis","1980-01-08",1980,1,8,"656084","BISH",,19.45,-155.283333
"5956316635","Trifolium repens subsp. repens","Trifolium repens","Fabaceae","Trifolium","Cuddihy, L.W.; State ESP team","Cuddihy","1980-01-08",1980,1,8,"770233","BISH",,19.45,-155.283333
"5956317250","Buddleja asiatica Lour.","Buddleja asiatica","Scrophulariaceae","Buddleja","Cuddihy, L.W.; State ESP team","Cuddihy","1980-01-08",1980,1,8,"770262","BISH",,19.45,-155.283333
"5956335801","Ilex anomala Hook. & Arn.","Ilex anomala","Aquifoliaceae","Ilex","Cuddihy, L.W.; State ESP team","Cuddihy","1980-01-04",1980,1,4,"656085","BISH",,19.45,-155.283333
"5956338390","Youngia japonica (L.) DC.","Youngia japonica","Asteraceae","Youngia","Cuddihy, L.W.; State ESP team","Cuddihy","1980-01-08",1980,1,8,"667407","BISH",,19.45,-155.283333
"5956411532","Nephroia orbiculata (L.) L.Lian & Wei Wang","Cocculus orbiculatus","Menispermaceae","Cocculus","Cuddihy, L.W.; State ESP team","Cuddihy","1980-01-31",1980,1,31,"770325","BISH",,19.45,-155.283333
"5956433549","Pluchea carolinensis (Jacq.) G.Don","Pluchea carolinensis","Asteraceae","Pluchea","Davis, J.; State ESP team","Davis","1980-01-08",1980,1,8,"656232","BISH",,19.433333,-155.283333
"5956447797","Peperomia blanda var. floribunda (Miq.) H.Huber","Peperomia leptostachya","Piperaceae","Peperomia","Cuddihy, L.W.; State ESP team","Cuddihy","1980-01-29",1980,1,29,"656820","BISH",,19.45,-155.3
"5956490622","Coprosma rhynchocarpa A.Gray","Coprosma rhynchocarpa","Rubiaceae","Coprosma","Cuddihy, L.W.; State ESP team","Cuddihy","1980-01-08",1980,1,8,"656927","BISH",,19.45,-155.283333
"5956490673","Alyxia stellata (J.R.Forst. & G.Forst.) Roem. & Schult.","Alyxia stellata","Apocynaceae","Alyxia","Davis, J.; State ESP team","Davis","1980-01-08",1980,1,8,"668206","BISH",,19.45,-155.283333
"5956509318","Ilex anomala Hook. & Arn.","Ilex anomala","Aquifoliaceae","Ilex","Cuddihy, L.W.; State ESP team","Cuddihy","1980-01-04",1980,1,4,"668214","BISH",,19.45,-155.283333
"5956543222","Stachytarpheta australis Moldenke","Stachytarpheta cayennensis","Verbenaceae","Stachytarpheta","Cuddihy, L.W.; State ESP team","Cuddihy","1980-01-08",1980,1,8,"657127","BISH",,19.45,-155.3
"5956544473","Rumex acetosella L.","Rumex acetosella","Polygonaceae","Rumex","Davis, J.; State ESP team","Davis","1980-01-08",1980,1,8,"770497","BISH",,19.45,-155.283333
"5956553813","Wikstroemia sandwicensis Meisn.","Wikstroemia sandwicensis","Thymelaeaceae","Wikstroemia","Davis, J.; State ESP team","Davis","1980-01-08",1980,1,8,"657084","BISH",,19.45,-155.3
"5956557150","Wikstroemia sandwicensis Meisn.","Wikstroemia sandwicensis","Thymelaeaceae","Wikstroemia","Davis, J.; State ESP team","Davis","1980-01-08",1980,1,8,"657086","BISH",,19.45,-155.3
"5956560132","Buddleja asiatica Lour.","Buddleja asiatica","Scrophulariaceae","Buddleja","Cuddihy, L.W.; State ESP team","Cuddihy","1980-01-08",1980,1,8,"656651","BISH",,19.45,-155.283333
"5956567564","Rumex acetosella L.","Rumex acetosella","Polygonaceae","Rumex","Davis, J.; State ESP team","Davis","1980-01-08",1980,1,8,"656862","BISH",,19.45,-155.283333
"5956572101","Physalis peruviana L.","Physalis peruviana","Solanaceae","Physalis","Cuddihy, L.W.; State ESP team","Cuddihy","1980-01-08",1980,1,8,"657072","BISH",,19.45,-155.3
"5956634583","Stachytarpheta australis Moldenke","Stachytarpheta cayennensis","Verbenaceae","Stachytarpheta","Cuddihy, L.W.; State ESP team","Cuddihy","1980-01-08",1980,1,8,"770735","BISH",,19.45,-155.3
"5956651705","Physalis peruviana L.","Physalis peruviana","Solanaceae","Physalis","Davis, J.; State ESP team","Davis","1980-01-08",1980,1,8,"770675","BISH",,19.45,-155.283333
"36224332","Cyanea floribunda E.Wimm.","Cyanea floribunda","Campanulaceae","Cyanea","Clarke, G.","Clarke","1980-02-07",1980,2,7,"657771","BPBM","BISH",19.4333,-155.283
"36252801","Cynoglossum amabile Stapf & J.R.Drumm.","Cynoglossum amabile","Boraginaceae","Cynoglossum","Davis, J. State ESP team","Davis","1980-02-07",1980,2,7,"656100","BPBM","BISH",19.45,-155.283
"36253410","Cynoglossum amabile Stapf & J.R.Drumm.","Cynoglossum amabile","Boraginaceae","Cynoglossum","Davis, J. State ESP team","Davis","1980-02-07",1980,2,7,"656101","BPBM","BISH",19.45,-155.283
"36255083","Cynoglossum amabile Stapf & J.R.Drumm.","Cynoglossum amabile","Boraginaceae","Cynoglossum","Davis, J. State ESP team","Davis","1980-02-07",1980,2,7,"667241","BPBM","BISH",19.45,-155.3
"38071888","Pipturus hawaiiensis H.Lév.","Pipturus albidus","Urticaceae","Pipturus","Cuddihy, L.W. State ESP team","Cuddihy","1980-02-07",1980,2,7,"770717","BPBM","BISH",19.45,-155.283
"38767504","Stenogyne calaminthoides A.Gray","Stenogyne calaminthoides","Lamiaceae","Stenogyne","Davis, J. State ESP team","Davis","1980-02-07",1980,2,7,"667595","BPBM","BISH",19.45,-155.283
"5956160449","Cyanea floribunda E.Wimm.","Cyanea floribunda","Campanulaceae","Cyanea","Clarke, G.","Clarke","1980-02-07",1980,2,7,"657771","BISH",,19.433333,-155.283333
"5956161272","Pipturus albidus (Hook. & Arn.) A.Gray","Pipturus albidus","Urticaceae","Pipturus","Cuddihy, L.W.; State ESP team","Cuddihy","1980-02-07",1980,2,7,"770717","BISH",,19.45,-155.283333
"5956238477","Cynoglossum amabile Stapf & J.R.Drumm.","Cynoglossum amabile","Boraginaceae","Cynoglossum","Davis, J.; State ESP team","Davis","1980-02-07",1980,2,7,"667241","BISH",,19.45,-155.3
"5956494971","Cynoglossum amabile Stapf & J.R.Drumm.","Cynoglossum amabile","Boraginaceae","Cynoglossum","Davis, J.; State ESP team","Davis","1980-02-07",1980,2,7,"656100","BISH",,19.45,-155.283333
"5956553862","Stenogyne calaminthoides A.Gray","Stenogyne calaminthoides","Lamiaceae","Stenogyne","Davis, J.; State ESP team","Davis","1980-02-07",1980,2,7,"667595","BISH",,19.45,-155.283333
"5956631140","Cynoglossum amabile Stapf & J.R.Drumm.","Cynoglossum amabile","Boraginaceae","Cynoglossum","Davis, J.; State ESP team","Davis","1980-02-07",1980,2,7,"656101","BISH",,19.45,-155.283333
