"key","species","family","recordedBy","recordNumber","eventDate","year","catalogNumber","institutionCode","collectionCode","collector","inst_norm","rn"
"1897828776","Solanum americanum","Solanaceae","O Degener|I Degener",,"1976-01-23",1976,"AK143453","AK","AK","Degener","AK",
"2883333073","Coprosma ernodeoides","Rubiaceae","O Degener|I Degener",,"1977-06-29",1977,"AK153974","AK","AK","Degener","AK",
"1897725052","Dubautia ciliolata","Asteraceae","A R Jamieson",,"1991-10-07",1991,"AK208721","AK","AK","Jamieson","AK",
"1897842200","Melicope cinerea","Rutaceae","L M Cranwell|O H Selling|C Skottsberg",,"1938-09-19",1938,"AK25346","AK","AK","Skottsberg","AK",
"1897830007","Morella faya","Myricaceae","W R Sykes",,"1989-03-28",1989,"AK358972","AK","AK","Sykes","AK",
"1897831314","Pipturus albidus","Urticaceae","W R Sykes",,"1989-03-28",1989,"AK361053","AK","AK","Sykes","AK",
"3091221582","Sapindus oahuensis","Sapindaceae","C. Van Riper","s.n.","1998-03-11",1998,"ASC00069331","ASC",,"Van Riper","ASC","sn"
"3091221706","Dodonaea viscosa","Sapindaceae","C. Van Riper","s.n.","1998-03-11",1998,"ASC00069332","ASC",,"Van Riper","ASC","sn"
"3091224114","Metrosideros collina","Myrtaceae","C. Van Riper","s.n.","1998-03-11",1998,"ASC00069335","ASC",,"Van Riper","ASC","sn"
"3091290085","Myoporum sandwicense","Scrophulariaceae","C. Van Riper","s.n.","1998-03-11",1998,"ASC00069337","ASC",,"Van Riper","ASC","sn"
"3091201415","Leptecophylla tameiameiae","Ericaceae","C. Van Riper","s.n.","1998-03-11",1998,"ASC00069341","ASC",,"Van Riper","ASC","sn"
"3091254547","Cheirodendron trigynum","Araliaceae","C. Van Riper","s.n.","1998-03-11",1998,"ASC00069343","ASC",,"Van Riper","ASC","sn"
"3762893341","Ipomoea indica","Convolvulaceae",,,"2009-04-01",2009,"ASU0315729","ASU","Plants",,"ASU",
"3762895337","Nestegis sandwicensis","Oleaceae",,,"2009-04-01",2009,"ASU0319155","ASU","Plants",,"ASU",
"3762890341","Nestegis sandwicensis","Oleaceae",,,"2009-04-01",2009,"ASU0319156","ASU","Plants",,"ASU",
"3762891339","Pisonia sandwicensis","Nyctaginaceae",,,"2009-04-01",2009,"ASU0319711","ASU","Plants",,"ASU",
"3762894339","Myrsine lessertiana","Primulaceae",,,"2009-04-01",2009,"ASU0322211","ASU","Plants",,"ASU",
"3762892340","Coprosma ochracea","Rubiaceae",,,"2009-04-01",2009,"ASU0322359","ASU","Plants",,"ASU",
"3762874336","Psychotria hawaiiensis","Rubiaceae",,,"2009-04-01",2009,"ASU0322360","ASU","Plants",,"ASU",
"3762889340","Sapindus saponaria","Sapindaceae",,,"2009-04-01",2009,"ASU0323260","ASU","Plants",,"ASU",
"5956606516","Metrosideros polymorpha","Myrtaceae","Herat, T.; Herat, R.; Higashino, P.K.","561","1974-06-12",1974,"410687","BISH",,"Herat","Bishop Museum","561"
"5956594059","Metrosideros polymorpha","Myrtaceae","Rock, J.F.C.","s.n.","1916-04-23",1916,"427629","BISH",,"Rock","Bishop Museum","sn"
"5956588337","Verbena litoralis","Verbenaceae","Davis, J.; State ESP team","166","1979-12-18",1979,"567131","BISH",,"Davis","Bishop Museum","166"
"5956233363","Metrosideros polymorpha","Myrtaceae","Fosberg, F.R.","33291","1951-02-11",1951,"60279","BISH",,"Fosberg","Bishop Museum","33291"
"5956290300","Alyxia stellata","Apocynaceae","Davis, J.; ESP team","185","1980-01-08",1980,"656084","BISH",,"Davis","Bishop Museum","185"
"5956335801","Ilex anomala","Aquifoliaceae","Cuddihy, L.W.; State ESP team","89","1980-01-04",1980,"656085","BISH",,"Cuddihy","Bishop Museum","89"
"5956494971","Cynoglossum amabile","Boraginaceae","Davis, J.; State ESP team","225","1980-02-07",1980,"656100","BISH",,"Davis","Bishop Museum","225"
"5956631140","Cynoglossum amabile","Boraginaceae","Davis, J.; State ESP team","225","1980-02-07",1980,"656101","BISH",,"Davis","Bishop Museum","225"
"5956481103","Cerastium holosteoides","Caryophyllaceae","Cuddihy, L.W.","491","1980-08-06",1980,"656108","BISH",,"Cuddihy","Bishop Museum","491"
"5956536359","Leucanthemum vulgare","Asteraceae","Cuddihy, L.W.; State ESP team","44","1979-12-18",1979,"656171","BISH",,"Cuddihy","Bishop Museum","44"
"5956244223","Ageratina riparia","Asteraceae","Cuddihy, L.W.; State ESP team","139","1980-01-23",1980,"656189","BISH",,"Cuddihy","Bishop Museum","139"
"5956405630","Hypochaeris radicata","Asteraceae","Cuddihy, L.W.","456","1980-05-20",1980,"656211","BISH",,"Cuddihy","Bishop Museum","456"
"5956433549","Pluchea carolinensis","Asteraceae","Davis, J.; State ESP team","189","1980-01-08",1980,"656232","BISH",,"Davis","Bishop Museum","189"
"5956582917","Youngia japonica","Asteraceae","Cuddihy, L.W.","548","1980-08-19",1980,"656266","BISH",,"Cuddihy","Bishop Museum","548"
"1090317860",,"Brassicaceae","Cuddihy, L.W.","Collector Number: 571","1980-09-24",1980,"656277","BPBM","BISH","Cuddihy","Bishop Museum","collectornumber571"
"5956460461","Cardamine occulta","Brassicaceae","Cuddihy, L.W.","560","1980-09-12",1980,"656286","BISH",,"Cuddihy","Bishop Museum","560"
"5956238422","Castanea dentata","Fagaceae","Cuddihy, L.W.; Davis, J.; Anderson, S.","612","1980-10-01",1980,"656366","BISH",,"Cuddihy","Bishop Museum","612"
"5956156105","Castanea dentata","Fagaceae","Anderson, S.J.; Cuddihy, L.W.; Davis, J.","406","1980-10-01",1980,"656367","BISH",,"Anderson","Bishop Museum","406"
"5956420462","Centaurium erythraea","Gentianaceae","Davis, J.","371","1980-09-24",1980,"656370","BISH",,"Davis","Bishop Museum","371"
"5956680933","Cyrtandra platyphylla","Gesneriaceae","Cuddihy, L.W.","605","1980-10-01",1980,"656385","BISH",,"Cuddihy","Bishop Museum","605"
"5956578089","Cyrtandra platyphylla","Gesneriaceae","Cuddihy, L.W.","551","1980-08-19",1980,"656403","BISH",,"Cuddihy","Bishop Museum","551"
"5956437823","Scaevola chamissoniana","Goodeniaceae","Cuddihy, L.W.","608","1980-10-01",1980,"656412","BISH",,"Cuddihy","Bishop Museum","608"
"5956418923","Carya illinoinensis","Juglandaceae","Anderson, S.J.; Davis, J.; Cuddihy, L.W.","405","1980-10-01",1980,"656421","BISH",,"Anderson","Bishop Museum","405"
"5956382953","Juglans regia","Juglandaceae","Anderson, S.J.; Davis, J.; Cuddihy, L.W.","407","1980-10-01",1980,"656422","BISH",,"Anderson","Bishop Museum","407"
"1090252426",,"Lamiaceae","Anderson, S.J.","Collector Number: 408","1980-10-08",1980,"656455","BPBM","BISH","Anderson","Bishop Museum","collectornumber408"
"5956184393","Medicago lupulina","Fabaceae","Cuddihy, L.W.","610","1980-10-01",1980,"656549","BISH",,"Cuddihy","Bishop Museum","610"
"5956251042","Mimosa pudica","Fabaceae","Cuddihy, L.W.","562","1980-01-01",1980,"656556","BISH",,"Cuddihy","Bishop Museum","562"
"5956244224","Clermontia parviflora","Campanulaceae","Davis, J.","410","1980-10-22",1980,"656617","BISH",,"Davis","Bishop Museum","410"
"5956560132","Buddleja asiatica","Scrophulariaceae","Cuddihy, L.W.; State ESP team","118","1980-01-08",1980,"656651","BISH",,"Cuddihy","Bishop Museum","118"
"5956286645","Modiola caroliniana","Malvaceae","Cuddihy, L.W.; Anderson, S.","556","1980-06-19",1980,"656686","BISH",,"Cuddihy","Bishop Museum","556"
"5956679059","Cocculus orbiculatus","Menispermaceae","Cuddihy, L.W.","580","1980-09-24",1980,"656702","BISH",,"Cuddihy","Bishop Museum","580"
"5956472582","Psidium cattleianum","Myrtaceae","Davis, J.","413","1980-10-23",1980,"656757","BISH",,"Davis","Bishop Museum","413"
"5956592963","Psidium guajava","Myrtaceae","Kubo, R.","ESP 059","1980-05-20",1980,"656758","BISH",,"Kubo","Bishop Museum","esp059"
"5956447797","Peperomia leptostachya","Piperaceae","Cuddihy, L.W.; State ESP team","157","1980-01-29",1980,"656820","BISH",,"Cuddihy","Bishop Museum","157"
"5956479432","Persicaria punctata","Polygonaceae","Cuddihy, L.W.","549","1980-08-19",1980,"656858","BISH",,"Cuddihy","Bishop Museum","549"
"5956567564","Rumex acetosella","Polygonaceae","Davis, J.; State ESP team","192","1980-01-08",1980,"656862","BISH",,"Davis","Bishop Museum","192"
"5956603283","Eriocapitella hupehensis","Ranunculaceae","Cuddihy, L.W.","544","1980-08-19",1980,"656875","BISH",,"Cuddihy","Bishop Museum","544"
"5956400651","Fragaria vesca","Rosaceae","Cuddihy, L.W.; State ESP team","52","1979-12-18",1979,"656881","BISH",,"Cuddihy","Bishop Museum","52"
"5956394604","Pyracantha koidzumii","Rosaceae","Cuddihy, L.W.; State ESP team","82","1979-12-20",1979,"656889","BISH",,"Cuddihy","Bishop Museum","82"
"5956652499","Rubus ellipticus","Rosaceae","Davis, J.","347","1980-08-19",1980,"656903","BISH",,"Davis","Bishop Museum","347"
"5956513661","Coprosma rhynchocarpa","Rubiaceae","Cuddihy, L.W.","599","1980-10-01",1980,"656924","BISH",,"Cuddihy","Bishop Museum","599"
"5956490622","Coprosma rhynchocarpa","Rubiaceae","Cuddihy, L.W.; State ESP team","109","1980-01-08",1980,"656927","BISH",,"Cuddihy","Bishop Museum","109"
"5956491802","Kadua centranthoides","Rubiaceae","Cuddihy, L.W.","554","1980-08-19",1980,"656952","BISH",,"Cuddihy","Bishop Museum","554"
"5956572100","Ludwigia palustris","Onagraceae","Cuddihy, L.W.","561","1980-09-12",1980,"656953","BISH",,"Cuddihy","Bishop Museum","561"
"5956434880","Dodonaea viscosa","Sapindaceae","Cuddihy, L.W.","572","1980-09-24",1980,"656986","BISH",,"Cuddihy","Bishop Museum","572"
"5956294988","Melicope pseudoanisata","Rutaceae","Cuddihy, L.W.","542","1980-08-19",1980,"657003","BISH",,"Cuddihy","Bishop Museum","542"
"5956244227","Melicope pseudoanisata","Rutaceae","Cuddihy, L.W.","543","1980-08-19",1980,"657005","BISH",,"Cuddihy","Bishop Museum","543"
"5956340622","Melicope pseudoanisata","Rutaceae","Cuddihy, L.W.; Kubo, R.; Yoshida, L.","ESP 126","1979-09-20",1979,"657006","BISH",,"Cuddihy","Bishop Museum","esp126"
"5956178224","Melicope pseudoanisata","Rutaceae","Anderson, S.J.","404","1980-09-24",1980,"657007","BISH",,"Anderson","Bishop Museum","404"
"5956356343","Melicope pseudoanisata","Rutaceae","Cuddihy, L.W.","579","1980-09-24",1980,"657008","BISH",,"Cuddihy","Bishop Museum","579"
"5956399821","Melicope pseudoanisata","Rutaceae","Cuddihy, L.W.","596","1980-11-01",1980,"657009","BISH",,"Cuddihy","Bishop Museum","596"
"5956449385","Nuttallanthus texanus","Plantaginaceae","Clarke, G.","472","1980-07-22",1980,"657044","BISH",,"Clarke","Bishop Museum","472"
"5956572101","Physalis peruviana","Solanaceae","Cuddihy, L.W.; State ESP team","ESP 117","1980-01-08",1980,"657072","BISH",,"Cuddihy","Bishop Museum","esp117"
"5956553813","Wikstroemia sandwicensis","Thymelaeaceae","Davis, J.; State ESP team","187","1980-01-08",1980,"657084","BISH",,"Davis","Bishop Museum","187"
"5956557150","Wikstroemia sandwicensis","Thymelaeaceae","Davis, J.; State ESP team","187","1980-01-08",1980,"657086","BISH",,"Davis","Bishop Museum","187"
"5956204511","Pipturus albidus","Urticaceae","Davis, J.; State ESP team","190","1980-01-08",1980,"657113","BISH",,"Davis","Bishop Museum","190"
"5956432110","Stachytarpheta cayennensis","Verbenaceae","Cuddihy, L.W.","609","1980-10-01",1980,"657125","BISH",,"Cuddihy","Bishop Museum","609"
"5956543222","Stachytarpheta cayennensis","Verbenaceae","Cuddihy, L.W.; State ESP team","119","1980-01-08",1980,"657127","BISH",,"Cuddihy","Bishop Museum","119"
"5956160449","Cyanea floribunda","Campanulaceae","Clarke, G.","290","1980-02-07",1980,"657771","BISH",,"Clarke","Bishop Museum","290"
"5956238477","Cynoglossum amabile","Boraginaceae","Davis, J.; State ESP team","225","1980-02-07",1980,"667241","BISH",,"Davis","Bishop Museum","225"
