id,species,constancy,c2_index,role_code,role,group_level
1,CANTODOR,24,7,-1,companion,
2,CHRIDENT,33,6,-1,companion,
3,COPRFOLI,33,12,-1,companion,
4,CORDFRUI,15,15,-1,companion,
5,LANTCAMA,17,11,-1,companion,
6,MICRSTRI,59,13,-2,super-companion(>=2n/3),
7,OPLEHIRT,61,3,-2,super-companion(>=2n/3),
8,PASPCONJ,27,10,-1,companion,
9,PISOSPCS,13,2,-1,companion,
10,PSIDCATT,33,8,-1,companion,
11,PSIDGUAJ,35,1,-1,companion,
12,RUBUROSI,49,20,-2,super-companion(>=2n/3),
13,SCHITERR,34,17,-1,companion,
14,ALEUMOLU,20,14,-1,companion,
15,NEPHEXAL,38,16,-1,companion,
16,PISOBRUN,20,5,-1,companion,
17,CHRIPARA,22,4,-1,companion,
18,GREVROBU,5,9,2,group2,40/10
19,NESTSAND,10,28,-1,companion,
20,OXALSPCS,22,19,-1,companion,
21,PLEOTHUN,3,25,2,group2,40/10
22,BLECOCCI,7,22,-1,companion,
23,COCUTRIL,1,39,-3,footnote(<3 rel),
24,DIOSHILL,1,30,-3,footnote(<3 rel),
25,POUTSAND,7,18,1,group1,40/10
26,SIDARHOM,4,26,1,group1,40/10
27,KALAPINN,1,34,-3,footnote(<3 rel),
28,ANTISPCS,11,21,-1,companion,
29,FRAXUHDE,1,32,-3,footnote(<3 rel),
30,HEDITERM,6,33,1,group1,40/10
31,PISOUMBE,3,31,1,group1,40/10
32,YOUNJAPO,3,37,2,group2,40/10
33,AGERSPCS,3,35,2,group2,40/10
34,PIPTALBI,4,40,-1,companion,
35,BUDLASIA,2,23,-3,footnote(<3 rel),
36,SYZYCUMI,1,24,-3,footnote(<3 rel),
37,PHLEAURE,2,27,-3,footnote(<3 rel),
38,CLIDHIRT,1,36,-3,footnote(<3 rel),
39,DIPLSAND,6,29,-1,companion,
40,ALYXOLIV,2,38,-3,footnote(<3 rel),
41,ASPLKOLF,1,41,-3,footnote(<3 rel),
42,CERTCARY,1,42,-3,footnote(<3 rel),
43,SIDAFALA,1,43,-3,footnote(<3 rel),
