text,value,lat,lon
"Dong Bang",250,14.8823,102.6329
"Hai",380,17.9889,102.6373
"Huai Bang",325,15.4573,101.9337
"Khan Bo",200,16.5481,102.9853
"Kho Khieo",160,16.8266,101.6587
"Khok Phon Yang",90,16.1852,103.2980
"Khon Khwang",230,15.7382,103.5614
"Kut Prao",240,16.4521,102.8306
"Lao",100,17.9757,102.6331
"Maung khang",110,17.1579,104.1476
"Na Bo",190,17.7522,102.7247
"Non Udom",125,15.2310,104.8690
"Nong Kung Yai",55,16.0382,103.2981
"Nong Paen",150,16.7333,102.8500
"Phak Top",105,16.9450,103.9646
"Phon Thong",160,16.3297,103.9711
"Phu Chae",180,16.7899,101.6587
"Pla Lo",110,16.8743,100.2657
"Pla Lo Noi",95,16.8876,100.2743
"Tat Phon Phai",145,16.7411,103.4151
"That (Tad Patana)",215,17.5076,102.8126
