Place,StartDate,DayOfYear,Latitude,Longitude
Sapporo,Apr 24,114,43.0619,141.3544
Hakodate,Apr 23,113,41.7686,140.7289
Sendai,Mar 30,89,38.2682,140.8694
Tokyo,Mar 24,83,35.6897,139.6922
Yokohama,Mar 25,84,35.4442,139.6381
Kanazawa,Mar 29,88,36.5611,136.6564
Nagoya,Mar 26,85,35.1833,136.9000
Kyoto,Mar 27,86,35.0117,135.7683
Osaka,Mar 27,86,34.6939,135.5022
Hiroshima,Mar 26,85,34.3914,132.4519
Fukuoka,Mar 25,84,33.5900,130.4017
Kumamoto,Mar 23,82,32.8061,130.7060
Kagoshima,Mar 24,83,31.5800,130.5400
