SKN,Name,Lat_DD,Lon_DD,ElevFT,Observer,MinYear,MaxYear,NumMosWithAvg,JanAvgIN,FebAvgIN,MarAvgIN,AprAvgIN,MayAvgIN,JunAvgIN,JulAvgIN,AugAvgIN,SepAvgIN,OctAvgIN,NovAvgIN,DecAvgIN,AnnAvgIN,DataSources,StationStatus
925,Field 130,21.90520151,-159.6138778,135,OLOKELE SUGAR,1939,1983,12,3.662666667,2.618,3.529666667,1.263666667,1.584333333,0.712666667,0.737333333,0.842,1.091,2.995333333,3.310333333,3.843333333,26.19033333,"Fill, State",Discontinued
927,Eleele,21.90353436,-159.5772088,165,MCBRYDE SUGAR,1902,Present,12,3.755333333,2.765666667,3.996666667,1.878,1.66792303,1.221,1.286333333,1.377666667,1.3,3.238333333,3.279333333,4.220889339,29.9871457,"Fill, NCDC, NRFill, State, State/NCDC",Current
930,Wahiawa,21.89631087,-159.5572079,215,MCBRYDE SUGAR,1905,Present,12,4.076333333,3.244,4.559333333,2.471178647,2.001666667,1.805728805,1.907,1.846,1.780333333,3.392,4.431666667,4.610869211,36.12611,"Fill, NCDC, NRFill, State, State/NCDC",Current
930.1,Kalaheo-Mcbryde,21.91492123,-159.5435949,530,MCBRYDE SUGAR,1951,1983,11,4.802,3.668666667,4.826,3.320333333,2.938,2.928333333,2.783,3.04,2.448666667,4.94,-9999,6.012333333,-9999,"Fill, State",Discontinued
931,West Lawai,21.89019743,-159.5172066,210,MCBRYDE SUGAR,1902,Present,12,4.590333333,4.064333333,5.268666667,3.583333333,2.579666667,2.748666667,3.246,2.869333333,2.697,3.846333333,4.693,5.672,45.85866667,"Fill, NCDC, State, State/NCDC",Current
933,Manuhonuhonu,21.89853103,-159.4822059,450,MCBRYDE SUGAR,1938,1966,12,5.033666667,3.615,5.847666667,4.323666667,3.181333333,3.193333333,3.588,3.658666667,4.11,4.314333333,5.175,5.499666667,51.54033333,"Fill, State",Discontinued
934,East Lawai,21.90519794,-159.4938722,440,MCBRYDE SUGAR,1902,Present,10,5.627666667,-9999,6.107666667,5.169,4.516325247,5.145666667,5.332333333,4.876094432,-9999,5.659333333,6.993666667,6.276,-9999,"Fill, NCDC, NRFill, State, State/NCDC",Current
935,Kukuiula,21.890544,-159.489633,105,MCBRYDE SUGAR,1903,Present,10,4.316666667,-9999,3.944,3.309666667,-9999,2.527333333,2.693666667,2.742666667,2.395333333,3.54,5.510333333,5.272333333,-9999,"Fill, NCDC, State, State/NCDC",Current
935.1,Paanau(Mcbryde),21.89186356,-159.4722063,135,MCBRYDE SUGAR,1951,1983,12,5.069,3.765,4.576333333,3.441333333,3.306333333,2.846666667,2.635,3.653666667,3.093666667,4.949333333,5.233,5.65,48.21933333,"Fill, State",Discontinued
935.2,Koloa Landing,21.87852833,-159.4697071,10,FRED WEBER,1976,1982,10,4.372286427,2.278473102,3.101801188,1.528601369,1.853730362,1.003202667,-9999,1.405815506,-9999,3.806067622,5.46313222,4.508416518,-9999,"NRFill, State",Discontinued
936,Koloa,21.90686471,-159.4622057,240,MCBRYDE SUGAR,1887,Present,9,-9999,3.949666667,5.562666667,4.707,4.266333333,4.382,4.461666667,4.259,3.909333333,-9999,-9999,5.438,-9999,"Fill, NCDC, State, State/NCDC",Current
937,Koloa Mill,21.89352966,-159.4438734,155,GROVE FARM,1923,1983,11,-9999,3.656,5.15,3.333,2.713666667,2.544666667,2.890333333,2.581,2.947,3.939333333,5.38,4.877,-9999,"Fill, NCDC, State, State/NCDC",Discontinued
940,Puuhi,21.8815823,-159.434152,80,GROVE FARM,1907,1983,12,4.343,2.857,4.068666667,2.250333333,2.016333333,1.675333333,1.728,2.140666667,2.078,3.408,4.294333333,4.158,35.01766667,"Fill, NCDC, State, State/NCDC",Discontinued
940.1,Makahuena Kln,21.86963645,-159.4444302,50,USCG,1958,1979,12,3.990254271,2.914400284,3.839457288,2.270900743,2.032421865,1.679352938,1.720786528,1.607525231,1.70231247,3.3702076,4.605476488,3.294948863,33.02804457,"NRFill, State",Discontinued
941,Mahaulepu,21.90853037,-159.42054,100,MCBRYDE,1904,1983,12,4.819,3.742666667,5.397666667,4.289,3.369,2.635333333,3.345666667,3.151333333,3.132666667,4.608,5.950666667,5.849333333,50.29033333,"Fill, State",Discontinued
