text,lat,lon,elevation,rainfall
Waimea,21.95631113,-159.6722122,6,531.0677322
Eleele,21.90353436,-159.5772088,50,761.6735008
Wahiawa,21.89631087,-159.5572079,66,917.6031939
Lihue Airport,21.98156999,-159.3422063,31,1015.0094
West Lawai,21.89019743,-159.5172066,64,1164.810133
Puu Auau,22.18275978,-159.3322031,101,1192.877133
Kanalohuluhulu,22.13018715,-159.6588699,1098,1567.782009
Halenanaho,21.96491938,-159.4305374,149,1905.474133
Koloko Res,22.18140774,-159.3777576,224,1992.875533
Kapahi,22.1,-159.38,159,2140.420602
Pow Hse Wainiha,22.1917646,-159.5555341,30,2745.795473
Waialeale Trail,22.07605556,-159.5361111,1390,4068.334245
Wailua Ditch,22.0625,-159.4677222,338,4091.738291
Kilohana Alakai,22.15408333,-159.5946111,1220,4373.178268
Mt. Waialeale,22.07088889,-159.4979722,1570,10003.95087
