Abb,Herbarium Name,lat,lon
P,Museum National d'Histoire Naturelle,48.8566,2.3522
NY,New York Botanical Garden,40.8617,-73.8801
LE,Komarov Botanical Institute,59.9343,30.3351
K,Kew Herbarium,51.4769,-0.0005
MO,Missouri Botanical Garden,38.6369,-90.3817
G,Conservatoire et Jardin botaniques de la Ville de Geneva,46.2044,6.1432
NHN,National Herbarium Nederland,52.1601,4.497
BM,The Natural History Museum,51.4967,-0.1745
HUH,Harvard University Herbarium,42.377,-71.1167
W,Museum of Natural History of Vienna,48.2082,16.3738
S,Swedish Museum of Natural History,59.3293,18.0686
US,United States National Herbarium,38.9072,-77.0369
MPU,University Montpellier Herbarium,43.6119,3.8772
LY,University Claude Bernard Herbarium,45.7719,4.8902
FI,Herbarium Universitatis Florentinae,43.7696,11.2558
BR,National Botanic Garden of Belgium,50.9375,4.0416
H,University of Helsinki Herbarium,60.1695,24.9354
B,Botanischer Garten und Botanisches Museum Berlin-Dahlem,52.457,13.303
F,The Field Museum,41.8663,-87.617
C,University of Copenhagen Herbarium,55.6761,12.5683
PE,Chinese National Herbarium,39.9042,116.4074
UC/JEPS,University of California and Jepson Herbaria,37.8715,-122.273
E,Royal Botanic Garden Edinburgh,55.9551,-3.2028
BO,Herbarium Bogoriense,-6.595,106.8167
CAL,Acharya Jagadish Chandra Bose Indian Botanic Garden,22.5958,88.2636
HBG,Herbarium Hamburgense,53.5511,9.9937
