"id","icon","channel","photo_status","photo_file","subject","where_when","shot_notes","poster_status","glyph_status","updated"
"ic001","Lei","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic002","Aloha shirt","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic003","Mai tai","gustatory","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic004","Pineapple","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic005","Hawaiian pizza","lexical","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic006","Muumuu","lexical","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic007","Surfboard","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic008","Ukulele","auditory","need",NA,"a Kamaka ukulele in hand",NA,NA,"none","none","2026-09-13"
"ic009","Tiki","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic010","Grass skirt","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic011","Hula","kinetic","need",NA,"a halau dancer (with permission)",NA,NA,"none","none","2026-09-13"
"ic012","Diamond Head","visual","have","diamondhead_hotel_view.jpg; diamondhead_jetty_view.jpg","the profile; two perspectives on hand (2013 and June 2026)",NA,NA,"none","none","2026-09-13"
"ic013","Spam musubi","gustatory","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic014","Poke","gustatory","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic015","Loco moco","gustatory","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic016","Shaka","kinetic","need",NA,"a hand making shaka",NA,NA,"none","none","2026-09-13"
"ic017","Poi","gustatory","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic018","Plate lunch","gustatory","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic019","Arizona Memorial","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic020","Plumeria","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic021","Hibiscus","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic022","Steel guitar","auditory","need",NA,"a lap steel or a hotel trio",NA,NA,"none","none","2026-09-13"
"ic023","Slack key guitar (ki ho'alu)","auditory","need",NA,"slack-key player's hands on the fretboard",NA,NA,"none","none","2026-09-13"
"ic024","Aloha 'Oe","auditory","need",NA,"sheet music or the queen's portrait at Iolani",NA,NA,"none","none","2026-09-13"
"ic025","Aloha (the word)","lexical","need",NA,"an ALOHA sign (Aloha Tower letters)",NA,NA,"none","none","2026-09-13"
"ic026","Wiki","lexical","need",NA,"the Wiki Wiki shuttle sign at HNL",NA,NA,"none","none","2026-09-13"
"ic027","Kilauea / flowing lava","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic028","Rainbow","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic029","Kamehameha statue","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic030","'Iolani Palace","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic031","Hawaiian flag (Ka Hae Hawai'i)","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic032","Slippers (slippahs)","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic033","Shave ice","gustatory","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic034","Outrigger canoe (wa'a)","kinetic","need",NA,"Waikiki canoe on the beach",NA,NA,"none","none","2026-09-13"
"ic035","Pidgin (Hawai'i Creole English)","lexical","need",NA,"a pidgin sign or a Tonouchi book cover",NA,NA,"none","none","2026-09-13"
"ic036","Merrie Monarch Festival","kinetic","need",NA,"Merrie Monarch stage, Hilo",NA,NA,"none","none","2026-09-13"
"ic037","Malasadas","gustatory","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic038","Paniolo","kinetic","need",NA,"a working paniolo, Waimea",NA,NA,"none","none","2026-09-13"
"ic039","Hokule'a","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
"ic040","Nene","visual","need",NA,"",NA,NA,"none","none","2026-09-13"
