data1,data2,data3
19,108.3,277
20,106.8,277
21,105.4,276
22,106.1,275
23,104.8,274
23,105.8,277
25,105.4,276
26,105.5,278
27,104.6,277
28,104.8,275
29,104.9,275
30,103.7,274
1,103.6,266
2,103.6,266
3,105.2,266
4,105.2,255
5,105.2, 
6,104.4, 
7,103.4, 
8,104.3, 
9,104.0, 
10,104.8, 
11,104.3, 
12,103.7, 
13,102.8, 
14,103.2, 
15,102.4,280
16,101.6,284
17,101.6,284
18,102.3,277
19,100.9,277
20,100.8,281
21,100.2,277
22,99.8,275
23,99.0,273
24,99.7,279
25,99.4,278
26,99.7,279
27,99.9,276
28,99.4,278
29,99.1,278
30,98.8,273
1,99.7,275
2,99.1,273
3,99.2,276
4,99.8,281
5,99.5,278
6,99.6,277
7,99.6,277
8,99.4,278
9,101.3,280
10,100.7,280
11,100.1,277
12,99.3,277
13,100.2,275
14,99.4,276
15,99.2,276
16,98.7,275
17,98.1,281
18,97.7,275
19,97.3,274
20,101.1,274
21,99.8,274
22,99.0,274
23,99.7,273
24,99.0,271
25,98.1,271
26,97.3,273
