name,zone,Tamp,SI,cool_frac,bimod,totP,m_mean,lat,lon
Atlanta,mid,10.342,0.132,0.538,0,1289,74.374,33.75,-84.39
Beijing,mid,15.058,1.022,0.079,0.622,569,22.546,39.9,116.4
Bergen,temperate,6.195,0.261,0.534,0,2189,167.896,60.39,5.32
Cairo,subtropical,7.206,0.872,0.885,0.234,26,-41.028,30.04,31.24
Chicago,temperate,13.408,0.217,0.419,0,928,57.899,41.88,-87.63
Darwin,tropical,2.513,0.934,0.21,0.336,1772,92.967,-12.46,130.84
El Paso,subtropical,10.869,0.583,0.257,0.561,226,-16.571,31.76,-106.49
Fairbanks,subarctic,18.613,0.442,0.369,0.482,309,31.266,64.84,-147.72
Las Vegas,subtropical,12.334,0.349,0.583,0,115,-29.888,36.17,-115.14
London,temperate,6.559,0.131,0.503,0,624,30.87,51.51,-0.13
Los Angeles,mid,5.028,0.901,0.929,0.341,406,-3.286,34.05,-118.24
Manaus,equatorial,0.701,0.438,0.675,0.161,2270,135.457,-3.1,-60.02
Moscow,temperate,13.052,0.273,0.416,0,676,45.598,55.76,37.62
Mumbai,tropical,3.189,1.215,0.236,0.579,2274,134.911,19.08,72.88
Nairobi,equatorial,1.944,0.607,0.376,1.469,1008,46.899,-1.29,36.82
Niamey,tropical,4.832,1.168,0.499,0.567,461,-20.471,13.51,2.11
Rome,mid,8.65,0.326,0.616,0,760,32.05,41.9,12.5
Singapore,equatorial,0.667,0.157,0.553,0,2304,138.69,1.35,103.82
Tokyo,mid,10.983,0.377,0.311,0,1432,88.178,35.68,139.69
Tucson,subtropical,9.691,0.459,0.406,1.17,318,-14.813,32.22,-110.97
Ulaanbaatar,temperate,19.698,1.014,0.078,0.523,282,26.384,47.89,106.91
