name,desert,month,tavg,prec,m
Tucson,Sonoran (Tucson),1,11.23,27,4.54
Tucson,Sonoran (Tucson),2,13.14,24,-2.28
Tucson,Sonoran (Tucson),3,15.34,24,-6.68
Tucson,Sonoran (Tucson),4,19.07,8,-30.14
Tucson,Sonoran (Tucson),5,23.86,5,-42.72
Tucson,Sonoran (Tucson),6,29.17,7,-51.34
Tucson,Sonoran (Tucson),7,30.61,54,-7.22
Tucson,Sonoran (Tucson),8,29.7,58,-1.4
Tucson,Sonoran (Tucson),9,27.45,34,-20.9
Tucson,Sonoran (Tucson),10,21.68,31,-12.36
Tucson,Sonoran (Tucson),11,15.15,18,-12.3
Tucson,Sonoran (Tucson),12,11.48,28,5.04
Las Vegas,Mojave (Las Vegas),1,8.03,12,-4.06
Las Vegas,Mojave (Las Vegas),2,10.98,15,-6.96
Las Vegas,Mojave (Las Vegas),3,14.28,16,-12.56
Las Vegas,Mojave (Las Vegas),4,18.48,6,-30.96
Las Vegas,Mojave (Las Vegas),5,23.78,6,-41.56
Las Vegas,Mojave (Las Vegas),6,29.4,2,-56.8
Las Vegas,Mojave (Las Vegas),7,32.62,10,-55.24
Las Vegas,Mojave (Las Vegas),8,31.52,15,-48.04
Las Vegas,Mojave (Las Vegas),9,26.98,9,-44.96
Las Vegas,Mojave (Las Vegas),10,20.09,6,-34.18
Las Vegas,Mojave (Las Vegas),11,12.7,9,-16.4
Las Vegas,Mojave (Las Vegas),12,7.96,9,-6.92
El Paso,Chihuahuan (El Paso),1,6.53,10,-3.06
El Paso,Chihuahuan (El Paso),2,9.47,9,-9.94
El Paso,Chihuahuan (El Paso),3,13.07,7,-19.14
El Paso,Chihuahuan (El Paso),4,17.17,5,-29.34
El Paso,Chihuahuan (El Paso),5,22.04,8,-36.08
El Paso,Chihuahuan (El Paso),6,26.88,20,-33.76
El Paso,Chihuahuan (El Paso),7,28.27,41,-15.54
El Paso,Chihuahuan (El Paso),8,27.03,43,-11.06
El Paso,Chihuahuan (El Paso),9,24.31,37,-11.62
El Paso,Chihuahuan (El Paso),10,18.49,19,-17.98
El Paso,Chihuahuan (El Paso),11,11.75,10,-13.5
El Paso,Chihuahuan (El Paso),12,7.41,17,2.18
