"key","scientificName","recordedBy","recordNumber","year","eventDate","stateProvince","locality","verbatimLocality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","elevation","verbatimElevation","habitat","occurrenceRemarks","fieldNotes","dynamicProperties","reproductiveCondition","associatedTaxa","identifiedBy","dateIdentified","typeStatus","preparations","institutionCode","collectionCode"
"5174163301","Metrosideros polymorpha Gaudich.","Eissas Ouk (ORCID 0000-0001-8371-3142)",NA,2025,"2025-01-18","Hawaii","Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_011 (plot dimensions: 40m x 40m)",NA,19.563412,-155.337895,20,1848,NA,"evergreenForest; slope aspect: 240.3; slope gradient: 4.92; soil type order: Histosols","sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.",NA,NA,NA,NA,"Austin Riddle (ORCID 0000-0002-2135-1091)","2025-01-18T23:29:00",NA,"sample mass: 8.46","NEON","TPLC-CF"
"5174163306","Metrosideros polymorpha Gaudich.","Shea Uehana (ORCID 0000-0003-1142-4215)",NA,2025,"2025-01-20","Hawaii","Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_031 (plot dimensions: 40m x 40m)",NA,19.553624,-155.319191,20,1711.5,NA,"evergreenForest; slope aspect: 315.6; slope gradient: 6.62; soil type order: Histosols","sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.",NA,NA,NA,NA,"Austin Riddle (ORCID 0000-0002-2135-1091)","2025-01-20T21:24:00",NA,"sample mass: 8.6","NEON","TPLC-CF"
"5174163310","Metrosideros polymorpha Gaudich.","Eissas Ouk (ORCID 0000-0001-8371-3142)",NA,2025,"2025-01-13","Hawaii","Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_003 (plot dimensions: 40m x 40m)",NA,19.577682,-155.344675,20,1833.5,NA,"evergreenForest; slope aspect: 93; slope gradient: 1.37; soil type order: Histosols","sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.",NA,NA,NA,NA,"Austin Riddle (ORCID 0000-0002-2135-1091)","2025-01-14T00:13:00",NA,"sample mass: 7.84","NEON","TPLC-CF"
"5174163311","Metrosideros polymorpha Gaudich.","Shea Uehana (ORCID 0000-0003-1142-4215)",NA,2025,"2025-01-20","Hawaii","Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_041 (plot dimensions: 20m x 20m)",NA,19.553178,-155.316025,20,1685.5,NA,"evergreenForest; slope aspect: 269.9; slope gradient: 15.85; soil type order: Histosols","sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.",NA,NA,NA,NA,"Austin Riddle (ORCID 0000-0002-2135-1091)","2025-01-21T00:00:00",NA,"sample mass: 8.71","NEON","TPLC-CF"
"5174163312","Metrosideros polymorpha Gaudich.","Shea Uehana (ORCID 0000-0003-1142-4215)",NA,2025,"2025-01-24","Hawaii","Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_015 (plot dimensions: 40m x 40m)",NA,19.561039,-155.249535,20,1208,NA,"evergreenForest; slope aspect: 209.6; slope gradient: 11.97; soil type order: Histosols","sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.",NA,NA,NA,NA,"Eissas Ouk (ORCID 0000-0001-8371-3142)","2025-01-24T17:57:00",NA,"sample mass: 10.06","NEON","TPLC-CF"
"5174163315","Metrosideros polymorpha Gaudich.","Eissas Ouk (ORCID 0000-0001-8371-3142)",NA,2025,"2025-01-18","Hawaii","Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_013 (plot dimensions: 40m x 40m)",NA,19.564986,-155.34223,20,1872.5,NA,"evergreenForest; slope aspect: 228.9; slope gradient: 3.83; soil type order: Histosols","sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.",NA,NA,NA,NA,"Austin Riddle (ORCID 0000-0002-2135-1091)","2025-01-18T22:00:00",NA,"sample mass: 6.27","NEON","TPLC-CF"
"5174163317","Metrosideros polymorpha Gaudich.","Shea Uehana (ORCID 0000-0003-1142-4215)",NA,2025,"2025-01-26","Hawaii","Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_045 (plot dimensions: 20m x 20m)",NA,19.552627,-155.315184,20,1673.5,NA,"evergreenForest; slope aspect: 326; slope gradient: 6.9; soil type order: Histosols","sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.",NA,NA,NA,NA,"Avery Dean (ORCID 0009-0007-6110-2261)","2025-01-26T21:37:00",NA,"sample mass: 8.34","NEON","TPLC-CF"
"5174163321","Metrosideros polymorpha Gaudich.","Shea Uehana (ORCID 0000-0003-1142-4215)",NA,2025,"2025-01-19","Hawaii","Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_008 (plot dimensions: 40m x 40m)",NA,19.577677,-155.326382,20,1722,NA,"evergreenForest; slope aspect: 264.9; slope gradient: 0.4; soil type order: Andisols","sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.",NA,NA,NA,NA,"Austin Riddle (ORCID 0000-0002-2135-1091)","2025-01-19T19:39:00",NA,"sample mass: 5.85","NEON","TPLC-CF"
"5174163324","Metrosideros polymorpha Gaudich.","Shea Uehana (ORCID 0000-0003-1142-4215)",NA,2025,"2025-01-13","Hawaii","Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_002 (plot dimensions: 40m x 40m)",NA,19.595002,-155.346931,20,1792.5,NA,"evergreenForest; slope aspect: 70; slope gradient: 2.29; soil type order: Histosols","sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.",NA,NA,NA,NA,"Austin Riddle (ORCID 0000-0002-2135-1091)","2025-01-13T22:15:00",NA,"sample mass: 7.47","NEON","TPLC-CF"
"5956576592","Metrosideros waialealae (Rock) Rock","K.R. Wood; S. Heintzman","19544",2024,"2024-07-02","Hawaii","Ridge and slopes running South of Kawaikini",NA,NA,NA,NA,1200,"1200 m","Metrosideros-Cheirodendron mixed wet forest and Dubautia-Sadleria shrubland-fernland with occasional small open bogs w/ Dubautia imbricata subsp. Acronaea, D. paleata, Sadleria cyatheoides, S. pallida, S. squarrosa, Antidesma, Astelia argyrocoma, Bidens forbesii, Bro...","Shrub or small tree, bog habitat, 1.5 m tall, full crown, w/ immature fruit, common.",NA,NA,NA,NA,NA,NA,"NotAType",NA,"BISH",NA
