field,n_present,n_total,fill_pct
scientificName,182,182,100.0
family,182,182,100.0
eventDate,182,182,100.0
recordedBy,178,182,97.8
countryCode,177,182,97.3
catalogNumber,177,182,97.3
institutionCode,172,182,94.5
collectionCode,145,182,79.7
decimalLatitude,133,182,73.1
decimalLongitude,133,182,73.1
stateProvince,106,182,58.2
locality,99,182,54.4
verbatimLocality,93,182,51.1
verbatimEventDate,90,182,49.5
habitat,87,182,47.8
identifiedBy,86,182,47.3
recordNumber,84,182,46.2
verbatimElevation,82,182,45.1
elevation,77,182,42.3
dateIdentified,47,182,25.8
occurrenceRemarks,45,182,24.7
preparations,41,182,22.5
county,37,182,20.3
coordinateUncertaintyInMeters,25,182,13.7
fieldNotes,21,182,11.5
typeStatus,17,182,9.3
reproductiveCondition,6,182,3.3
