countryCode,habitat
US,evergreenForest; slope aspect: 240.3; slope gradient: 4.92; soil type order: Histosols
US,evergreenForest; slope aspect: 315.6; slope gradient: 6.62; soil type order: Histosols
US,evergreenForest; slope aspect: 93; slope gradient: 1.37; soil type order: Histosols
US,evergreenForest; slope aspect: 269.9; slope gradient: 15.85; soil type order: Histosols
US,evergreenForest; slope aspect: 209.6; slope gradient: 11.97; soil type order: Histosols
US,evergreenForest; slope aspect: 228.9; slope gradient: 3.83; soil type order: Histosols
US,evergreenForest; slope aspect: 326; slope gradient: 6.9; soil type order: Histosols
US,evergreenForest; slope aspect: 264.9; slope gradient: 0.4; soil type order: Andisols
US,evergreenForest; slope aspect: 70; slope gradient: 2.29; soil type order: Histosols
PF,Secondary moist forest of introduced species.
US,Garden Path
US,Mediterranean Garden
US,Koolau
US,Koolau
US,Koolau
US,Koolau
US,Koolau
US,Koolau
US,Koolau
US,Koolau
NZ,"Leaf mine and holes in leaves, Weevil"
NZ,?damage by greenhouse thrips
PG,Undisturbed forest on moderate slopes; mixture of lowland and low-moderate elements.
PG,Undisturbed forest on moderate slopes; mixture of lowland and low-moderate elements
PG,Undisturbed forest on moderate slopes; mixture of lowland and low-montane elements.
PF,Dominant en formation de crete avec Weinmannia et Myrsine spp.
NZ,"On matai, in gully."
US,Volcano.
NZ,In shade in light forest. One plant only noted.
NZ,Forest on steep rocky slope.
NZ,Scrub on cliff.
NZ,Scrub.
NZ,remnant coastal forest
NZ,Cliffs above shore.
NZ,Climbing on tree fern in sun.
US,Metrosideros forest.
US,Acacia koa
US,Acacia koa
US,Dry forest on aa.
WS,Primary forest.
NZ,Forest.
NZ,Landing near head of cove.
NZ,Forest.
NZ,Forest.
NZ,In mixed forest with Kauri and Rata.
NZ,In Rimu forest with Weinmannia & Gymnolaea
NZ,In Rimu forest with Weinmannia and Gymnelaea
NZ,"Early seral scrub. Associated species: Brachyglottis repanda, Coprosma spp., Knightia excelsa. Habitat modification: Hervesting. Land us: Conservation/Scenic Reserve. Landform: Hill. Geology: Greywacke. Soil olour and texture: Rocky. Aspect: W. Slope: Undulating. Regenerating native scrub post logging of radiata pine/Douglas fir plantation."
NZ,"Unmodified rata forest. Habitat modification: Fire, possum recovery. Land use: Conservation/ Scenic Reserve. Landform: Hillslope. Geology: Greywacke. Aspect:W. Slope: Undulating."
VU,Growing in dense rainforest.
NZ,"Unmodified rata forest. Habitat modification: Fire, possum recovery. Land use: Conservation/Scenic Reserve. Land form: Hillslope. Geology: Greywacke. Aspect: W. Slope: Undulating."
NZ,"Early seral scrub. Associated species: Brachyglottis repanda, Coprosma spp., Knightia excelsa. Habitat modification: Harvesting. Land use: Conservation/Scenic Reserve. Land form: Hill. Geology: Greywacke. Soil colour and texture: Rocky. Aspect: W. Slope: Undulating. Regenerating native scrub post logging of radiata pine/Douglas fir plantation."
NZ,Podocarp regenerating forest. Habitat modification: Logged 50 years ago. Land use: Conservation/Scenic Reserve. Land form: Hillslope. Geology: Greywacke. Soil colour and texture: Rocky. Aspect: W. Slope: Undulating.
NZ,Habitat: podocarp regenerating forest. Habitat modification: logged 50 years ago. Land use: conservation. Land form: hill slope. Geology: greywacke. Soil: rocky. Aspect: West. Slope: undulating.
US,"Metrosideros-Dicranopteris lowland wet ridge, 70-90% open forest of Metrosideros polymophia glaberrina with scattered individuals of Antidesma platyphylla, Syzygium sandwicensis, Myrsine lessertiana, Ilex anomala, Bobea elatior, Scaevola procera,"
US,"Metrosideros-Dicranopteris lowland wet ridge, 90% open forest of Metrosiderso polymorpha glaberrima w/ scattered individuals of Antidesma platyphylla, Syzygium sandwicensis, Myrsine lessertiana, Ilex anomala, Bobea elatior, Scaevola procera, Psy"
NZ,"Adult feeding on leaves, large and small beetles"
NZ,"Adult feeding on leaves, large and small beetles"
NZ,"Adult feeding on leaves, large and small beetles"
NZ,"Very exposed ridge crest; scrambling over boulder; windshorn vegetation, low."
NZ,"Forest edge on roadside, slope below large limestone bluffs."
PF,"Une des formes de la formation de crete, avec Weinmannia, Myrsine, Ilex."
AU,"Gully.  NE aspect.  Clay loam on basalt.  Closed shrub community, Melaleuca howeana."
AU,"Valley, moderate rocky slope, SW aspect. Clay loam on basalt. low closed forest, Trukia stipulosa, Symplocas candelabrum, Howea belmoreana, Pandanus forsteri."
AU,"Gully, NE aspect. Clay loam on basalt. Closed shrub community, Melaleuca howeana."
AU,"Valley, moderate rocky slope, SW aspect. Clay loam on basalt. low closed forest, Trukia stipulosa, Symplocas candelabrum, Howea belmoreana, Pandanus forsteri."
ZA,river/stream bank
PF,"Rare en formation de crete, avec Weimannia et Myrsine. [Rare in formation of ridge, with Weimannia and Myrsine.]"
US,Gulch in montane Metrosideros/native shrubland
US,Dry shrubland of native shrubs and both native and alien grasses.
US,"Co-dominant shrub with f. prostrata. Associated with Coprosma, Styphelia, Vaccinium calycinum, Machaerina, Dicranopteris, and hummocks of Oreobolus and Panicum isachnoides."
US,"Ohia wetland dieback. Soils are composed of an organic/ash and are moderately shallow with poor drainage, found over a pahoehoe lava flow. Primary vegetation: Metrosideros polymorpha, Acacia koa, Cheirodendron trigynum, Antidesma platyphyllum, Ilex anomala, Pelea clusiifolia."
NZ,cliff (sandstone)
US,"Ohia wetland dieback. Soil a moderately shallow poorly drained organic/ash found on a pahoehoe flow. Many areas have water near or at the surface. Primary vegetation: Metrosideros polymorpha, Cheirodendron trigynum, Myrsine lessertiana, etc."
US,"Ohia wetland dieback. Soil a moderately shallow and poorly drained organic/ash type found on a pahoehoe flow. Most areas have water at or near the surface. There are some well drained hummocks. Primary vegetation: Metrosideros polymorpha, etc."
US,"Ohia wetland dieback. Soil organic/ash moderately shallow and poorly drained on pahoehoe flow. Primary vegetation: Metrosideros polymorpha, Acacia koa, Cheirodendron trigynum, Pelea clusiifolia, Antidesma platyphyllum, Ilex anomala."
US,"Primary vegetation: Metrosideros polymorpha, Cheirodendron trigynum, Myrsine lessertiana, Ilex anomala, Gouldia sp., Perrottetia sandwicensis. Ohia wetland dieback. Soils are an organic/ash which is moderately shallow and poorly drained on a pahoehoe flow. Some water is found at or near the surface."
US,"Ohia wetland dieback. Soils are composed of an organic/ash and are moderately shallow with poor drainage, found over a pahoehoe lava flow. Primary vegetation: Metrosideros polymorpha, Acacia koa, Cheirodendron trigynum, Antidesma platyphyllum, Ilex anomala, Pelea clusiifolia."
US,"Dry exotic grassland with some native shrubs, scattered ohia and other native trees."
US,Dry `ohi`a forest with mixed native trees and a native shrub-exotic grass-shrub understory. Growing on `a`a.
US,On ridge above stream with Pelea and Dicranopteris.
NZ,Cut-over kauri forest.
NZ,Cut-over forest.
NZ,Cut over kauri forest.
NZ,Short scrubby forest on ridge.
NZ,Low epiphyte in forest.
NZ,Short shrubby forest on ridge.
