key,scientificName,family,recordedBy,recordNumber,eventDate,verbatimEventDate,countryCode,stateProvince,county,locality,verbatimLocality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,verbatimElevation,habitat,reproductiveCondition,occurrenceRemarks,fieldNotes,identifiedBy,dateIdentified,typeStatus,institutionCode,collectionCode,catalogNumber,preparations
5174163301,Metrosideros polymorpha Gaudich.,Myrtaceae,Eissas Ouk (ORCID 0000-0001-8371-3142),,2025-01-18,,US,Hawaii,Hawaii,"Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_011 (plot dimensions: 40m x 40m)",,19.563412,-155.337895,20.0,1848.0,,evergreenForest; slope aspect: 240.3; slope gradient: 4.92; soil type order: Histosols,,sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.,,Austin Riddle (ORCID 0000-0002-2135-1091),2025-01-18T23:29:00,,NEON,TPLC-CF,NEON0CM0F,sample mass: 8.46
5174163306,Metrosideros polymorpha Gaudich.,Myrtaceae,Shea Uehana (ORCID 0000-0003-1142-4215),,2025-01-20,,US,Hawaii,Hawaii,"Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_031 (plot dimensions: 40m x 40m)",,19.553624,-155.319191,20.0,1711.5,,evergreenForest; slope aspect: 315.6; slope gradient: 6.62; soil type order: Histosols,,sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.,,Austin Riddle (ORCID 0000-0002-2135-1091),2025-01-20T21:24:00,,NEON,TPLC-CF,NEON0CM0M,sample mass: 8.6
5174163310,Metrosideros polymorpha Gaudich.,Myrtaceae,Eissas Ouk (ORCID 0000-0001-8371-3142),,2025-01-13,,US,Hawaii,Hawaii,"Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_003 (plot dimensions: 40m x 40m)",,19.577682,-155.344675,20.0,1833.5,,evergreenForest; slope aspect: 93; slope gradient: 1.37; soil type order: Histosols,,sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.,,Austin Riddle (ORCID 0000-0002-2135-1091),2025-01-14T00:13:00,,NEON,TPLC-CF,NEON0CM0A,sample mass: 7.84
5174163311,Metrosideros polymorpha Gaudich.,Myrtaceae,Shea Uehana (ORCID 0000-0003-1142-4215),,2025-01-20,,US,Hawaii,Hawaii,"Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_041 (plot dimensions: 20m x 20m)",,19.553178,-155.316025,20.0,1685.5,,evergreenForest; slope aspect: 269.9; slope gradient: 15.85; soil type order: Histosols,,sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.,,Austin Riddle (ORCID 0000-0002-2135-1091),2025-01-21T00:00:00,,NEON,TPLC-CF,NEON0CM0Q,sample mass: 8.71
5174163312,Metrosideros polymorpha Gaudich.,Myrtaceae,Shea Uehana (ORCID 0000-0003-1142-4215),,2025-01-24,,US,Hawaii,Hawaii,"Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_015 (plot dimensions: 40m x 40m)",,19.561039,-155.249535,20.0,1208.0,,evergreenForest; slope aspect: 209.6; slope gradient: 11.97; soil type order: Histosols,,sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.,,Eissas Ouk (ORCID 0000-0001-8371-3142),2025-01-24T17:57:00,,NEON,TPLC-CF,NEON0CM0J,sample mass: 10.06
5174163315,Metrosideros polymorpha Gaudich.,Myrtaceae,Eissas Ouk (ORCID 0000-0001-8371-3142),,2025-01-18,,US,Hawaii,Hawaii,"Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_013 (plot dimensions: 40m x 40m)",,19.564986,-155.34223,20.0,1872.5,,evergreenForest; slope aspect: 228.9; slope gradient: 3.83; soil type order: Histosols,,sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.,,Austin Riddle (ORCID 0000-0002-2135-1091),2025-01-18T22:00:00,,NEON,TPLC-CF,NEON0CM0I,sample mass: 6.27
5174163317,Metrosideros polymorpha Gaudich.,Myrtaceae,Shea Uehana (ORCID 0000-0003-1142-4215),,2025-01-26,,US,Hawaii,Hawaii,"Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_045 (plot dimensions: 20m x 20m)",,19.552627,-155.315184,20.0,1673.5,,evergreenForest; slope aspect: 326; slope gradient: 6.9; soil type order: Histosols,,sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.,,Avery Dean (ORCID 0009-0007-6110-2261),2025-01-26T21:37:00,,NEON,TPLC-CF,NEON0CM0S,sample mass: 8.34
5174163321,Metrosideros polymorpha Gaudich.,Myrtaceae,Shea Uehana (ORCID 0000-0003-1142-4215),,2025-01-19,,US,Hawaii,Hawaii,"Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_008 (plot dimensions: 40m x 40m)",,19.577677,-155.326382,20.0,1722.0,,evergreenForest; slope aspect: 264.9; slope gradient: 0.4; soil type order: Andisols,,sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.,,Austin Riddle (ORCID 0000-0002-2135-1091),2025-01-19T19:39:00,,NEON,TPLC-CF,NEON0CM0D,sample mass: 5.85
5174163324,Metrosideros polymorpha Gaudich.,Myrtaceae,Shea Uehana (ORCID 0000-0003-1142-4215),,2025-01-13,,US,Hawaii,Hawaii,"Pacific Tropical (D20), Pu'u Maka'ala Natural Area Reserve NEON (PUUM), Plot PUUM_002 (plot dimensions: 40m x 40m)",,19.595002,-155.346931,20.0,1792.5,,evergreenForest; slope aspect: 70; slope gradient: 2.29; soil type order: Histosols,,sample type: Woody individual; Canopy foliage sample from a single species at sites dominated by woody tree cover or bulk herbaceous biomass clips at sites dominated by herbaceous vegetation. Samples collected every five years as part of the NEON canopy foliage protocols. Stored dried and ground at room temperature.,,Austin Riddle (ORCID 0000-0002-2135-1091),2025-01-13T22:15:00,,NEON,TPLC-CF,NEON0CM07,sample mass: 7.47
2434691648,Metrosideros collina (Forst.) A.Gray,Myrtaceae,"Swenson, U.|Martinsson, K.|Ulfsson, V.",1043,2010-10-22,,PF,Society Islands,,"French Polynesia, Raiatea: Uturoa radio tower.","French Polynesia, Raiatea: Uturoa radio tower.",-16.734167,-151.452778,50.0,240.0,,Secondary moist forest of introduced species.,flowers | fruit,Flora of French Polynesia.,"Shrub 3 m tall, flowers red.",,,,MEL,MEL,MEL 2436576A,Sheet
