kimarite,       family,    description
yorikiri,       force_out, Frontal force out
oshidashi,      push,      Frontal push out
hatakikomi,     down,      Slap down
yoritaoshi,     down,      Frontal crush out
uwatenage,      throw,     Overarm throw
shitatenage,    throw,     Underarm throw
tsukiotoshi,    down,      Thrust down
uwatedashinage, throw,     Pulling overarm throw
sukuinage,      throw,     Beltless arm throw
hikiotoshi,     down,      Pull down
kimedashi,      force_out, Armlock force out
okuridashi,     force_out, Rear push out
okuritaoshi,    down,      Rear crush out
tsukidashi,     push,      Frontal thrust out
katasukashi,    throw,     Shoulder swing down
