tourney_id,     division, rank,       side, rank_number, rikishi_id
2025-11-kyushu, Makuuchi, Yokozuna,   East,  1, Onosato
2025-11-kyushu, Makuuchi, Yokozuna,   West,  1, Hoshoryu
2025-11-kyushu, Makuuchi, Ozeki,      East,  1, Kotozakura
2025-11-kyushu, Makuuchi, Ozeki,      West,  1,
2025-11-kyushu, Makuuchi, Sekiwake,   East,  1, Aonishiki
2025-11-kyushu, Makuuchi, Sekiwake,   West,  1, Oho
2025-11-kyushu, Makuuchi, Komusubi,   East,  1, Takanosho
2025-11-kyushu, Makuuchi, Komusubi,   West,  1, Takayasu
2025-11-kyushu, Makuuchi, Maegashira, East,  1, Hakuroho
2025-11-kyushu, Makuuchi, Maegashira, West,  1, Wakatakakage
2025-11-kyushu, Makuuchi, Maegashira, East,  2, Kirishima
2025-11-kyushu, Makuuchi, Maegashira, West,  2, Wakamotoharu
2025-11-kyushu, Makuuchi, Maegashira, East,  3, Ura
2025-11-kyushu, Makuuchi, Maegashira, West,  3, Tamawashi
2025-11-kyushu, Makuuchi, Maegashira, East,  4, Ohohoma
2025-11-kyushu, Makuuchi, Maegashira, West,  4, Yoshinofuji
2025-11-kyushu, Makuuchi, Maegashira, East,  5, Shodai
2025-11-kyushu, Makuuchi, Maegashira, West,  5, Atamifuji
2025-11-kyushu, Makuuchi, Maegashira, East,  6, Onosho
2025-11-kyushu, Makuuchi, Maegashira, West,  6, Minoumi
2025-11-kyushu, Makuuchi, Maegashira, East,  7, Abi
2025-11-kyushu, Makuuchi, Maegashira, West,  7, Ichiyamamoto
2025-11-kyushu, Makuuchi, Maegashira, East,  8, Kinbozan
2025-11-kyushu, Makuuchi, Maegashira, West,  8, Midorifuji
2025-11-kyushu, Makuuchi, Maegashira, East,  9, Tobizaru
2025-11-kyushu, Makuuchi, Maegashira, West,  9, Daieisho
2025-11-kyushu, Makuuchi, Maegashira, East, 10, Kotoshoho
2025-11-kyushu, Makuuchi, Maegashira, West, 10, Shishi
2025-11-kyushu, Makuuchi, Maegashira, East, 11, Okamiyaka
2025-11-kyushu, Makuuchi, Maegashira, West, 11, Fujinokawa
2025-11-kyushu, Makuuchi, Maegashira, East, 12, Tomokaze
2025-11-kyushu, Makuuchi, Maegashira, West, 12, Gonoyama
2025-11-kyushu, Makuuchi, Maegashira, East, 13, Mitakeumi
2025-11-kyushu, Makuuchi, Maegashira, West, 13, Ryuden
2025-11-kyushu, Makuuchi, Maegashira, East, 14, Tokihayate
2025-11-kyushu, Makuuchi, Maegashira, West, 14, Nishikifuji
2025-11-kyushu, Makuuchi, Maegashira, East, 15, Shonanoumi
2025-11-kyushu, Makuuchi, Maegashira, West, 15, Ohohkai
2025-11-kyushu, Makuuchi, Maegashira, East, 16, Sadanoumi
2025-11-kyushu, Makuuchi, Maegashira, West, 16, Chiyoshoma
2025-11-kyushu, Makuuchi, Maegashira, East, 17, Asanoryu
2025-11-kyushu, Makuuchi, Maegashira, West, 17, Meisei
