heya_id,heya_name,ichimon,founded_year,coach_shisho
Isegahama,Isegahama-beya,Isegahama,1979,Isegahama Kiyomigata (former Asashifuji)
Miyagino,Miyagino-beya,Isegahama,1989,Miyagino (former Hakuho)
Nishonoseki,Nishonoseki-beya,Nishonoseki,1935,Nishonoseki (former Wakanosato)
Tagonoura,Tagonoura-beya,Nishonoseki,2000,Tagonoura (former Tagonoura)
Kasugano,Kasugano-beya,Dewanoumi,1941,Kasugano (former Tochinishiki)
Dewanoumi,Dewanoumi-beya,Dewanoumi,1862,Dewanoumi (former Oginohana)
Sakaigawa,Sakaigawa-beya,Dewanoumi,1998,Sakaigawa (former Ryogoku)
Kokonoe,Kokonoe-beya,Takasago,1967,Kokonoe (former Chiyonofuji)
Takasago,Takasago-beya,Takasago,1873,Takasago (former Asanowaka)
Sadogatake,Sadogatake-beya,Nishonoseki,1955,Sadogatake (former Kotonowaka)
Oitekaze,Oitekaze-beya,Dewanoumi,2003,Oitekaze (former Daishoyama)
Arashio,Arashio-beya,Tokitsukaze,2002,Arashio (former Sōkokurai)
Tokitsukaze,Tokitsukaze-beya,Tokitsukaze,1769,Tokitsukaze (former Tokitsuumi)
Hakkaku,Hakkaku-beya,Dewanoumi,1993,Hakkaku (former Hokutoumi)
Kise,Kise-beya,Dewanoumi,2003,Kise (former Higonoumi)
Oguruma,Oguruma-beya,Dewanoumi,1997,Oguruma (former Kotokaze)
Oshiogawa,Oshiogawa-beya,Nishonoseki,2022,Oshiogawa (former Takekaze)
Tatsunami,Tatsunami-beya,Isegahama,1999,Tatsunami (former Asahiyutaka)
Tomozuna,Tomozuna-beya,Isegahama,1961,Tomozuna (former Kaiki)
Onomatsu,Onomatsu-beya,Nishonoseki,1994,Onomatsu (former Daijuyama)
Naruto,Naruto-beya,Dewanoumi,2017,Naruto (former Kotooshu)
Tokiwayama,Tokiwayama-beya,Nishonoseki,2021,Tokiwayama (former Takamisugi)
Musashigawa,Musashigawa-beya,Nishonoseki,2013,Musashigawa (former Musashimaru)
Azumazeki,Azumazeki-beya,Dewanoumi,2012,Azumazeki (former Ushiomaru)
Michinoku,Michinoku-beya,Dewanoumi,1974,Michinoku (former Kirishima)
Nishikido,Nishikido-beya,Tokitsukaze,2002,Nishikido (former Mitoizumi)
Isenoumi,Isenoumi-beya,Nishonoseki,1772,Isenoumi (former Kitakachidoki)
Hanaregoma,Hanaregoma-beya,Nishonoseki,2022,Hanaregoma (former Tochihikari)
Onoe,Onoe-beya,Dewanoumi,2006,Onoe (former Hamanoshima)
Irumagawa,Irumagawa-beya,Tokitsukaze,1970,Irumagawa (former Tochinowaka)
Kataonami,Kataonami-beya,Nishonoseki,1961,Kataonami (former Tamakasuga)
Takadagawa,Takadagawa-beya,Tokitsukaze,1974,Takadagawa (former Akinoshima)
Shikoroyama,Shikoroyama-beya,Tokitsukaze,2004,Shikoroyama (former Terao)
Yamahibiki,Yamahibiki-beya,Isegahama,2022,Yamahibiki (former Amuru)
Nishiiwa,Nishiiwa-beya,Tokitsukaze,2023,Nishiiwa (former Shohozan)
Nishikawa,Nishikawa-beya,Isegahama,2024,Nishikawa (former Nishikawa)
