rikishi_id,basho1_wins,basho2_wins,basho3_wins,basho4_wins,basho5_wins,basho1_losses,basho2_losses,basho3_losses,basho4_losses,basho5_losses
Abi,11,7,6,7,9,4,8,9,8,6
Aonishiki,NA,12,11,11,11,NA,3,4,4,4
Atamifuji,8,5,6,8,11,7,10,9,7,4
Chiyoshoma,11,9,6,4,NA,4,6,9,11,NA
Daieisho,8,11,9,10,0,7,4,6,5,0
Fujinokawa,NA,NA,NA,12,10,NA,NA,NA,3,5
Gonoyama,11,8,7,4,9,4,7,8,11,6
Hoshoryu,13,12,5,12,1,2,3,5,3,4
Ichiyamamoto,8,8,7,5,9,7,7,8,10,6
Kinbozan,12,12,6,10,4,3,3,9,5,11
Kirishima,6,11,8,11,8,9,4,7,4,7
Kotoshoho,3,5,8,6,13,11,10,7,4,2
Kotozakura,14,5,8,8,8,1,10,7,7,7
Meisei,8,6,9,9,3,7,9,6,6,12
Midorifuji,7,7,9,6,9,8,8,6,9,6
Mitakeumi,7,2,NA,8,10,8,13,NA,7,5
Nishikifuji,6,9,NA,NA,NA,9,6,NA,NA,NA
Oho,6,12,6,7,7,9,3,9,8,8
Onosato,9,10,12,14,11,6,5,3,1,4
Ryuden,NA,11,6,NA,8,NA,4,9,NA,7
Sadanoumi,NA,9,8,10,4,NA,6,7,5,11
Shishi,NA,13,9,4,7,NA,2,6,11,8
Shodai,4,6,6,6,9,11,9,9,9,6
Takanosho,11,6,3,8,9,4,9,12,7,6
Takayasu,8,8,12,6,10,7,7,3,9,5
Tamawashi,8,9,10,6,11,7,6,5,9,4
Tobizaru,9,7,6,7,3,6,8,9,8,10
Tokihayate,6,7,10,8,6,9,8,5,7,9
Tomokaze,NA,NA,NA,NA,9,NA,NA,NA,NA,6
Ura,5,7,7,5,8,10,8,8,10,6
Wakamotoharu,10,6,9,7,6,5,9,6,8,9
Wakatakakage,10,7,9,12,10,5,8,6,3,5
