rikishi_id,shikona,shusshin_pref,birthdate,height_cm,weight_kg,heya_id,debut_yyyy_mm,shikona_jp,style,grip
Onosato,Onosato,,,,,Nishonoseki,,大の里,Yotsu,Migi-yotsu
Hoshoryu,Hoshoryu,,,,,Tatsunami,,豊昇龍,Hybrid,Migi-yotsu
Kotozakura,Kotozakura,,,,,Sadogatake,,琴櫻,Yotsu,Migi-yotsu
Aonishiki,Aonishiki,,,,,Isegahama,,安青錦,Oshi,
Oho,Oho,,,,,Oitekaze,,王鵬,Oshi,
Takanosho,Takanosho,,,,,Tokiwayama,,隆の勝,Oshi,
Takayasu,Takayasu,,,,,Tagonoura,,高安,Hybrid,Migi-yotsu
Hakuroho,Hakuroho,,,,,Miyagino,,伯桜鵬,Yotsu,Hidari-yotsu
Wakatakakage,Wakatakakage,,,,,Arashio,,若隆景,Hybrid,Migi-yotsu
Kirishima,Kirishima,,,,,Michinoku,,霧島,Yotsu,Hidari-yotsu
Wakamotoharu,Wakamotoharu,,,,,Arashio,,若元春,Yotsu,Migi-yotsu
Ura,Ura,,,,,Kise,,宇良,Hybrid,Migi-yotsu
Tamawashi,Tamawashi,,,,,Kataonami,,玉鷲,Oshi,
Ohohoma,Ohohoma,,,,,Oitekaze,,欧勝馬,Oshi,
Yoshinofuji,Yoshinofuji,,,,,Isegahama,,義ノ富士,Yotsu,Hidari-yotsu
Shodai,Shodai,,,,,Tokitsukaze,,正代,Hybrid,Migi-yotsu
Atamifuji,Atamifuji,,,,,Isegahama,,熱海富士,Yotsu,Hidari-yotsu
Onosho,Onosho,,,,,Onomatsu,,阿武剋,Oshi,
Minoumi,Minoumi,,,,,Tatsunami,,美ノ海,Yotsu,Hidari-yotsu
Abi,Abi,,,,,Shikoroyama,,阿炎,Oshi,
Ichiyamamoto,Ichiyamamoto,,,,,Nishonoseki,,一山本,Oshi,
Kinbozan,Kinbozan,,,,,Kise,,金峰山,Yotsu,Migi-yotsu
Midorifuji,Midorifuji,,,,,Isegahama,,翠富士,Hybrid,Migi-yotsu
Tobizaru,Tobizaru,,,,,Oitekaze,,翔猿,Oshi,
Daieisho,Daieisho,,,,,Oitekaze,,大栄翔,Oshi,
Kotoshoho,Kotoshoho,,,,,Sadogatake,,琴勝峰,Hybrid,Migi-yotsu
Shishi,Shishi,,,,,Irumagawa,,獅司,Yotsu,Migi-yotsu
Okamiyaka,Okamiyaka,,,,,Hakkaku,,狼雅,Oshi,
Fujinokawa,Fujinokawa,,,,,Isenoumi,,藤ノ川,Yotsu,Hidari-yotsu
Tomokaze,Tomokaze,,,,,Nishonoseki,,友風,Yotsu,Migi-yotsu
Gonoyama,Gonoyama,,,,,Takekuma,,豪ノ山,Oshi,
Mitakeumi,Mitakeumi,,,,,Dewanoumi,,御嶽海,Hybrid,Migi-yotsu
Ryuden,Ryuden,,,,,Takadagawa,,竜電,Yotsu,Hidari-yotsu
Tokihayate,Tokihayate,,,,,Tokitsukaze,,時疾風,Oshi,
Nishikifuji,Nishikifuji,,,,,Isegahama,,錦富士,Yotsu,Hidari-yotsu
Shonanoumi,Shonanoumi,,,,,Takadagawa,,湘南乃海,Yotsu,Migi-yotsu
Ohohkai,Ohohkai,,,,,Oitekaze,,欧勝海,Oshi,
Sadanoumi,Sadanoumi,,,,,Sakaigawa,,佐田の海,Yotsu,Hidari-yotsu
Chiyoshoma,Chiyoshoma,,,,,Kokonoe,,千代翔馬,Hybrid,Migi-yotsu
Asanoryu,Asanoryu,,,,,Takasago,,朝紅龍,Oshi,
Meisei,Meisei,,,,,Tatsunami,,明生,Yotsu,Hidari-yotsu
