rikishi_id,shikona,shusshin_pref,birthdate,height_cm,weight_kg,heya_id,debut_yyyy_mm,shikona_jp,style,grip
Onosato,Onosato,,2000-06-07,192.0,191.0,Nishonoseki,,大の里,Yotsu,Migi-yotsu
Hoshoryu,Hoshoryu,,1999-05-22,188.0,150.0,Tatsunami,,豊昇龍,Hybrid,Migi-yotsu
Kotozakura,Kotozakura,,1997-11-19,186.0,175.0,Sadogatake,,琴櫻,Yotsu,Migi-yotsu
Aonishiki,Aonishiki,,2000-03-14,183.0,161.0,Isegahama,,安青錦,Oshi,
Oho,Oho,,2000-02-14,187.0,166.0,Oitekaze,,王鵬,Oshi,
Takanosho,Takanosho,,1994-11-14,182.0,158.0,Tokiwayama,,隆の勝,Oshi,
Takayasu,Takayasu,,1990-02-28,183.0,177.0,Tagonoura,,高安,Hybrid,Migi-yotsu
Hakuroho,Hakuroho,,2003-02-28,188.0,133.0,Miyagino,,伯桜鵬,Yotsu,Hidari-yotsu
Wakatakakage,Wakatakakage,,1994-12-06,180.0,125.0,Arashio,,若隆景,Hybrid,Migi-yotsu
Kirishima,Kirishima,,1995-03-24,178.0,141.0,Michinoku,,霧島,Yotsu,Hidari-yotsu
Wakamotoharu,Wakamotoharu,,1993-10-05,184.0,141.0,Arashio,,若元春,Yotsu,Migi-yotsu
Ura,Ura,,1992-06-22,173.0,136.0,Kise,,宇良,Hybrid,Migi-yotsu
Tamawashi,Tamawashi,,1984-11-16,189.0,173.0,Kataonami,,玉鷲,Oshi,
Ohohoma,Ohohoma,,1999-07-02,185.0,164.0,Oitekaze,,欧勝馬,Oshi,
Yoshinofuji,Yoshinofuji,,1998-05-18,184.0,158.0,Isegahama,,義ノ富士,Yotsu,Hidari-yotsu
Shodai,Shodai,,1991-11-05,183.0,160.0,Tokitsukaze,,正代,Hybrid,Migi-yotsu
Atamifuji,Atamifuji,,2002-09-03,191.0,180.0,Isegahama,,熱海富士,Yotsu,Hidari-yotsu
Onosho,Onosho,,1996-07-04,177.0,148.0,Onomatsu,,阿武剋,Oshi,
Minoumi,Minoumi,,1996-12-24,175.0,142.0,Tatsunami,,美ノ海,Yotsu,Hidari-yotsu
Abi,Abi,,1994-05-04,187.0,150.0,Shikoroyama,,阿炎,Oshi,
Ichiyamamoto,Ichiyamamoto,,1993-10-01,185.0,165.0,Nishonoseki,,一山本,Oshi,
Kinbozan,Kinbozan,,1997-08-24,189.0,155.0,Kise,,金峰山,Yotsu,Migi-yotsu
Midorifuji,Midorifuji,,1996-08-25,171.0,115.0,Isegahama,,翠富士,Hybrid,Migi-yotsu
Tobizaru,Tobizaru,,,,,Oitekaze,,翔猿,Oshi,
rikishi_id,shikona,shusshin_pref,birthdate,height_cm,weight_kg,heya_id,debut_yyyy_mm,shikona_jp,style,grip
Daieisho,Daieisho,,,,,Oitekaze,,大栄翔,Oshi,
Kotoshoho,Kotoshoho,,,,,Sadogatake,,琴勝峰,Hybrid,Migi-yotsu
Shishi,Shishi,,,,,Irumagawa,,獅司,Yotsu,Migi-yotsu
Okamiyaka,Okamiyaka,,,,,Hakkaku,,狼雅,Oshi,
Fujinokawa,Fujinokawa,,,,,Isenoumi,,藤ノ川,Yotsu,Hidari-yotsu
Tomokaze,Tomokaze,,,,,Nishonoseki,,友風,Yotsu,Migi-yotsu
Gonoyama,Gonoyama,,,,,Takekuma,,豪ノ山,Oshi,
Mitakeumi,Mitakeumi,,,,,Dewanoumi,,御嶽海,Hybrid,Migi-yotsu
Ryuden,Ryuden,,,,,Takadagawa,,竜電,Yotsu,Hidari-yotsu
Tokihayate,Tokihayate,,,,,Tokitsukaze,,時疾風,Oshi,
Nishikifuji,Nishikifuji,,,,,Isegahama,,錦富士,Yotsu,Hidari-yotsu
Shonanoumi,Shonanoumi,,,,,Takadagawa,,湘南乃海,Yotsu,Migi-yotsu
Ohohkai,Ohohkai,,,,,Oitekaze,,欧勝海,Oshi,
Sadanoumi,Sadanoumi,,,,,Sakaigawa,,佐田の海,Yotsu,Hidari-yotsu
Chiyoshoma,Chiyoshoma,,,,,Kokonoe,,千代翔馬,Hybrid,Migi-yotsu
Asanoryu,Asanoryu,,,,,Takasago,,朝紅龍,Oshi,
Meisei,Meisei,,,,,Tatsunami,,明生,Yotsu,Hidari-yotsu
