FileName,base_name,file_type,file_ext,timestamp_precise,SequenceNumber,FileType,FileSize,DateTimeOriginal,SubSecTimeOriginal,ExposureTime,FNumber,ISO,ExposureCompensation,ExposureMode,ExposureProgram,FocalLength,FocusMode,FocusDistance2,ImageWidth,ImageHeight,Orientation,LensModel,Model,ReleaseMode2,AFPointSelected,subsec
A1205582.JPG,A1205582,JPG,jpg,2025-09-27T09:43:05Z,0,JPEG,11902042,2025:09:27 09:43:02,307,0.0025,6.3,12800,-2,1,1,83,3,inf,8640,5760,1,FE 50-150mm F2 GM,ILCE-1M2,93,0,307
A1205582.ARW,A1205582,RAW,arw,2025-09-27T09:43:05Z,0,ARW,64774144,2025:09:27 09:43:02,307,0.0025,6.3,12800,-2,1,1,83,3,inf,8704,6144,1,FE 50-150mm F2 GM,ILCE-1M2,93,0,307
A1205581.JPG,A1205581,JPG,jpg,2025-09-27T09:43:09Z,0,JPEG,13798752,2025:09:27 09:43:00,932,0.0025,6.3,10000,-2,1,1,83,3,15.1076048866518,8640,5760,1,FE 50-150mm F2 GM,ILCE-1M2,85,0,932
A1205581.ARW,A1205581,RAW,arw,2025-09-27T09:43:09Z,0,ARW,67399680,2025:09:27 09:43:00,932,0.0025,6.3,10000,-2,1,1,83,3,15.1076048866518,8704,6144,1,FE 50-150mm F2 GM,ILCE-1M2,85,0,932
A1205583.JPG,A1205583,JPG,jpg,2025-09-27T11:10:14Z,0,JPEG,10865008,2025:09:27 11:10:14,011,0.0025,6.3,100,-2,1,1,150,3,269.910331833339,8640,5760,1,FE 50-150mm F2 GM,ILCE-1M2,92,0,11
A1205583.ARW,A1205583,RAW,arw,2025-09-27T11:10:14Z,0,ARW,58400768,2025:09:27 11:10:14,011,0.0025,6.3,100,-2,1,1,150,3,269.910331833339,8704,6144,1,FE 50-150mm F2 GM,ILCE-1M2,92,0,11
A1205584.JPG,A1205584,JPG,jpg,2025-09-27T11:12:53Z,0,JPEG,20117563,2025:09:27 11:12:51,267,6.25e-4,2.8,400,0,1,1,50,3,27.9669979562306,8640,5760,1,FE 50-150mm F2 GM,ILCE-1M2,255,0,267
A1205584.ARW,A1205584,RAW,arw,2025-09-27T11:12:53Z,0,ARW,73510912,2025:09:27 11:12:51,267,6.25e-4,2.8,400,0,1,1,50,3,27.9669979562306,8704,6144,1,FE 50-150mm F2 GM,ILCE-1M2,255,0,267
A1205585.JPG,A1205585,JPG,jpg,2025-09-27T11:13:03Z,0,JPEG,13125266,2025:09:27 11:12:59,454,6.25e-4,2.8,320,0,1,1,50,3,63.6331199781624,8640,5760,1,FE 50-150mm F2 GM,ILCE-1M2,255,0,454
A1205585.ARW,A1205585,RAW,arw,2025-09-27T11:13:03Z,0,ARW,63827968,2025:09:27 11:12:59,454,6.25e-4,2.8,320,0,1,1,50,3,63.6331199781624,8704,6144,1,FE 50-150mm F2 GM,ILCE-1M2,255,0,454
A1205586.JPG,A1205586,JPG,jpg,2025-09-27T11:14:06Z,0,JPEG,15756608,2025:09:27 11:14:02,496,6.25e-4,2.8,1000,0,1,1,50,3,58.3559780995426,8640,5760,1,FE 50-150mm F2 GM,ILCE-1M2,255,0,496
A1205586.ARW,A1205586,RAW,arw,2025-09-27T11:14:06Z,0,ARW,67076096,2025:09:27 11:14:02,496,6.25e-4,2.8,1000,0,1,1,50,3,58.3559780995426,8704,6144,1,FE 50-150mm F2 GM,ILCE-1M2,255,0,496
A1205588.JPG,A1205588,JPG,jpg,2025-09-27T11:14:21Z,0,JPEG,13961969,2025:09:27 11:14:21,004,6.25e-4,2.8,400,0,1,1,50,3,51.25,8640,5760,1,FE 50-150mm F2 GM,ILCE-1M2,255,0,4
A1205588.ARW,A1205588,RAW,arw,2025-09-27T11:14:21Z,0,ARW,67301376,2025:09:27 11:14:21,004,6.25e-4,2.8,400,0,1,1,50,3,51.25,8704,6144,1,FE 50-150mm F2 GM,ILCE-1M2,255,0,4
