shot_seq,base_name,timestamp_precise,time_gap,SequenceNumber,file_types,has_jpg,has_raw,total_file_size,DateTimeOriginal,subsec,ExposureTime,FNumber,ISO,ExposureCompensation,ExposureMode,ExposureProgram,FocalLength,FocusMode,FocusDistance2,Orientation,LensModel,Model,ReleaseMode2,burst_id,burst_method,burst_size,burst_position,burst_original_size,burst_complete,burst_type,burst_group,file_number
1,A1205582,2025-09-27T09:43:05Z,NA,0,JPG+RAW,TRUE,TRUE,76676186,2025:09:27 09:43:02,307,0.0025,6.3,12800,-2,1,1,83,3,inf,1,FE 50-150mm F2 GM,ILCE-1M2,93,2025:09:27 09:43:02,datetime_original,1,1,1,TRUE,quick_succession,1,1205582
2,A1205581,2025-09-27T09:43:09Z,4.25,0,JPG+RAW,TRUE,TRUE,81198432,2025:09:27 09:43:00,932,0.0025,6.3,10000,-2,1,1,83,3,15.1076048866518,1,FE 50-150mm F2 GM,ILCE-1M2,85,2025:09:27 09:43:00,datetime_original,1,1,1,TRUE,quick_succession,2,1205581
3,A1205583,2025-09-27T11:10:14Z,5224.789999961853,0,JPG+RAW,TRUE,TRUE,69265776,2025:09:27 11:10:14,11,0.0025,6.3,100,-2,1,1,150,3,269.910331833339,1,FE 50-150mm F2 GM,ILCE-1M2,92,2025:09:27 11:10:14,datetime_original,1,1,1,TRUE,quick_succession,3,1205583
4,A1205584,2025-09-27T11:12:53Z,159.56000018119812,0,JPG+RAW,TRUE,TRUE,93628475,2025:09:27 11:12:51,267,6.25e-4,2.8,400,0,1,1,50,3,27.9669979562306,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 11:12:51,datetime_original,1,1,1,TRUE,quick_succession,4,1205584
5,A1205585,2025-09-27T11:13:03Z,9.869999885559082,0,JPG+RAW,TRUE,TRUE,76953234,2025:09:27 11:12:59,454,6.25e-4,2.8,320,0,1,1,50,3,63.6331199781624,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 11:12:59,datetime_original,1,1,1,TRUE,quick_succession,5,1205585
6,A1205586,2025-09-27T11:14:06Z,63.420000076293945,0,JPG+RAW,TRUE,TRUE,82832704,2025:09:27 11:14:02,496,6.25e-4,2.8,1000,0,1,1,50,3,58.3559780995426,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 11:14:02,datetime_original,1,1,1,TRUE,quick_succession,6,1205586
7,A1205588,2025-09-27T11:14:21Z,14.079999923706055,0,JPG+RAW,TRUE,TRUE,81263345,2025:09:27 11:14:21,4,6.25e-4,2.8,400,0,1,1,50,3,51.25,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 11:14:21,datetime_original,1,1,1,TRUE,quick_succession,7,1205588
8,A1205587,2025-09-27T11:14:22Z,1.6600000858306885,0,JPG+RAW,TRUE,TRUE,78268086,2025:09:27 11:14:20,270,6.25e-4,2.8,320,0,1,1,50,3,45.0100553055565,1,FE 50-150mm F2 GM,ILCE-1M2,255,2025:09:27 11:14:20,datetime_original,1,1,1,TRUE,quick_succession,8,1205587
9,A1205590,2025-09-27T11:26:45Z,742.7000000476837,0,JPG+RAW,TRUE,TRUE,82603835,2025:09:27 11:26:45,40,6.25e-4,2.8,400,0,1,1,127,3,192.18528662714,1,FE 50-150mm F2 GM,ILCE-1M2,93,2025:09:27 11:26:45,datetime_original,1,1,1,TRUE,quick_succession,9,1205590
10,A1205589,2025-09-27T11:26:50Z,5.480000019073486,0,JPG+RAW,TRUE,TRUE,84212877,2025:09:27 11:26:43,788,6.25e-4,2.8,500,0,1,1,127,3,184.042645359496,1,FE 50-150mm F2 GM,ILCE-1M2,93,2025:09:27 11:26:43,datetime_original,1,1,1,TRUE,quick_succession,10,1205589
11,A1205591,2025-09-27T11:32:10Z,319.2999999523163,0,JPG+RAW,TRUE,TRUE,82225804,2025:09:27 11:32:07,318,6.25e-4,2.8,640,0,1,1,150,3,226.990496016307,1,FE 50-150mm F2 GM,ILCE-1M2,223,2025:09:27 11:32:07,datetime_original,1,1,1,TRUE,quick_succession,11,1205591
12,A1205592,2025-09-27T11:32:10Z,0.679999828338623,0,JPG+RAW,TRUE,TRUE,81028595,2025:09:27 11:32:09,186,6.25e-4,2.8,500,0,1,1,150,3,217.373203180507,1,FE 50-150mm F2 GM,ILCE-1M2,223,2025:09:27 11:32:09,datetime_original,1,1,1,TRUE,quick_succession,12,1205592
13,A1205594,2025-09-27T11:32:23Z,12.790000200271606,0,JPG+RAW,TRUE,TRUE,86973023,2025:09:27 11:32:20,365,6.25e-4,2.8,400,0,1,1,50,3,60.9374042881393,1,FE 50-150mm F2 GM,ILCE-1M2,223,2025:09:27 11:32:20,datetime_original,1,1,1,TRUE,quick_succession,13,1205594
