Place, lat, lon
Park Headquarters, 19.429718363294793, -155.25713755431528
Volcano House, 19.428595879948553, -155.25832273275037
Steaming Bluff, 19.429861725938853, -155.26708812468945 
Sulphur Banks, 19.432192900508912, -155.26121352602783 
Kilauea Military Camp, 19.432749142458718, -155.27388255518662 
Kilauea Overlook, 19.4234030453238, -155.28419529900984 
Uekahuna, 19.419736208921023, -155.2879406554301 
Kilauea Iki Overlook, 19.416631037925487, -155.242908467016 
Nahuku Lava Tube, 19.41509044042943, -155.2368941226173 
Puupuai Parking Lot, 19.411235645907094, -155.24972878168094 
Devastation Parking Lot, 19.40617019385751, -155.2530004416855 
Keanakakoi Overlook, 19.401866019355204, -155.26566603340044 
1974 Flow, 19.400867581006537, -155.2560324702571 
Puhimau Hotspot, 19.38928448842242, -155.2501843479988 
Devils Throat, 19.373510845845693, -155.23118474285832
Kipuka Puaulu, 19.437702458454172, -155.30317594876146
Kipuka Ki, 19.443750917595224, -155.31966434128367 
Top of Strip Road, 19.492701636761442, -155.38541422356363
Volcano Village, 19.42827890862534, -155.2350284603466
Mauna Loa Estates, 19.429351570421698, -155.21811113547514
Volcano Golf Course, 19.438264498718215, -155.27769078844196
Volcano Winery, 19.446207597306906, -155.28508695208686
Lava Tree Molds, 19.434422761440143, -155.28130076660085
Powerline Road, 19.459581880890546, -155.34233141975108
