copies,header,footer,text
1,"KWB, YHL",Collectors,"Collected by: KW Bridges, YH Lau"
1,KWB,Determined by,Determined by: KW Bridges
1,Tree,Life Form,Life Form: Tree
1,Shrub,Life Form,Life Form: Shrub
1,Herb,Life Form,Life Form: Herb
1,Epiphyte,Life Form,Life Form: Epiphyte
1,Dominant,Abundance,Abundance: Dominant
1,Common,Abundance,Abundance: Common
1,Occasional,Abundance,Abundance: Occasional
1,Rare,Abundance,Abundance: Rare
1,Abundant Flowers,Phenology,Phenology: Abundant Flowers
1,Scattered Flowers,Phenology,Phenology: Scattered Flowers
1,No Flowers,Phenology,Phenology: No Flowers
1,Comment 1,,Comment 1:
1,Comment 2,,Comment 2:
1,Comment 3,,Comment 3:
