"accepted_name","genus","family","class","n_records","rank","det_conflict","lifeform","lifeform_source","status","n_rim","first_year","last_year","locate","years_since_last","regional_n","distinctive","iucn","dated","sensitive","bucket"
"Foeniculum vulgare","Foeniculum","Apiaceae","Magnoliopsida",1,"species","","herb","gift-species","introduced",2,1977,1977,"approx",49,2,TRUE,"NE",TRUE,FALSE,"other"
"Ilex cornuta","Ilex","Aquifoliaceae","Magnoliopsida",1,"species","","tree","gift-genus",,2,1986,1986,"approx",40,2,TRUE,"LC",TRUE,FALSE,"other"
"Dianella sandwicensis","Dianella","Asphodelaceae","Liliopsida",1,"species","","herb","gift-species","indigenous",1,2017,2017,"GPS",9,8,FALSE,"NE",TRUE,FALSE,"easy-win"
"Bidens sandvicensis","Bidens","Asteraceae","Magnoliopsida",1,"species","","herb","gift-species","endemic",1,1960,1960,"nominal",66,8,FALSE,"VU",TRUE,TRUE,"protected-caution"
"Wilkesia gymnoxiphium","Wilkesia","Asteraceae","Magnoliopsida",1,"species","","shrub","gift-species","endemic",1,1974,1974,"approx",52,8,FALSE,"EN",TRUE,TRUE,"protected-hard"
"Casuarina glauca","Casuarina","Casuarinaceae","Magnoliopsida",1,"species","","tree","gift-species","introduced",1,2021,2021,"GPS",5,1,TRUE,"NE",TRUE,FALSE,"easy-win"
"Carex meyenii","Carex","Cyperaceae","Liliopsida",2,"species","","graminoid","clade","indigenous",2,2014,2014,"GPS",12,2,TRUE,"NE",TRUE,FALSE,"other"
"Carex wahuensis","Carex","Cyperaceae","Liliopsida",3,"species","","graminoid","clade","endemic",3,2014,2020,"GPS",6,5,FALSE,"NE",TRUE,FALSE,"high-value"
"Gahnia aspera","Gahnia","Cyperaceae","Liliopsida",2,"species","","graminoid","clade","indigenous",2,2015,2015,"GPS",11,2,TRUE,"NE",TRUE,FALSE,"other"
"Leptecophylla tameiameiae","Leptecophylla","Ericaceae","Magnoliopsida",1,"species","","tree","gift-species","indigenous",1,2019,2019,"nominal",7,7,FALSE,"LC",TRUE,FALSE,"easy-win"
"Euphorbia atrococca","Euphorbia","Euphorbiaceae","Magnoliopsida",1,"species","","herb","gift-genus","indigenous",1,1936,1936,"approx",90,7,FALSE,"EN",TRUE,TRUE,"protected-hard"
"Acacia mearnsii","Acacia","Fabaceae","Magnoliopsida",1,"species","","tree","gift-species","introduced",1,1983,1983,"approx",43,1,TRUE,"NE",TRUE,FALSE,"easy-win"
"Scaevola gaudichaudii","Scaevola","Goodeniaceae","Magnoliopsida",1,"species","","shrub","gift-species","endemic",1,2014,2014,"nominal",12,3,TRUE,"NE",TRUE,FALSE,"high-value"
"Huperzia serrata","Huperzia","Lycopodiaceae","Lycopodiopsida",1,"species","","fern","clade","indigenous",1,1909,1909,"approx",117,1,TRUE,"NE",TRUE,FALSE,"high-value"
"Lycopodium venustulum","Lycopodium","Lycopodiaceae","Lycopodiopsida",1,"species","","fern","clade","indigenous",1,1909,1909,"approx",117,2,TRUE,"NE",TRUE,FALSE,"high-value"
"Hibiscus waimeae","Hibiscus","Malvaceae","Magnoliopsida",2,"species","","tree","gift-species","endemic",2,1955,1960,"approx",66,12,FALSE,"EN",TRUE,TRUE,"protected-hard"
"Sida cordifolia","Sida","Malvaceae","Magnoliopsida",1,"species","","shrub","gift-genus","introduced",1,2011,2011,"GPS",15,3,TRUE,"NE",TRUE,FALSE,"easy-win"
"Metrosideros polymorpha","Metrosideros","Myrtaceae","Magnoliopsida",1,"species","","tree","gift-species","endemic",1,2012,2012,"GPS",14,6,FALSE,"VU",TRUE,TRUE,"protected-caution"
"Pisonia sandwicensis","Pisonia","Nyctaginaceae","Magnoliopsida",1,"species","","tree","gift-genus",,1,2022,2022,"GPS",4,7,FALSE,"LC",TRUE,FALSE,"other"
"Passiflora tarminiana","Passiflora","Passifloraceae","Magnoliopsida",1,"species","","herb","gift-genus","introduced",1,1960,1960,"nominal",66,9,FALSE,"NE",TRUE,FALSE,"easy-win"
"Eragrostis variabilis","Eragrostis","Poaceae","Liliopsida",1,"species","","graminoid","clade","endemic",1,1977,1977,"approx",49,6,FALSE,"NE",TRUE,FALSE,"high-value"
"Myrsine lanaiensis","Myrsine","Primulaceae","Magnoliopsida",1,"species","","tree","gift-genus","endemic",1,2014,2014,"nominal",12,4,FALSE,"LC",TRUE,FALSE,"high-value"
"Doryopteris decipiens","Doryopteris","Pteridaceae","Polypodiopsida",2,"species","","fern","clade",,2,1955,1960,"approx",66,3,TRUE,"NE",TRUE,FALSE,"other"
"Psychotria hexandra","Psychotria","Rubiaceae","Magnoliopsida",1,"species","","tree","gift-species","endemic",1,Inf,,"approx",,2,TRUE,"EN",FALSE,TRUE,"protected-hard"
"Melicope haupuensis","Melicope","Rutaceae","Magnoliopsida",1,"species","","tree","gift-species","endemic",1,1977,1977,"approx",49,1,TRUE,"CR",TRUE,TRUE,"protected-hard"
"Dodonaea viscosa","Dodonaea","Sapindaceae","Magnoliopsida",1,"species","","tree","gift-species","introduced",1,1976,1976,"nominal",50,12,FALSE,"LC",TRUE,FALSE,"easy-win"
"Solanum sandwicense","Solanum","Solanaceae","Magnoliopsida",1,"species","","shrub","gift-species","indigenous",1,1982,1982,"approx",44,3,TRUE,"CR",TRUE,TRUE,"protected-hard"
"Viola tracheliifolia","Viola","Violaceae","Magnoliopsida",3,"species","","herb","gift-genus",,3,1966,1974,"approx",52,3,TRUE,"NE",TRUE,FALSE,"other"
